date,date,date.1,symbol,date.1.1,open,high,low,close,volume,interest,Returns,Log Returns
1992-01-06,1992-01-06,1992-01-06,A6Y00,1992-01-06,0.763,0.7646,0.7618001,0.7623,0.0,0.0,,
1992-01-07,1992-01-07,1992-01-07,A6Y00,1992-01-07,0.7586,0.7600001,0.7550001,0.7572001,0.0,0.0,-0.0066901482356,-0.00671262759356
1992-01-08,1992-01-08,1992-01-08,A6Y00,1992-01-08,0.7578,0.7583,0.754,0.7556,0.0,0.0,-0.00211317985827,-0.00211541577331
1992-01-09,1992-01-09,1992-01-09,A6Y00,1992-01-09,0.7465,0.7489001,0.7432001,0.7449,0.0,0.0,-0.0141609317099,-0.0142621544451
1992-01-10,1992-01-10,1992-01-10,A6Y00,1992-01-10,0.7363001,0.7410001,0.7348,0.7382001,0.0,0.0,-0.00899436165928,-0.0090350551217
1992-01-13,1992-01-13,1992-01-13,A6Y00,1992-01-13,0.7410001,0.7431,0.7406,0.7422001,0.0,0.0,0.00541858501509,0.00540395730053
1992-01-14,1992-01-14,1992-01-14,A6Y00,1992-01-14,0.7464001,0.7475001,0.7407001,0.7421,0.0,0.0,-0.000134869289293,-0.000134878384973
1992-01-15,1992-01-15,1992-01-15,A6Y00,1992-01-15,0.7402,0.7422001,0.7402,0.7414001,0.0,0.0,-0.00094313434847,-0.000943579379508
1992-01-16,1992-01-16,1992-01-16,A6Y00,1992-01-16,0.7435001,0.7437,0.7410001,0.7421,0.0,0.0,0.000944024690582,0.000943579379508
1992-01-17,1992-01-17,1992-01-17,A6Y00,1992-01-17,0.7425,0.743,0.7410001,0.7427,0.0,0.0,0.000808516372457,0.000808189699163
1992-01-20,1992-01-20,1992-01-20,A6Y00,1992-01-20,0.751,0.7521,0.7504001,0.7514001,0.0,0.0,0.0117141510704,0.0116460715495
1992-01-21,1992-01-21,1992-01-21,A6Y00,1992-01-21,0.7500001,0.752,0.7493,0.7513,0.0,0.0,-0.00013321797535,-0.000133226849653
1992-01-22,1992-01-22,1992-01-22,A6Y00,1992-01-22,0.7514001,0.7535,0.7505,0.7526,0.0,0.0,0.00173033408758,0.00172883878422
1992-01-23,1992-01-23,1992-01-23,A6Y00,1992-01-23,0.7458,0.7493,0.743,0.7434,0.0,0.0,-0.012224289131,-0.0122996202962
1992-01-24,1992-01-24,1992-01-24,A6Y00,1992-01-24,0.7425,0.7437,0.7375,0.7408,0.0,0.0,-0.00349744417541,-0.00350357453118
1992-01-27,1992-01-27,1992-01-27,A6Y00,1992-01-27,0.7411,0.7416,0.7375,0.74,0.0,0.0,-0.00107991360691,-0.00108049713375
1992-01-28,1992-01-28,1992-01-28,A6Y00,1992-01-28,0.7454001,0.7473,0.7437,0.7455,0.0,0.0,0.00743243243243,0.00740494800658
1992-01-29,1992-01-29,1992-01-29,A6Y00,1992-01-29,0.7413,0.7464001,0.7410001,0.7431,0.0,0.0,-0.00321931589537,-0.00322450904137
