date,symbol,date,open,high,low,close,volume,interest,Returns,Log Returns
1978-02-17,CLY00,1978-02-17,14.85,14.85,14.85,14.85,0.0,0.0,,
1978-02-20,CLY00,1978-02-20,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-21,CLY00,1978-02-21,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-22,CLY00,1978-02-22,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-23,CLY00,1978-02-23,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-24,CLY00,1978-02-24,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-27,CLY00,1978-02-27,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-02-28,CLY00,1978-02-28,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-01,CLY00,1978-03-01,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-02,CLY00,1978-03-02,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-03,CLY00,1978-03-03,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-06,CLY00,1978-03-06,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-07,CLY00,1978-03-07,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-08,CLY00,1978-03-08,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-09,CLY00,1978-03-09,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-10,CLY00,1978-03-10,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-13,CLY00,1978-03-13,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-14,CLY00,1978-03-14,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-15,CLY00,1978-03-15,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-16,CLY00,1978-03-16,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-17,CLY00,1978-03-17,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-20,CLY00,1978-03-20,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-21,CLY00,1978-03-21,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-22,CLY00,1978-03-22,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-23,CLY00,1978-03-23,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
1978-03-24,CLY00,1978-03-24,14.85,14.85,14.85,14.85,0.0,0.0,0.0,0.0
