date,date,symbol,date.1,open,high,low,close,volume,Returns,Log Returns
1980-01-03,1980-01-03,DXY00,1980-01-03,85.26,85.26,85.26,85.26,0.0,,
1980-01-04,1980-01-04,DXY00,1980-01-04,85.23,85.23,85.23,85.23,0.0,-0.000351864883885,-0.000351926802858
1980-01-07,1980-01-07,DXY00,1980-01-07,84.79,84.79,84.79,84.79,0.0,-0.00516250146662,-0.00517587321829
1980-01-08,1980-01-08,DXY00,1980-01-08,85.07,85.07,85.07,85.07,0.0,0.00330227621182,0.00329683567188
1980-01-09,1980-01-09,DXY00,1980-01-09,85.02,85.02,85.02,85.02,0.0,-0.000587751263665,-0.000587924057148
1980-01-10,1980-01-10,DXY00,1980-01-10,85.21,85.21,85.21,85.21,0.0,0.00223476828981,0.00223227490922
1980-01-11,1980-01-11,DXY00,1980-01-11,85.35,85.35,85.35,85.35,0.0,0.00164299964793,0.00164165140059
1980-01-14,1980-01-14,DXY00,1980-01-14,85.23,85.23,85.23,85.23,0.0,-0.00140597539543,-0.00140696470624
1980-01-15,1980-01-15,DXY00,1980-01-15,85.64001,85.64001,85.64001,85.64001,0.0,0.00481063005984,0.00479909595513
1980-01-16,1980-01-16,DXY00,1980-01-16,85.4,85.4,85.4,85.4,0.0,-0.00280254521222,-0.00280647969482
1980-01-17,1980-01-17,DXY00,1980-01-17,85.52,85.52,85.52,85.52,0.0,0.00140515222482,0.00140416592227
1980-01-18,1980-01-18,DXY00,1980-01-18,85.45,85.45,85.45,85.45,0.0,-0.000818521983162,-0.000818857155189
1980-01-21,1980-01-21,DXY00,1980-01-21,85.7,85.7,85.7,85.7,0.0,0.00292568753657,0.00292141604213
1980-01-22,1980-01-22,DXY00,1980-01-22,85.8,85.8,85.8,85.8,0.0,0.00116686114352,0.00116618089018
1980-01-23,1980-01-23,DXY00,1980-01-23,85.56,85.56,85.56,85.56,0.0,-0.0027972027972,-0.00280112227971
1980-01-24,1980-01-24,DXY00,1980-01-24,85.71,85.71,85.71,85.71,0.0,0.00175315568022,0.00175162069659
1980-01-25,1980-01-25,DXY00,1980-01-25,85.94,85.94,85.94,85.94,0.0,0.00268346750671,0.00267987343606
1980-01-28,1980-01-28,DXY00,1980-01-28,86.1,86.1,86.1,86.1,0.0,0.00186176402141,0.00186003308684
1980-01-29,1980-01-29,DXY00,1980-01-29,86.02,86.02,86.02,86.02,0.0,-0.000929152148664,-0.000929584078095
1980-01-30,1980-01-30,DXY00,1980-01-30,85.96,85.96,85.96,85.96,0.0,-0.000697512206464,-0.000697755581281
1980-01-31,1980-01-31,DXY00,1980-01-31,86.14001,86.14001,86.14001,86.14001,0.0,0.00209411354118,0.00209192394173
1980-02-01,1980-02-01,DXY00,1980-02-01,86.13,86.13,86.13,86.13,0.0,-0.000116206162502,-0.000116212914961
1980-02-04,1980-02-04,DXY00,1980-02-04,86.05,86.05,86.05,86.05,0.0,-0.000928828515035,-0.000929260143534
1980-02-05,1980-02-05,DXY00,1980-02-05,86.02,86.02,86.02,86.02,0.0,-0.000348634514817,-0.000348695301958
1980-02-06,1980-02-06,DXY00,1980-02-06,85.62,85.62,85.62,85.62,0.0,-0.00465008137642,-0.00466092663879
1980-02-07,1980-02-07,DXY00,1980-02-07,85.8,85.8,85.8,85.8,0.0,0.0021023125438,0.00210010577712
1980-02-08,1980-02-08,DXY00,1980-02-08,85.94,85.94,85.94,85.94,0.0,0.0016317016317,0.00163037185293
1980-02-11,1980-02-11,DXY00,1980-02-11,85.85,85.85,85.85,85.85,0.0,-0.00104724226204,-0.00104779100336
1980-02-13,1980-02-13,DXY00,1980-02-13,85.77,85.77,85.77,85.77,0.0,-0.000931857891671,-0.000932292341155
1980-02-14,1980-02-14,DXY00,1980-02-14,85.84,85.84,85.84,85.84,0.0,0.000816136178151,0.000815803320113
1980-02-15,1980-02-15,DXY00,1980-02-15,86.1,86.1,86.1,86.1,0.0,0.00302889095993,0.00302431311124
1980-02-19,1980-02-19,DXY00,1980-02-19,86.51,86.51,86.51,86.51,0.0,0.0047619047619,0.0047506027586
1980-02-20,1980-02-20,DXY00,1980-02-20,86.48,86.48,86.48,86.48,0.0,-0.000346780718992,-0.00034684086133
1980-02-21,1980-02-21,DXY00,1980-02-21,86.41,86.41,86.41,86.41,0.0,-0.000809435707678,-0.000809763477645
1980-02-22,1980-02-22,DXY00,1980-02-22,86.92,86.92,86.92,86.92,0.0,0.00590209466497,0.00588474553492
1980-02-25,1980-02-25,DXY00,1980-02-25,87.05,87.05,87.05,87.05,0.0,0.00149562816383,0.00149451082597
1980-02-26,1980-02-26,DXY00,1980-02-26,87.08001,87.08001,87.08001,87.08001,0.0,0.00034474439977,0.000344684989074
1980-02-27,1980-02-27,DXY00,1980-02-27,86.9,86.9,86.9,86.9,0.0,-0.00206717936757,-0.00206931893192
1980-02-28,1980-02-28,DXY00,1980-02-28,87.01,87.01,87.01,87.01,0.0,0.00126582278481,0.00126502230659
1980-02-29,1980-02-29,DXY00,1980-02-29,87.65,87.65,87.65,87.65,0.0,0.00735547638203,0.00732855678931
1980-03-03,1980-03-03,DXY00,1980-03-03,87.85,87.85,87.85,87.85,0.0,0.00228180262407,0.00227920326586
1980-03-04,1980-03-04,DXY00,1980-03-04,88.08001,88.08001,88.08001,88.08001,0.0,0.00261821286283,0.00261479131446
1980-03-05,1980-03-05,DXY00,1980-03-05,87.99,87.99,87.99,87.99,0.0,-0.00102191178225,-0.0010224342901
1980-03-06,1980-03-06,DXY00,1980-03-06,88.32,88.32,88.32,88.32,0.0,0.00375042618479,0.00374341087132
1980-03-07,1980-03-07,DXY00,1980-03-07,88.41,88.41,88.41,88.41,0.0,0.00101902173913,0.00101850288893
1980-03-10,1980-03-10,DXY00,1980-03-10,88.89001,88.89001,88.89001,88.89001,0.0,0.00542936319421,0.00541467733446
1980-03-11,1980-03-11,DXY00,1980-03-11,88.93,88.93,88.93,88.93,0.0,0.000449881825866,0.000449780659378
1980-03-12,1980-03-12,DXY00,1980-03-12,88.8,88.8,88.8,88.8,0.0,-0.00146182390644,-0.00146289341342
1980-03-13,1980-03-13,DXY00,1980-03-13,89.27,89.27,89.27,89.27,0.0,0.00529279279279,0.00527883519315
1980-03-14,1980-03-14,DXY00,1980-03-14,89.82,89.82,89.82,89.82,0.0,0.00616108435085,0.00614218246832
1980-03-17,1980-03-17,DXY00,1980-03-17,91.27,91.27,91.27,91.27,0.0,0.0161433979069,0.0160144788692
1980-03-18,1980-03-18,DXY00,1980-03-18,91.35,91.35,91.35,91.35,0.0,0.000876520214747,0.00087613629523
1980-03-19,1980-03-19,DXY00,1980-03-19,91.09,91.09,91.09,91.09,0.0,-0.00284619594964,-0.0028502540673
1980-03-20,1980-03-20,DXY00,1980-03-20,90.84,90.84,90.84,90.84,0.0,-0.00274453836865,-0.00274831151936
1980-03-21,1980-03-21,DXY00,1980-03-21,91.26,91.26,91.26,91.26,0.0,0.00462351387054,0.0046128582619
1980-03-24,1980-03-24,DXY00,1980-03-24,91.61,91.61,91.61,91.61,0.0,0.00383519614289,0.00382786052786
1980-03-25,1980-03-25,DXY00,1980-03-25,91.84,91.84,91.84,91.84,0.0,0.00251064294291,0.00250749654414
1980-03-26,1980-03-26,DXY00,1980-03-26,91.75,91.75,91.75,91.75,0.0,-0.000979965156794,-0.000980445636577
1980-03-27,1980-03-27,DXY00,1980-03-27,92.49,92.49,92.49,92.49,0.0,0.00806539509537,0.00803304363149
1980-03-28,1980-03-28,DXY00,1980-03-28,92.83001,92.83001,92.83001,92.83001,0.0,0.00367618120878,0.00366944056946
1980-03-31,1980-03-31,DXY00,1980-03-31,93.58001,93.58001,93.58001,93.58001,0.0,0.00807928384366,0.00804682116287
1980-04-01,1980-04-01,DXY00,1980-04-01,94.22,94.22,94.22,94.22,0.0,0.00683896058571,0.00681568097339
1980-04-02,1980-04-02,DXY00,1980-04-02,94.07,94.07,94.07,94.07,0.0,-0.00159201867969,-0.00159328728803
1980-04-03,1980-04-03,DXY00,1980-04-03,94.37,94.37,94.37,94.37,0.0,0.00318911448921,0.00318404004938
1980-04-04,1980-04-04,DXY00,1980-04-04,94.67,94.67,94.67,94.67,0.0,0.00317897636961,0.00317393410756
1980-04-07,1980-04-07,DXY00,1980-04-07,94.88,94.88,94.88,94.88,0.0,0.0022182317524,0.00221577510862
1980-04-08,1980-04-08,DXY00,1980-04-08,93.46,93.46,93.46,93.46,0.0,-0.0149662731872,-0.0150793979771
1980-04-09,1980-04-09,DXY00,1980-04-09,91.63,91.63,91.63,91.63,0.0,-0.0195805692275,-0.0197748082952
1980-04-10,1980-04-10,DXY00,1980-04-10,91.07,91.07,91.07,91.07,0.0,-0.0061115355233,-0.00613028739739
1980-04-11,1980-04-11,DXY00,1980-04-11,91.26,91.26,91.26,91.26,0.0,0.00208630723619,0.00208413391953
1980-04-14,1980-04-14,DXY00,1980-04-14,91.02,91.02,91.02,91.02,0.0,-0.00262984878369,-0.00263331291076
1980-04-15,1980-04-15,DXY00,1980-04-15,91.81,91.81,91.81,91.81,0.0,0.00867941111844,0.00864196156711
1980-04-16,1980-04-16,DXY00,1980-04-16,90.57,90.57,90.57,90.57,0.0,-0.0135061540137,-0.0135981917688
1980-04-17,1980-04-17,DXY00,1980-04-17,90.51,90.51,90.51,90.51,0.0,-0.000662471016893,-0.000662690547778
1980-04-18,1980-04-18,DXY00,1980-04-18,90.5,90.5,90.5,90.5,0.0,-0.000110485029279,-0.000110491133198
1980-04-21,1980-04-21,DXY00,1980-04-21,90.15,90.15,90.15,90.15,0.0,-0.00386740331492,-0.00387490105655
1980-04-22,1980-04-22,DXY00,1980-04-22,90.55,90.55,90.55,90.55,0.0,0.00443704936217,0.0044272346801
1980-04-23,1980-04-23,DXY00,1980-04-23,88.87,88.87,88.87,88.87,0.0,-0.0185532854776,-0.018727556579
1980-04-24,1980-04-24,DXY00,1980-04-24,88.83001,88.83001,88.83001,88.83001,0.0,-0.000449983121413,-0.0004500843942
1980-04-25,1980-04-25,DXY00,1980-04-25,88.68,88.68,88.68,88.68,0.0,-0.00168873109437,-0.00169015860807
1980-04-28,1980-04-28,DXY00,1980-04-28,88.04,88.04,88.04,88.04,0.0,-0.00721695985566,-0.00724312808985
1980-04-29,1980-04-29,DXY00,1980-04-29,88.01,88.01,88.01,88.01,0.0,-0.000340754202635,-0.00034081227254
1980-04-30,1980-04-30,DXY00,1980-04-30,88.11,88.11,88.11,88.11,0.0,0.0011362345188,0.00113558949292
1980-05-01,1980-05-01,DXY00,1980-05-01,88.22,88.22,88.22,88.22,0.0,0.00124843945069,0.00124766079816
1980-05-02,1980-05-02,DXY00,1980-05-02,88.9,88.9,88.9,88.9,0.0,0.00770800272047,0.00767844784307
1980-05-05,1980-05-05,DXY00,1980-05-05,87.84,87.84,87.84,87.84,0.0,-0.0119235095613,-0.0119951647586
1980-05-06,1980-05-06,DXY00,1980-05-06,87.41,87.41,87.41,87.41,0.0,-0.00489526411658,-0.00490728516882
1980-05-07,1980-05-07,DXY00,1980-05-07,87.21,87.21,87.21,87.21,0.0,-0.0022880677268,-0.0022906893535
1980-05-08,1980-05-08,DXY00,1980-05-08,87.5,87.5,87.5,87.5,0.0,0.00332530673088,0.00331979012468
1980-05-09,1980-05-09,DXY00,1980-05-09,88.01,88.01,88.01,88.01,0.0,0.00582857142857,0.00581165102215
1980-05-12,1980-05-12,DXY00,1980-05-12,87.08001,87.08001,87.08001,87.08001,0.0,-0.0105668674014,-0.0106230931824
1980-05-13,1980-05-13,DXY00,1980-05-13,87.23,87.23,87.23,87.23,0.0,0.00172243893863,0.00172095724186
1980-05-14,1980-05-14,DXY00,1980-05-14,86.92,86.92,86.92,86.92,0.0,-0.00355382322595,-0.0035601530569
1980-05-15,1980-05-15,DXY00,1980-05-15,86.97,86.97,86.97,86.97,0.0,0.000575241601473,0.000575076213445
1980-05-16,1980-05-16,DXY00,1980-05-16,87.24,87.24,87.24,87.24,0.0,0.00310451879959,0.00309970973175
1980-05-19,1980-05-19,DXY00,1980-05-19,87.39001,87.39001,87.39001,87.39001,0.0,0.00171950939936,0.00171803273559
1980-05-20,1980-05-20,DXY00,1980-05-20,87.24,87.24,87.24,87.24,0.0,-0.00171655776215,-0.00171803273559
1980-05-21,1980-05-21,DXY00,1980-05-21,86.38,86.38,86.38,86.38,0.0,-0.00985786336543,-0.00990677380087
1980-05-22,1980-05-22,DXY00,1980-05-22,86.37,86.37,86.37,86.37,0.0,-0.000115767538782,-0.000115774240361
1980-05-23,1980-05-23,DXY00,1980-05-23,85.78,85.78,85.78,85.78,0.0,-0.00683107560496,-0.00685451420346
1980-05-27,1980-05-27,DXY00,1980-05-27,85.15,85.15,85.15,85.15,0.0,-0.00734436931686,-0.00737147198004
1980-05-28,1980-05-28,DXY00,1980-05-28,85.68,85.68,85.68,85.68,0.0,0.0062243100411,0.0062050190308
1980-05-29,1980-05-29,DXY00,1980-05-29,85.9,85.9,85.9,85.9,0.0,0.00256769374416,0.00256440285072
1980-05-30,1980-05-30,DXY00,1980-05-30,85.93,85.93,85.93,85.93,0.0,0.00034924330617,0.000349182334922
1980-06-02,1980-06-02,DXY00,1980-06-02,86.09,86.09,86.09,86.09,0.0,0.00186198068195,0.00186024934473
1980-06-03,1980-06-03,DXY00,1980-06-03,86.07,86.07,86.07,86.07,0.0,-0.000232315019166,-0.000232342008481
1980-06-04,1980-06-04,DXY00,1980-06-04,85.8,85.8,85.8,85.8,0.0,-0.00313698152666,-0.00314191216747
1980-06-05,1980-06-05,DXY00,1980-06-05,85.72,85.72,85.72,85.72,0.0,-0.000932400932401,-0.00093283588854
1980-06-06,1980-06-06,DXY00,1980-06-06,85.5,85.5,85.5,85.5,0.0,-0.00256649556696,-0.00256979466266
1980-06-09,1980-06-09,DXY00,1980-06-09,84.99,84.99,84.99,84.99,0.0,-0.0059649122807,-0.00598277343218
1980-06-10,1980-06-10,DXY00,1980-06-10,85.02,85.02,85.02,85.02,0.0,0.000352982703848,0.000352920420109
1980-06-11,1980-06-11,DXY00,1980-06-11,85.19,85.19,85.19,85.19,0.0,0.00199952952247,0.00199753312411
1980-06-12,1980-06-12,DXY00,1980-06-12,85.07,85.07,85.07,85.07,0.0,-0.00140861603475,-0.00140960906696
1980-06-13,1980-06-13,DXY00,1980-06-13,84.75,84.75,84.75,84.75,0.0,-0.00376160808746,-0.00376870072723
1980-06-16,1980-06-16,DXY00,1980-06-16,85.12,85.12,85.12,85.12,0.0,0.00436578171091,0.00435627933277
1980-06-17,1980-06-17,DXY00,1980-06-17,85.16,85.16,85.16,85.16,0.0,0.00046992481203,0.000469814431945
1980-06-18,1980-06-18,DXY00,1980-06-18,85.02,85.02,85.02,85.02,0.0,-0.00164396430249,-0.00164531709463
1980-06-19,1980-06-19,DXY00,1980-06-19,85.16,85.16,85.16,85.16,0.0,0.00164667137144,0.00164531709463
1980-06-20,1980-06-20,DXY00,1980-06-20,85.25,85.25,85.25,85.25,0.0,0.00105683419446,0.00105627613835
1980-06-23,1980-06-23,DXY00,1980-06-23,85.14001,85.14001,85.14001,85.14001,0.0,-0.00129020527859,-0.00129103831002
1980-06-24,1980-06-24,DXY00,1980-06-24,85.27,85.27,85.27,85.27,0.0,0.0015267792428,0.00152561490035
1980-06-25,1980-06-25,DXY00,1980-06-25,85.32,85.32,85.32,85.32,0.0,0.000586372698487,0.000586200849192
1980-06-26,1980-06-26,DXY00,1980-06-26,85.16,85.16,85.16,85.16,0.0,-0.00187529301453,-0.00187705357787
1980-06-27,1980-06-27,DXY00,1980-06-27,85.13,85.13,85.13,85.13,0.0,-0.000352278064819,-0.000352340129314
1980-06-30,1980-06-30,DXY00,1980-06-30,85.2,85.2,85.2,85.2,0.0,0.00082227181957,0.000821933939305
1980-07-01,1980-07-01,DXY00,1980-07-01,85.1,85.1,85.1,85.1,0.0,-0.00117370892019,-0.00117439825594
1980-07-02,1980-07-02,DXY00,1980-07-02,85.0,85.0,85.0,85.0,0.0,-0.00117508813161,-0.00117577908901
1980-07-03,1980-07-03,DXY00,1980-07-03,84.89001,84.89001,84.89001,84.89001,0.0,-0.001294,-0.00129483794094
1980-07-07,1980-07-07,DXY00,1980-07-07,84.19,84.19,84.19,84.19,0.0,-0.00824608219507,-0.0082802691998
1980-07-08,1980-07-08,DXY00,1980-07-08,84.27,84.27,84.27,84.27,0.0,0.000950231618957,0.00094978043469
1980-07-09,1980-07-09,DXY00,1980-07-09,84.27,84.27,84.27,84.27,0.0,0.0,0.0
1980-07-10,1980-07-10,DXY00,1980-07-10,84.12,84.12,84.12,84.12,0.0,-0.00177999288003,-0.00178157894976
1980-07-11,1980-07-11,DXY00,1980-07-11,84.22,84.22,84.22,84.22,0.0,0.00118877793628,0.00118807189928
1980-07-14,1980-07-14,DXY00,1980-07-14,84.39001,84.39001,84.39001,84.39001,0.0,0.00201864165281,0.00201660693354
1980-07-15,1980-07-15,DXY00,1980-07-15,84.62,84.62,84.62,84.62,0.0,0.00272532258261,0.0027216156246
1980-07-16,1980-07-16,DXY00,1980-07-16,84.47,84.47,84.47,84.47,0.0,-0.00177263058379,-0.00177420355252
1980-07-17,1980-07-17,DXY00,1980-07-17,84.17,84.17,84.17,84.17,0.0,-0.00355155676572,-0.00355787851592
1980-07-18,1980-07-18,DXY00,1980-07-18,84.61,84.61,84.61,84.61,0.0,0.00522751574195,0.00521389971292
1980-07-21,1980-07-21,DXY00,1980-07-21,84.43,84.43,84.43,84.43,0.0,-0.00212740810779,-0.002129674255
1980-07-22,1980-07-22,DXY00,1980-07-22,84.31,84.31,84.31,84.31,0.0,-0.00142129574796,-0.00142230674682
1980-07-23,1980-07-23,DXY00,1980-07-23,84.53,84.53,84.53,84.53,0.0,0.00260941762543,0.00260601900625
1980-07-24,1980-07-24,DXY00,1980-07-24,84.3,84.3,84.3,84.3,0.0,-0.00272092748137,-0.00272463593303
1980-07-25,1980-07-25,DXY00,1980-07-25,84.54,84.54,84.54,84.54,0.0,0.00284697508897,0.00284293013083
1980-07-28,1980-07-28,DXY00,1980-07-28,84.73,84.73,84.73,84.73,0.0,0.00224745682517,0.00224493507173
1980-07-29,1980-07-29,DXY00,1980-07-29,85.29,85.29,85.29,85.29,0.0,0.00660922931665,0.00658748412065
1980-07-30,1980-07-30,DXY00,1980-07-30,85.92,85.92,85.92,85.92,0.0,0.00738656348927,0.00735941642954
