date,date,date.1,symbol,date.1.1,open,high,low,close,volume,interest,Returns,Log Returns
1967-03-31,1967-03-31,1967-03-31,HOY00,1967-03-31,0.106,0.106,0.106,0.106,0.0,0.0,,
1967-04-28,1967-04-28,1967-04-28,HOY00,1967-04-28,0.106,0.106,0.106,0.106,0.0,0.0,0.0,0.0
1967-05-31,1967-05-31,1967-05-31,HOY00,1967-05-31,0.1051,0.1051,0.1051,0.1051,0.0,0.0,-0.00849056603774,-0.00852681622916
1967-06-30,1967-06-30,1967-06-30,HOY00,1967-06-30,0.1051,0.1051,0.1051,0.1051,0.0,0.0,0.0,0.0
1967-07-31,1967-07-31,1967-07-31,HOY00,1967-07-31,0.1078,0.1078,0.1078,0.1078,0.0,0.0,0.0256898192198,0.025365380592
1967-08-31,1967-08-31,1967-08-31,HOY00,1967-08-31,0.108,0.108,0.108,0.108,0.0,0.0,0.00185528756957,0.00185356864932
1967-09-29,1967-09-29,1967-09-29,HOY00,1967-09-29,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1967-10-31,1967-10-31,1967-10-31,HOY00,1967-10-31,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1967-11-30,1967-11-30,1967-11-30,HOY00,1967-11-30,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1967-12-29,1967-12-29,1967-12-29,HOY00,1967-12-29,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1968-01-29,1968-01-29,1968-01-29,HOY00,1968-01-29,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1968-01-31,1968-01-31,1968-01-31,HOY00,1968-01-31,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1968-03-29,1968-03-29,1968-03-29,HOY00,1968-03-29,0.108,0.108,0.108,0.108,0.0,0.0,0.0,0.0
1968-04-30,1968-04-30,1968-04-30,HOY00,1968-04-30,0.1095,0.1095,0.1095,0.1095,0.0,0.0,0.0138888888889,0.0137933221323
1968-05-31,1968-05-31,1968-05-31,HOY00,1968-05-31,0.112,0.112,0.112,0.112,0.0,0.0,0.0228310502283,0.0225743220385
1968-06-28,1968-06-28,1968-06-28,HOY00,1968-06-28,0.112,0.112,0.112,0.112,0.0,0.0,0.0,0.0
1968-07-31,1968-07-31,1968-07-31,HOY00,1968-07-31,0.112,0.112,0.112,0.112,0.0,0.0,0.0,0.0
1968-08-30,1968-08-30,1968-08-30,HOY00,1968-08-30,0.1108,0.1108,0.1108,0.1108,0.0,0.0,-0.0107142857143,-0.0107720969819
1968-09-30,1968-09-30,1968-09-30,HOY00,1968-09-30,0.11,0.11,0.11,0.11,0.0,0.0,-0.0072202166065,-0.00724640852077
1968-10-31,1968-10-31,1968-10-31,HOY00,1968-10-31,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1968-11-29,1968-11-29,1968-11-29,HOY00,1968-11-29,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1968-12-31,1968-12-31,1968-12-31,HOY00,1968-12-31,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1969-01-31,1969-01-31,1969-01-31,HOY00,1969-01-31,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1969-02-28,1969-02-28,1969-02-28,HOY00,1969-02-28,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1969-03-31,1969-03-31,1969-03-31,HOY00,1969-03-31,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
1969-04-30,1969-04-30,1969-04-30,HOY00,1969-04-30,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0
