date,date,date.1,symbol,date.1.1,open,high,low,close,volume,interest,Returns,Log Returns
1971-06-21,1971-06-21,1971-06-21,PAY00,1971-06-21,36.0,36.0,36.0,36.0,0.0,0.0,,
1971-06-22,1971-06-22,1971-06-22,PAY00,1971-06-22,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-23,1971-06-23,1971-06-23,PAY00,1971-06-23,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-24,1971-06-24,1971-06-24,PAY00,1971-06-24,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-25,1971-06-25,1971-06-25,PAY00,1971-06-25,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-28,1971-06-28,1971-06-28,PAY00,1971-06-28,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-29,1971-06-29,1971-06-29,PAY00,1971-06-29,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-06-30,1971-06-30,1971-06-30,PAY00,1971-06-30,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-01,1971-07-01,1971-07-01,PAY00,1971-07-01,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-02,1971-07-02,1971-07-02,PAY00,1971-07-02,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-06,1971-07-06,1971-07-06,PAY00,1971-07-06,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-07,1971-07-07,1971-07-07,PAY00,1971-07-07,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-08,1971-07-08,1971-07-08,PAY00,1971-07-08,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-09,1971-07-09,1971-07-09,PAY00,1971-07-09,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-12,1971-07-12,1971-07-12,PAY00,1971-07-12,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-13,1971-07-13,1971-07-13,PAY00,1971-07-13,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-14,1971-07-14,1971-07-14,PAY00,1971-07-14,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-15,1971-07-15,1971-07-15,PAY00,1971-07-15,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-16,1971-07-16,1971-07-16,PAY00,1971-07-16,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-19,1971-07-19,1971-07-19,PAY00,1971-07-19,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-20,1971-07-20,1971-07-20,PAY00,1971-07-20,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-21,1971-07-21,1971-07-21,PAY00,1971-07-21,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-22,1971-07-22,1971-07-22,PAY00,1971-07-22,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-23,1971-07-23,1971-07-23,PAY00,1971-07-23,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0
1971-07-26,1971-07-26,1971-07-26,PAY00,1971-07-26,37.0,37.0,37.0,37.0,0.0,0.0,0.0277777777778,0.0273989741881
1971-07-27,1971-07-27,1971-07-27,PAY00,1971-07-27,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-07-28,1971-07-28,1971-07-28,PAY00,1971-07-28,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-07-29,1971-07-29,1971-07-29,PAY00,1971-07-29,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-07-30,1971-07-30,1971-07-30,PAY00,1971-07-30,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-02,1971-08-02,1971-08-02,PAY00,1971-08-02,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-03,1971-08-03,1971-08-03,PAY00,1971-08-03,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-04,1971-08-04,1971-08-04,PAY00,1971-08-04,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-05,1971-08-05,1971-08-05,PAY00,1971-08-05,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-06,1971-08-06,1971-08-06,PAY00,1971-08-06,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-09,1971-08-09,1971-08-09,PAY00,1971-08-09,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-10,1971-08-10,1971-08-10,PAY00,1971-08-10,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-11,1971-08-11,1971-08-11,PAY00,1971-08-11,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-12,1971-08-12,1971-08-12,PAY00,1971-08-12,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-13,1971-08-13,1971-08-13,PAY00,1971-08-13,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-16,1971-08-16,1971-08-16,PAY00,1971-08-16,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-17,1971-08-17,1971-08-17,PAY00,1971-08-17,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-18,1971-08-18,1971-08-18,PAY00,1971-08-18,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-19,1971-08-19,1971-08-19,PAY00,1971-08-19,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-20,1971-08-20,1971-08-20,PAY00,1971-08-20,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-23,1971-08-23,1971-08-23,PAY00,1971-08-23,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-24,1971-08-24,1971-08-24,PAY00,1971-08-24,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-25,1971-08-25,1971-08-25,PAY00,1971-08-25,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-26,1971-08-26,1971-08-26,PAY00,1971-08-26,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-27,1971-08-27,1971-08-27,PAY00,1971-08-27,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-30,1971-08-30,1971-08-30,PAY00,1971-08-30,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-08-31,1971-08-31,1971-08-31,PAY00,1971-08-31,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-01,1971-09-01,1971-09-01,PAY00,1971-09-01,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-02,1971-09-02,1971-09-02,PAY00,1971-09-02,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-03,1971-09-03,1971-09-03,PAY00,1971-09-03,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-07,1971-09-07,1971-09-07,PAY00,1971-09-07,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-08,1971-09-08,1971-09-08,PAY00,1971-09-08,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-09,1971-09-09,1971-09-09,PAY00,1971-09-09,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-10,1971-09-10,1971-09-10,PAY00,1971-09-10,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-13,1971-09-13,1971-09-13,PAY00,1971-09-13,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-14,1971-09-14,1971-09-14,PAY00,1971-09-14,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-15,1971-09-15,1971-09-15,PAY00,1971-09-15,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-16,1971-09-16,1971-09-16,PAY00,1971-09-16,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-17,1971-09-17,1971-09-17,PAY00,1971-09-17,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-20,1971-09-20,1971-09-20,PAY00,1971-09-20,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-21,1971-09-21,1971-09-21,PAY00,1971-09-21,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-22,1971-09-22,1971-09-22,PAY00,1971-09-22,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-23,1971-09-23,1971-09-23,PAY00,1971-09-23,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-24,1971-09-24,1971-09-24,PAY00,1971-09-24,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-27,1971-09-27,1971-09-27,PAY00,1971-09-27,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-28,1971-09-28,1971-09-28,PAY00,1971-09-28,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-29,1971-09-29,1971-09-29,PAY00,1971-09-29,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-09-30,1971-09-30,1971-09-30,PAY00,1971-09-30,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-10-01,1971-10-01,1971-10-01,PAY00,1971-10-01,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
1971-10-04,1971-10-04,1971-10-04,PAY00,1971-10-04,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0
