,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/11/2017,0.12,7/31/2017,,0.12,ACP
1,,,6/1/2017,6/8/2017,0.12,6/30/2017,,0.12,ACP
2,,,5/1/2017,5/9/2017,0.12,5/31/2017,,0.12,ACP
3,,,4/3/2017,4/11/2017,0.12,4/28/2017,,0.12,ACP
4,,,3/1/2017,3/9/2017,0.12,3/31/2017,,0.12,ACP
5,,,2/1/2017,2/9/2017,0.12,2/28/2017,,0.12,ACP
6,,,12/20/2016,12/28/2016,0.12,1/17/2017,,0.12,ACP
7,,,12/1/2016,12/8/2016,0.12,12/16/2016,,0.12,ACP
8,,,11/1/2016,11/8/2016,0.12,11/30/2016,,0.12,ACP
9,,,10/3/2016,10/11/2016,0.12,10/31/2016,,0.12,ACP
10,,,9/1/2016,9/8/2016,0.12,9/30/2016,,0.12,ACP
11,,,8/1/2016,8/9/2016,0.12,8/31/2016,,0.12,ACP
12,,,7/1/2016,7/7/2016,0.12,7/29/2016,,0.12,ACP
13,,,6/1/2016,6/9/2016,0.12,6/30/2016,,0.12,ACP
14,,,5/2/2016,5/10/2016,0.12,5/31/2016,,0.12,ACP
15,,,4/1/2016,4/7/2016,0.12,4/29/2016,,0.12,ACP
16,,,3/1/2016,3/9/2016,0.12,3/31/2016,,0.12,ACP
17,,,2/1/2016,2/9/2016,0.12,2/29/2016,,0.12,ACP
18,,,12/21/2015,12/29/2015,0.12,1/14/2016,,0.12,ACP
19,,,12/1/2015,12/9/2015,0.12,12/16/2015,,0.12,ACP
20,,,11/2/2015,11/10/2015,0.12,11/30/2015,,0.12,ACP
21,,,10/1/2015,10/8/2015,0.12,10/30/2015,,0.12,ACP
22,,,9/1/2015,9/9/2015,0.12,9/30/2015,,0.12,ACP
23,,,8/3/2015,8/11/2015,0.12,8/31/2015,,0.12,ACP
24,,,7/1/2015,7/9/2015,0.12,7/31/2015,,0.12,ACP
25,,,6/1/2015,6/9/2015,0.12,6/30/2015,,0.12,ACP
26,,,5/1/2015,5/7/2015,0.12,5/29/2015,,0.12,ACP
27,,,2/2/2015,2/10/2015,0.12,2/27/2015,,0.12,ACP
28,,,2/2/2015,3/10/2015,0.12,3/31/2015,,0.12,ACP
29,,,2/2/2015,4/9/2015,0.12,4/30/2015,,0.12,ACP
30,,,12/19/2014,12/29/2014,0.12,1/14/2015,,0.12,ACP
31,0.1702,,12/19/2014,12/29/2014,0.146,1/14/2015,S,0.4042,ACP
32,,,12/1/2014,12/9/2014,0.12,12/16/2014,,0.12,ACP
33,,,11/3/2014,11/13/2014,0.12,11/28/2014,,0.12,ACP
34,,,8/1/2014,8/7/2014,0.12,8/29/2014,,0.12,ACP
35,,,8/1/2014,9/10/2014,0.12,9/30/2014,,0.12,ACP
36,,,8/1/2014,10/9/2014,0.12,10/31/2014,,0.12,ACP
37,,,5/1/2014,5/8/2014,0.12,5/30/2014,,0.12,ACP
38,,,5/1/2014,6/10/2014,0.12,6/30/2014,,0.12,ACP
39,,,5/1/2014,7/9/2014,0.12,7/31/2014,,0.12,ACP
40,,,2/3/2014,2/11/2014,0.12,2/28/2014,,0.12,ACP
41,,,2/3/2014,3/11/2014,0.12,3/31/2014,,0.12,ACP
42,,,2/3/2014,4/9/2014,0.12,4/30/2014,,0.12,ACP
43,,,12/20/2013,12/27/2013,0.12,1/14/2014,,0.12,ACP
44,,,12/20/2013,12/27/2013,0.1,1/14/2014,S,0.169,ACP
45,,,12/2/2013,12/10/2013,0.12,12/16/2013,,0.12,ACP
46,,,11/1/2013,11/14/2013,0.12,11/29/2013,,0.12,ACP
47,,,8/1/2013,8/13/2013,0.12,8/30/2013,,0.12,ACP
48,,,8/1/2013,9/13/2013,0.12,9/30/2013,,0.12,ACP
49,,,8/1/2013,10/11/2013,0.12,10/31/2013,,0.12,ACP
50,,,5/1/2013,7/11/2013,0.12,7/31/2013,,0.12,ACP
51,,,5/1/2013,6/13/2013,0.12,6/28/2013,,0.12,ACP
52,,,5/1/2013,5/13/2013,0.12,5/31/2013,,0.12,ACP
53,,,2/1/2013,2/13/2013,0.12,2/28/2013,,0.12,ACP
54,,,2/1/2013,3/13/2013,0.12,3/28/2013,,0.12,ACP
55,,,2/1/2013,4/11/2013,0.12,4/30/2013,,0.12,ACP
56,,,12/20/2012,12/27/2012,0.12,1/14/2013,,0.12,ACP
57,,,12/3/2012,12/11/2012,0.12,12/17/2012,,0.12,ACP
58,,,10/1/2012,10/11/2012,0.12,10/31/2012,,0.12,ACP
59,,,10/1/2012,11/13/2012,0.12,11/30/2012,,0.12,ACP
60,,,7/2/2012,7/12/2012,0.12,7/31/2012,,0.12,ACP
61,,,7/2/2012,8/13/2012,0.12,8/31/2012,,0.12,ACP
62,,,7/2/2012,9/14/2012,0.12,9/28/2012,,0.12,ACP
63,,,4/2/2012,5/11/2012,0.12,5/31/2012,,0.12,ACP
64,,,4/2/2012,6/13/2012,0.12,6/29/2012,,0.12,ACP
65,,,4/2/2012,4/12/2012,0.12,4/30/2012,,0.12,ACP
66,,,12/20/2011,12/28/2011,0.12,1/13/2012,,0.12,ACP
67,,,12/20/2011,2/13/2012,0.12,2/29/2012,,0.12,ACP
68,,,12/20/2011,3/13/2012,0.12,3/30/2012,,0.12,ACP
69,,,12/1/2011,12/8/2011,0.13,12/16/2011,,0.13,ACP
70,,,11/1/2011,11/11/2011,0.13,11/30/2011,,0.13,ACP
71,,,10/3/2011,10/13/2011,0.13,10/31/2011,,0.13,ACP
72,,,7/1/2011,8/11/2011,0.13,8/31/2011,,0.13,ACP
73,,,7/1/2011,9/13/2011,0.13,9/30/2011,,0.13,ACP
74,,,7/1/2011,7/13/2011,0.13,7/29/2011,,0.13,ACP
75,,,6/1/2011,6/13/2011,0.13,6/30/2011,,0.13,ACP
76,,,5/2/2011,5/12/2011,0.13,5/31/2011,,0.13,ACP
77,,,3/7/2011,4/13/2011,0.13,4/29/2011,,0.13,ACP
