,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/23/2017,7/5/2017,0.05205,7/21/2017,,0.05205,AFB
1,,,5/26/2017,6/7/2017,0.05205,6/16/2017,,0.05205,AFB
2,,,4/24/2017,5/3/2017,0.05205,5/19/2017,,0.05205,AFB
3,,,3/27/2017,4/5/2017,0.05205,4/21/2017,,0.05205,AFB
4,,,2/17/2017,3/1/2017,0.05205,3/17/2017,,0.05205,AFB
5,,,1/23/2017,2/1/2017,0.0552,2/17/2017,,0.0552,AFB
6,,,12/22/2016,1/4/2017,0.0552,1/20/2017,,0.0552,AFB
7,,,11/28/2016,12/7/2016,0.0552,12/16/2016,,0.0552,AFB
8,,,10/24/2016,11/2/2016,0.0552,11/18/2016,,0.0552,AFB
9,,,9/26/2016,10/5/2016,0.0552,10/21/2016,,0.0552,AFB
10,,,8/26/2016,9/7/2016,0.0552,9/16/2016,,0.0552,AFB
11,,,7/25/2016,8/3/2016,0.0552,8/19/2016,,0.0552,AFB
