,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.017,7/3/2017,7/12/2017,0.018,7/31/2017,,0.047,AGC
1,,0.017,6/1/2017,6/13/2017,0.018,6/30/2017,,0.047,AGC
2,,,5/1/2017,5/11/2017,0.0183,5/31/2017,,0.047,AGC
3,,,4/3/2017,4/11/2017,0.0183,4/28/2017,,0.047,AGC
4,,,3/1/2017,3/13/2017,0.0183,3/31/2017,,0.047,AGC
5,,,2/1/2017,2/13/2017,0.017,2/28/2017,,0.047,AGC
6,,,1/3/2017,1/11/2017,0.0141,1/31/2017,,0.047,AGC
7,,,12/1/2016,12/13/2016,0.047,12/30/2016,,0.047,AGC
8,,,11/1/2016,11/10/2016,0.047,11/30/2016,,0.047,AGC
9,,0.0345,10/3/2016,10/12/2016,0.0125,10/31/2016,,0.047,AGC
10,,0.0345,9/1/2016,9/13/2016,0.0125,9/30/2016,,0.047,AGC
11,,0.0345,8/1/2016,8/11/2016,0.0125,8/31/2016,,0.047,AGC
