,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0215,6/20/2017,7/20/2017,0.0435,7/31/2017,,0.065,AGD
1,,0.0215,5/22/2017,6/21/2017,0.0435,6/30/2017,,0.065,AGD
2,,0.0215,4/20/2017,5/19/2017,0.0435,5/31/2017,,0.065,AGD
3,,0.0215,3/20/2017,4/19/2017,0.0435,4/28/2017,,0.065,AGD
4,,0.0215,2/21/2017,3/22/2017,0.0435,3/31/2017,,0.065,AGD
5,,0.0215,1/20/2017,2/16/2017,0.0435,2/28/2017,,0.065,AGD
6,,0.0215,12/20/2016,1/20/2017,0.0435,1/31/2017,,0.065,AGD
7,,0.0372,11/21/2016,12/20/2016,0.0278,12/30/2016,,0.065,AGD
8,,,10/20/2016,11/18/2016,0.065,11/30/2016,,0.065,AGD
9,,,9/20/2016,10/20/2016,0.065,10/31/2016,,0.065,AGD
10,,,8/22/2016,9/21/2016,0.065,9/30/2016,,0.065,AGD
11,,,7/20/2016,8/22/2016,0.065,8/31/2016,,0.065,AGD
