,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.21, u'NAVData': 9.62, u'DataDateDisplay': u'1/24/2014', u'DataDateJs': u'2014/01/24', u'DataDate': u'2014-01-24T00:00:00', u'DiscountData': -14.66}",AOD,AOD
1,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.07, u'NAVData': 9.56, u'DataDateDisplay': u'1/31/2014', u'DataDateJs': u'2014/01/31', u'DataDate': u'2014-01-31T00:00:00', u'DiscountData': -15.59}",AOD,AOD
2,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.14, u'NAVData': 9.63, u'DataDateDisplay': u'2/7/2014', u'DataDateJs': u'2014/02/07', u'DataDate': u'2014-02-07T00:00:00', u'DiscountData': -15.47}",AOD,AOD
3,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.32, u'NAVData': 9.84, u'DataDateDisplay': u'2/14/2014', u'DataDateJs': u'2014/02/14', u'DataDate': u'2014-02-14T00:00:00', u'DiscountData': -15.45}",AOD,AOD
4,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.27, u'NAVData': 9.82, u'DataDateDisplay': u'2/21/2014', u'DataDateJs': u'2014/02/21', u'DataDate': u'2014-02-21T00:00:00', u'DiscountData': -15.78}",AOD,AOD
5,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.46, u'NAVData': 9.96, u'DataDateDisplay': u'2/28/2014', u'DataDateJs': u'2014/02/28', u'DataDate': u'2014-02-28T00:00:00', u'DiscountData': -15.06}",AOD,AOD
6,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.47, u'NAVData': 9.99, u'DataDateDisplay': u'3/7/2014', u'DataDateJs': u'2014/03/07', u'DataDate': u'2014-03-07T00:00:00', u'DiscountData': -15.22}",AOD,AOD
7,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.29, u'NAVData': 9.76, u'DataDateDisplay': u'3/14/2014', u'DataDateJs': u'2014/03/14', u'DataDate': u'2014-03-14T00:00:00', u'DiscountData': -15.06}",AOD,AOD
8,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.27, u'NAVData': 9.78, u'DataDateDisplay': u'3/21/2014', u'DataDateJs': u'2014/03/21', u'DataDate': u'2014-03-21T00:00:00', u'DiscountData': -15.44}",AOD,AOD
9,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.34, u'NAVData': 9.85, u'DataDateDisplay': u'3/28/2014', u'DataDateJs': u'2014/03/28', u'DataDate': u'2014-03-28T00:00:00', u'DiscountData': -15.33}",AOD,AOD
10,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.43, u'NAVData': 9.91, u'DataDateDisplay': u'4/4/2014', u'DataDateJs': u'2014/04/04', u'DataDate': u'2014-04-04T00:00:00', u'DiscountData': -14.93}",AOD,AOD
11,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.3, u'NAVData': 9.71, u'DataDateDisplay': u'4/11/2014', u'DataDateJs': u'2014/04/11', u'DataDate': u'2014-04-11T00:00:00', u'DiscountData': -14.52}",AOD,AOD
12,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.43, u'NAVData': 9.84, u'DataDateDisplay': u'4/25/2014', u'DataDateJs': u'2014/04/25', u'DataDate': u'2014-04-25T00:00:00', u'DiscountData': -14.33}",AOD,AOD
13,021060207,2017-07-07T00:00:00,XAODX,Alpine Total Dynamic Dividend,All,"{u'Data': 8.57, u'NAVData': 9.97, u'DataDateDisplay': u'5/2/2014', u'DataDateJs': u'2014/05/02', u'DataDate': u'2014-05-02T00:00:00', u'DiscountData': -14.04}",AOD,AOD
