,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0635,8/1/2017,,0.0635,BBK
1,,,6/1/2017,6/13/2017,0.0635,7/3/2017,,0.0635,BBK
2,,,5/1/2017,5/11/2017,0.0635,6/1/2017,,0.0635,BBK
3,,,4/3/2017,4/11/2017,0.0635,5/1/2017,,0.0635,BBK
4,,,3/1/2017,3/13/2017,0.0635,4/3/2017,,0.0635,BBK
5,,,2/1/2017,2/13/2017,0.075,3/1/2017,,0.075,BBK
6,,,1/3/2017,1/11/2017,0.075,2/1/2017,,0.075,BBK
7,,,12/1/2016,12/8/2016,0.075,12/30/2016,,0.075,BBK
8,0.27727,,12/1/2016,12/8/2016,,12/30/2016,S,0.38902,BBK
9,,,11/1/2016,11/10/2016,0.075,12/1/2016,,0.075,BBK
10,,,10/3/2016,10/12/2016,0.075,11/1/2016,,0.075,BBK
11,,,9/1/2016,9/13/2016,0.075,10/3/2016,,0.075,BBK
12,,,8/1/2016,8/11/2016,0.075,9/1/2016,,0.075,BBK
