,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.061,8/1/2017,,0.061,BFY
1,,,6/1/2017,6/13/2017,0.061,7/3/2017,,0.061,BFY
2,,,5/1/2017,5/11/2017,0.061,6/1/2017,,0.061,BFY
3,,,4/3/2017,4/11/2017,0.061,5/1/2017,,0.061,BFY
4,,,3/1/2017,3/13/2017,0.061,4/3/2017,,0.061,BFY
5,,,2/1/2017,2/13/2017,0.066,3/1/2017,,0.066,BFY
6,,,1/3/2017,1/11/2017,0.066,2/1/2017,,0.066,BFY
7,,,12/1/2016,12/8/2016,0.066,12/30/2016,,0.066,BFY
8,,,11/1/2016,11/10/2016,0.066,12/1/2016,,0.066,BFY
9,,,10/3/2016,10/12/2016,0.066,11/1/2016,,0.066,BFY
10,,,9/1/2016,9/13/2016,0.066,10/3/2016,,0.066,BFY
11,,,8/1/2016,8/11/2016,0.066,9/1/2016,,0.066,BFY
12,,,7/1/2016,7/13/2016,0.066,8/1/2016,,0.066,BFY
13,,,6/1/2016,6/13/2016,0.066,7/1/2016,,0.066,BFY
14,,,5/2/2016,5/12/2016,0.07,6/1/2016,,0.07,BFY
15,,,4/1/2016,4/13/2016,0.07,5/2/2016,,0.07,BFY
16,,,3/1/2016,3/11/2016,0.07,4/1/2016,,0.07,BFY
17,,,2/1/2016,2/11/2016,0.07,3/1/2016,,0.07,BFY
18,,,1/4/2016,1/13/2016,0.07,2/1/2016,,0.07,BFY
19,,,12/1/2015,12/10/2015,0.07,12/31/2015,,0.07,BFY
20,,,11/2/2015,11/12/2015,0.07,12/1/2015,,0.07,BFY
21,,,10/1/2015,10/13/2015,0.07,11/2/2015,,0.07,BFY
22,,,9/1/2015,9/11/2015,0.07,10/1/2015,,0.07,BFY
23,,,8/3/2015,8/12/2015,0.07,9/1/2015,,0.07,BFY
24,,,7/1/2015,7/13/2015,0.07,8/3/2015,,0.07,BFY
25,,,6/1/2015,6/11/2015,0.07,7/1/2015,,0.07,BFY
26,,,5/1/2015,5/13/2015,0.07,6/1/2015,,0.07,BFY
27,,,4/1/2015,4/13/2015,0.07,5/1/2015,,0.07,BFY
28,,,3/2/2015,3/11/2015,0.07,4/1/2015,,0.07,BFY
29,,,2/2/2015,2/11/2015,0.07,3/2/2015,,0.07,BFY
30,,,1/2/2015,1/13/2015,0.07,2/2/2015,,0.07,BFY
31,,,12/1/2014,12/10/2014,0.07,12/31/2014,,0.07,BFY
32,,,12/1/2014,12/10/2014,0.0014,12/31/2014,S,0.0014,BFY
33,,,11/3/2014,11/12/2014,0.07,12/1/2014,,0.07,BFY
34,,,10/1/2014,10/10/2014,0.07,11/3/2014,,0.07,BFY
35,,,9/2/2014,9/11/2014,0.07,10/1/2014,,0.07,BFY
36,,,8/1/2014,8/13/2014,0.07,9/2/2014,,0.07,BFY
37,,,7/1/2014,7/11/2014,0.07,8/1/2014,,0.07,BFY
38,,,6/2/2014,6/12/2014,0.07,7/1/2014,,0.07,BFY
39,,,5/1/2014,5/13/2014,0.07,6/2/2014,,0.07,BFY
40,,,4/1/2014,4/11/2014,0.07,5/1/2014,,0.07,BFY
41,,,3/3/2014,3/12/2014,0.07,4/1/2014,,0.07,BFY
42,,,2/3/2014,2/12/2014,0.07,3/3/2014,,0.07,BFY
43,,,1/2/2014,1/13/2014,0.07,2/3/2014,,0.07,BFY
44,,,12/2/2013,12/11/2013,0.07,12/31/2013,,0.07,BFY
45,,,11/1/2013,11/13/2013,0.07,12/2/2013,,0.07,BFY
46,,,10/1/2013,10/11/2013,0.07,11/1/2013,,0.07,BFY
47,,,9/3/2013,9/12/2013,0.07,10/1/2013,,0.07,BFY
48,,,8/1/2013,8/13/2013,0.07,9/3/2013,,0.07,BFY
49,,,7/1/2013,7/11/2013,0.07,8/1/2013,,0.07,BFY
50,,,6/3/2013,6/12/2013,0.07,7/1/2013,,0.07,BFY
51,,,5/1/2013,5/13/2013,0.07,6/3/2013,,0.07,BFY
52,,,4/1/2013,4/11/2013,0.07,5/1/2013,,0.07,BFY
53,,,3/1/2013,3/13/2013,0.07,4/1/2013,,0.07,BFY
54,,,2/1/2013,2/13/2013,0.077,3/1/2013,,0.077,BFY
55,,,1/2/2013,1/11/2013,0.077,2/1/2013,,0.077,BFY
56,,,12/4/2012,12/12/2012,0.077,12/31/2012,,0.077,BFY
57,,,11/1/2012,11/13/2012,0.077,12/3/2012,,0.077,BFY
58,,,10/1/2012,10/11/2012,0.077,11/1/2012,,0.077,BFY
59,,,9/4/2012,9/12/2012,0.081,10/1/2012,,0.081,BFY
60,,,8/1/2012,8/13/2012,0.081,9/4/2012,,0.081,BFY
61,,,7/2/2012,7/12/2012,0.081,8/1/2012,,0.081,BFY
62,,,6/1/2012,6/13/2012,0.081,7/2/2012,,0.081,BFY
63,,,5/1/2012,5/11/2012,0.0835,6/1/2012,,0.0835,BFY
64,,,4/2/2012,4/12/2012,0.0835,5/1/2012,,0.0835,BFY
65,,,3/1/2012,3/13/2012,0.0835,4/2/2012,,0.0835,BFY
66,,,2/1/2012,2/13/2012,0.0835,3/1/2012,,0.0835,BFY
67,,,1/3/2012,1/11/2012,0.0835,2/1/2012,,0.0835,BFY
68,,,12/5/2011,12/13/2011,0.0835,12/30/2011,,0.0835,BFY
69,,,11/1/2011,11/10/2011,0.0835,12/1/2011,,0.0835,BFY
70,,,10/3/2011,10/12/2011,0.0835,11/1/2011,,0.0835,BFY
71,,,9/1/2011,9/13/2011,0.0835,10/3/2011,,0.0835,BFY
72,,,8/1/2011,8/11/2011,0.0835,9/1/2011,,0.0835,BFY
73,,,7/1/2011,7/13/2011,0.0835,8/1/2011,,0.0835,BFY
74,,,6/1/2011,6/13/2011,0.0835,7/1/2011,,0.0835,BFY
75,,,5/2/2011,5/12/2011,0.0835,6/1/2011,,0.0835,BFY
76,,,4/1/2011,4/13/2011,0.0835,5/2/2011,,0.0835,BFY
77,,,3/1/2011,3/11/2011,0.0835,4/1/2011,,0.0835,BFY
78,,,2/1/2011,2/11/2011,0.0835,3/1/2011,,0.0835,BFY
79,,,1/3/2011,1/12/2011,0.0835,2/1/2011,,0.0835,BFY
80,,,12/6/2010,12/13/2010,0.0835,12/31/2010,,0.0835,BFY
81,,,11/1/2010,11/10/2010,0.0835,12/1/2010,,0.0835,BFY
82,,,10/1/2010,10/13/2010,0.0835,11/1/2010,,0.0835,BFY
83,,,9/1/2010,9/13/2010,0.0835,10/1/2010,,0.0835,BFY
84,,,8/2/2010,8/12/2010,0.082,9/1/2010,,0.082,BFY
85,,,7/1/2010,7/13/2010,0.082,8/2/2010,,0.082,BFY
86,,,6/1/2010,6/11/2010,0.082,7/1/2010,,0.082,BFY
87,,,5/3/2010,5/12/2010,0.08,6/1/2010,,0.08,BFY
88,,,4/1/2010,4/13/2010,0.08,5/3/2010,,0.08,BFY
89,,,3/1/2010,3/11/2010,0.08,4/1/2010,,0.08,BFY
90,,,2/1/2010,2/10/2010,0.08,3/1/2010,,0.08,BFY
91,,,1/4/2010,1/13/2010,0.08,2/1/2010,,0.08,BFY
92,,,12/7/2009,12/11/2009,0.08,12/31/2009,,0.08,BFY
93,,,11/2/2009,11/10/2009,0.08,12/1/2009,,0.08,BFY
94,,,10/1/2009,10/13/2009,0.08,11/2/2009,,0.08,BFY
95,,,9/1/2009,9/11/2009,0.08,10/1/2009,,0.08,BFY
96,,,8/3/2009,8/12/2009,0.0775,9/1/2009,,0.0775,BFY
97,,,7/1/2009,7/13/2009,0.0775,8/3/2009,,0.0775,BFY
98,,,6/1/2009,6/11/2009,0.0775,7/1/2009,,0.0775,BFY
99,,,5/1/2009,5/13/2009,0.0625,6/1/2009,,0.0625,BFY
100,,,4/1/2009,4/13/2009,0.0625,5/1/2009,,0.0625,BFY
101,,,3/2/2009,3/12/2009,,4/1/2009,,0.0625,BFY
102,,,2/2/2009,2/11/2009,0.0625,3/2/2009,,0.0625,BFY
103,,,1/2/2009,1/13/2009,0.0625,2/2/2009,,0.0625,BFY
104,,,12/5/2008,12/11/2008,0.0625,12/31/2008,,0.0625,BFY
105,,,11/3/2008,11/12/2008,0.0625,12/1/2008,,0.0625,BFY
106,,,10/1/2008,10/10/2008,0.0625,11/3/2008,,0.0625,BFY
107,,,9/2/2008,9/11/2008,,10/1/2008,,0.0625,BFY
108,,,8/1/2008,8/13/2008,,9/2/2008,,0.0625,BFY
109,,,7/1/2008,7/11/2008,,8/1/2008,,0.0625,BFY
110,,,6/2/2008,6/12/2008,,7/1/2008,,0.0625,BFY
111,,,5/1/2008,5/13/2008,,6/2/2008,,0.0625,BFY
112,,,4/1/2008,4/11/2008,,5/1/2008,,0.0625,BFY
113,,,3/3/2008,3/12/2008,,4/1/2008,,0.0625,BFY
114,,,2/1/2008,2/13/2008,,3/3/2008,,0.0625,BFY
115,,,1/2/2008,1/11/2008,,2/1/2008,,0.0625,BFY
116,,,12/21/2007,12/26/2007,,1/14/2008,S,0.04186,BFY
117,,,12/21/2007,12/26/2007,,1/14/2008,,0.0625,BFY
118,,,11/1/2007,11/13/2007,,12/3/2007,,0.0625,BFY
