,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.1, u'NAVData': 14.31, u'DataDateDisplay': u'8/2/2002', u'DataDateJs': u'2002/08/02', u'DataDate': u'2002-08-02T00:00:00', u'DiscountData': 5.49}",BFY,BFY
1,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.0, u'NAVData': 14.35, u'DataDateDisplay': u'8/9/2002', u'DataDateJs': u'2002/08/09', u'DataDate': u'2002-08-09T00:00:00', u'DiscountData': 4.53}",BFY,BFY
2,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.0, u'NAVData': 14.36, u'DataDateDisplay': u'8/16/2002', u'DataDateJs': u'2002/08/16', u'DataDate': u'2002-08-16T00:00:00', u'DiscountData': 4.46}",BFY,BFY
3,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.35, u'NAVData': 14.38, u'DataDateDisplay': u'8/23/2002', u'DataDateJs': u'2002/08/23', u'DataDate': u'2002-08-23T00:00:00', u'DiscountData': 6.75}",BFY,BFY
4,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.1, u'NAVData': 14.47, u'DataDateDisplay': u'8/30/2002', u'DataDateJs': u'2002/08/30', u'DataDate': u'2002-08-30T00:00:00', u'DiscountData': 4.35}",BFY,BFY
5,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 15.01, u'NAVData': 14.61, u'DataDateDisplay': u'9/6/2002', u'DataDateJs': u'2002/09/06', u'DataDate': u'2002-09-06T00:00:00', u'DiscountData': 2.74}",BFY,BFY
6,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 14.85, u'NAVData': 14.66, u'DataDateDisplay': u'9/13/2002', u'DataDateJs': u'2002/09/13', u'DataDate': u'2002-09-13T00:00:00', u'DiscountData': 1.3}",BFY,BFY
7,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 14.75, u'NAVData': 14.66, u'DataDateDisplay': u'9/20/2002', u'DataDateJs': u'2002/09/20', u'DataDate': u'2002-09-20T00:00:00', u'DiscountData': 0.61}",BFY,BFY
8,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 14.4, u'NAVData': 14.62, u'DataDateDisplay': u'9/27/2002', u'DataDateJs': u'2002/09/27', u'DataDate': u'2002-09-27T00:00:00', u'DiscountData': -1.5}",BFY,BFY
9,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 14.8, u'NAVData': 14.73, u'DataDateDisplay': u'10/4/2002', u'DataDateJs': u'2002/10/04', u'DataDate': u'2002-10-04T00:00:00', u'DiscountData': 0.5}",BFY,BFY
10,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 14.41, u'NAVData': 14.55, u'DataDateDisplay': u'10/11/2002', u'DataDateJs': u'2002/10/11', u'DataDate': u'2002-10-11T00:00:00', u'DiscountData': -0.96}",BFY,BFY
11,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 13.7, u'NAVData': 13.76, u'DataDateDisplay': u'10/18/2002', u'DataDateJs': u'2002/10/18', u'DataDate': u'2002-10-18T00:00:00', u'DiscountData': -0.44}",BFY,BFY
12,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 13.2, u'NAVData': 13.72, u'DataDateDisplay': u'10/25/2002', u'DataDateJs': u'2002/10/25', u'DataDate': u'2002-10-25T00:00:00', u'DiscountData': -3.78}",BFY,BFY
13,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 13.55, u'NAVData': 13.94, u'DataDateDisplay': u'11/1/2002', u'DataDateJs': u'2002/11/01', u'DataDate': u'2002-11-01T00:00:00', u'DiscountData': -2.83}",BFY,BFY
14,09249R102,2017-07-07T00:00:00,XBFYX,BlackRock NY Municipal Inc II,All,"{u'Data': 13.54, u'NAVData': 14.21, u'DataDateDisplay': u'11/8/2002', u'DataDateJs': u'2002/11/08', u'DataDate': u'2002-11-08T00:00:00', u'DiscountData': -4.74}",BFY,BFY
