,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.02079,7/3/2017,7/12/2017,0.01721,7/31/2017,,0.038,BGY
1,,0.02079,6/1/2017,6/13/2017,0.01721,6/30/2017,,0.038,BGY
2,,0.02899,5/1/2017,5/11/2017,0.00901,5/31/2017,,0.038,BGY
3,,0.02899,4/3/2017,4/11/2017,0.00901,4/28/2017,,0.038,BGY
4,,0.02709,3/1/2017,3/13/2017,0.01091,3/31/2017,,0.038,BGY
5,,0.038,2/1/2017,2/13/2017,,2/28/2017,,0.038,BGY
6,,0.03698,1/3/2017,1/11/2017,0.00102,1/31/2017,,0.038,BGY
7,,0.03319,12/7/2016,12/15/2016,0.00482,12/30/2016,,0.038,BGY
8,,0.03319,11/1/2016,11/10/2016,0.00482,11/30/2016,,0.038,BGY
9,,0.03319,10/3/2016,10/12/2016,0.00482,10/31/2016,,0.038,BGY
10,,0.03319,9/1/2016,9/13/2016,0.00482,9/30/2016,,0.038,BGY
11,,0.03319,8/1/2016,8/11/2016,0.00482,8/31/2016,,0.038,BGY
