,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 20.0, u'NAVData': 19.1, u'DataDateDisplay': u'3/15/2013', u'DataDateJs': u'2013/03/15', u'DataDate': u'2013-03-15T00:00:00', u'DiscountData': 4.71}",BIT,BIT
1,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 20.0, u'NAVData': 19.08, u'DataDateDisplay': u'3/22/2013', u'DataDateJs': u'2013/03/22', u'DataDate': u'2013-03-22T00:00:00', u'DiscountData': 4.82}",BIT,BIT
2,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 19.9, u'NAVData': 19.13, u'DataDateDisplay': u'4/5/2013', u'DataDateJs': u'2013/04/05', u'DataDate': u'2013-04-05T00:00:00', u'DiscountData': 4.03}",BIT,BIT
3,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 19.55, u'NAVData': 19.25, u'DataDateDisplay': u'4/12/2013', u'DataDateJs': u'2013/04/12', u'DataDate': u'2013-04-12T00:00:00', u'DiscountData': 1.56}",BIT,BIT
4,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 19.51, u'NAVData': 19.13, u'DataDateDisplay': u'4/19/2013', u'DataDateJs': u'2013/04/19', u'DataDate': u'2013-04-19T00:00:00', u'DiscountData': 1.99}",BIT,BIT
5,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 18.9, u'NAVData': 19.45, u'DataDateDisplay': u'4/26/2013', u'DataDateJs': u'2013/04/26', u'DataDate': u'2013-04-26T00:00:00', u'DiscountData': -2.83}",BIT,BIT
6,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 19.29, u'NAVData': 19.69, u'DataDateDisplay': u'5/3/2013', u'DataDateJs': u'2013/05/03', u'DataDate': u'2013-05-03T00:00:00', u'DiscountData': -2.03}",BIT,BIT
7,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 19.47, u'NAVData': 19.78, u'DataDateDisplay': u'5/10/2013', u'DataDateJs': u'2013/05/10', u'DataDate': u'2013-05-10T00:00:00', u'DiscountData': -1.57}",BIT,BIT
8,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 18.76, u'NAVData': 19.62, u'DataDateDisplay': u'5/17/2013', u'DataDateJs': u'2013/05/17', u'DataDate': u'2013-05-17T00:00:00', u'DiscountData': -4.38}",BIT,BIT
9,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 18.37, u'NAVData': 19.58, u'DataDateDisplay': u'5/24/2013', u'DataDateJs': u'2013/05/24', u'DataDate': u'2013-05-24T00:00:00', u'DiscountData': -6.18}",BIT,BIT
10,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 18.0, u'NAVData': 19.36, u'DataDateDisplay': u'5/31/2013', u'DataDateJs': u'2013/05/31', u'DataDate': u'2013-05-31T00:00:00', u'DiscountData': -7.02}",BIT,BIT
11,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 17.94, u'NAVData': 19.02, u'DataDateDisplay': u'6/7/2013', u'DataDateJs': u'2013/06/07', u'DataDate': u'2013-06-07T00:00:00', u'DiscountData': -5.68}",BIT,BIT
12,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 18.0, u'NAVData': 18.71, u'DataDateDisplay': u'6/14/2013', u'DataDateJs': u'2013/06/14', u'DataDate': u'2013-06-14T00:00:00', u'DiscountData': -3.79}",BIT,BIT
13,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 17.2, u'NAVData': 18.31, u'DataDateDisplay': u'6/21/2013', u'DataDateJs': u'2013/06/21', u'DataDate': u'2013-06-21T00:00:00', u'DiscountData': -6.06}",BIT,BIT
14,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 17.56, u'NAVData': 18.11, u'DataDateDisplay': u'6/28/2013', u'DataDateJs': u'2013/06/28', u'DataDate': u'2013-06-28T00:00:00', u'DiscountData': -3.04}",BIT,BIT
15,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.6, u'NAVData': 18.1, u'DataDateDisplay': u'7/5/2013', u'DataDateJs': u'2013/07/05', u'DataDate': u'2013-07-05T00:00:00', u'DiscountData': -8.29}",BIT,BIT
16,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.4, u'NAVData': 18.16, u'DataDateDisplay': u'7/12/2013', u'DataDateJs': u'2013/07/12', u'DataDate': u'2013-07-12T00:00:00', u'DiscountData': -9.69}",BIT,BIT
17,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.34, u'NAVData': 18.45, u'DataDateDisplay': u'7/19/2013', u'DataDateJs': u'2013/07/19', u'DataDate': u'2013-07-19T00:00:00', u'DiscountData': -11.44}",BIT,BIT
18,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.76, u'NAVData': 18.39, u'DataDateDisplay': u'7/26/2013', u'DataDateJs': u'2013/07/26', u'DataDate': u'2013-07-26T00:00:00', u'DiscountData': -8.86}",BIT,BIT
19,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.33, u'NAVData': 18.38, u'DataDateDisplay': u'8/2/2013', u'DataDateJs': u'2013/08/02', u'DataDate': u'2013-08-02T00:00:00', u'DiscountData': -11.15}",BIT,BIT
20,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.72, u'NAVData': 18.38, u'DataDateDisplay': u'8/9/2013', u'DataDateJs': u'2013/08/09', u'DataDate': u'2013-08-09T00:00:00', u'DiscountData': -9.03}",BIT,BIT
21,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 15.84, u'NAVData': 18.17, u'DataDateDisplay': u'8/16/2013', u'DataDateJs': u'2013/08/16', u'DataDate': u'2013-08-16T00:00:00', u'DiscountData': -12.82}",BIT,BIT
22,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 15.98, u'NAVData': 18.04, u'DataDateDisplay': u'8/23/2013', u'DataDateJs': u'2013/08/23', u'DataDate': u'2013-08-23T00:00:00', u'DiscountData': -11.42}",BIT,BIT
23,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 15.63, u'NAVData': 18.07, u'DataDateDisplay': u'8/30/2013', u'DataDateJs': u'2013/08/30', u'DataDate': u'2013-08-30T00:00:00', u'DiscountData': -13.5}",BIT,BIT
24,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.11, u'NAVData': 18.08, u'DataDateDisplay': u'9/6/2013', u'DataDateJs': u'2013/09/06', u'DataDate': u'2013-09-06T00:00:00', u'DiscountData': -10.9}",BIT,BIT
25,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.04, u'NAVData': 18.08, u'DataDateDisplay': u'9/13/2013', u'DataDateJs': u'2013/09/13', u'DataDate': u'2013-09-13T00:00:00', u'DiscountData': -11.28}",BIT,BIT
26,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.27, u'NAVData': 18.35, u'DataDateDisplay': u'9/20/2013', u'DataDateJs': u'2013/09/20', u'DataDate': u'2013-09-20T00:00:00', u'DiscountData': -11.34}",BIT,BIT
27,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.64, u'NAVData': 18.32, u'DataDateDisplay': u'9/27/2013', u'DataDateJs': u'2013/09/27', u'DataDate': u'2013-09-27T00:00:00', u'DiscountData': -9.17}",BIT,BIT
28,09258A107,2017-07-07T00:00:00,XBITX,BlackRock Multi-Sector Income,All,"{u'Data': 16.73, u'NAVData': 18.43, u'DataDateDisplay': u'10/4/2013', u'DataDateJs': u'2013/10/04', u'DataDate': u'2013-10-04T00:00:00', u'DiscountData': -9.22}",BIT,BIT
