,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.062,8/1/2017,,0.062,BKN
1,,,6/1/2017,6/13/2017,0.062,7/3/2017,,0.062,BKN
2,,,5/1/2017,5/11/2017,0.062,6/1/2017,,0.062,BKN
3,,,4/3/2017,4/11/2017,0.062,5/1/2017,,0.062,BKN
4,,,3/1/2017,3/13/2017,0.062,4/3/2017,,0.062,BKN
5,,,2/1/2017,2/13/2017,0.072,3/1/2017,,0.072,BKN
6,,,1/3/2017,1/11/2017,0.072,2/1/2017,,0.072,BKN
7,,,12/1/2016,12/8/2016,0.072,12/30/2016,,0.072,BKN
8,0.22125,,12/1/2016,12/8/2016,0.0,12/30/2016,S,0.26002,BKN
9,,,11/1/2016,11/10/2016,0.072,12/1/2016,,0.072,BKN
10,,,10/3/2016,10/12/2016,0.072,11/1/2016,,0.072,BKN
11,,,9/1/2016,9/13/2016,0.072,10/3/2016,,0.072,BKN
12,,,8/1/2016,8/11/2016,0.072,9/1/2016,,0.072,BKN
