,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.0, u'NAVData': 14.33, u'DataDateDisplay': u'7/27/2001', u'DataDateJs': u'2001/07/27', u'DataDate': u'2001-07-27T00:00:00', u'DiscountData': 4.68}",BNY,BNY
1,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.07, u'NAVData': 14.3, u'DataDateDisplay': u'8/3/2001', u'DataDateJs': u'2001/08/03', u'DataDate': u'2001-08-03T00:00:00', u'DiscountData': 5.38}",BNY,BNY
2,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.2, u'NAVData': 14.32, u'DataDateDisplay': u'8/10/2001', u'DataDateJs': u'2001/08/10', u'DataDate': u'2001-08-10T00:00:00', u'DiscountData': 6.15}",BNY,BNY
3,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.18, u'NAVData': 14.39, u'DataDateDisplay': u'8/17/2001', u'DataDateJs': u'2001/08/17', u'DataDate': u'2001-08-17T00:00:00', u'DiscountData': 5.49}",BNY,BNY
4,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.19, u'NAVData': 14.39, u'DataDateDisplay': u'8/24/2001', u'DataDateJs': u'2001/08/24', u'DataDate': u'2001-08-24T00:00:00', u'DiscountData': 5.56}",BNY,BNY
5,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.32, u'NAVData': 14.43, u'DataDateDisplay': u'8/31/2001', u'DataDateJs': u'2001/08/31', u'DataDate': u'2001-08-31T00:00:00', u'DiscountData': 6.17}",BNY,BNY
6,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.35, u'NAVData': 14.4, u'DataDateDisplay': u'9/7/2001', u'DataDateJs': u'2001/09/07', u'DataDate': u'2001-09-07T00:00:00', u'DiscountData': 6.6}",BNY,BNY
7,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.37, u'NAVData': 14.15, u'DataDateDisplay': u'9/14/2001', u'DataDateJs': u'2001/09/14', u'DataDate': u'2001-09-14T00:00:00', u'DiscountData': 8.62}",BNY,BNY
8,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.17, u'NAVData': 14.05, u'DataDateDisplay': u'9/21/2001', u'DataDateJs': u'2001/09/21', u'DataDate': u'2001-09-21T00:00:00', u'DiscountData': 0.85}",BNY,BNY
9,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.99, u'NAVData': 13.97, u'DataDateDisplay': u'9/28/2001', u'DataDateJs': u'2001/09/28', u'DataDate': u'2001-09-28T00:00:00', u'DiscountData': 7.3}",BNY,BNY
10,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 15.1, u'NAVData': 14.11, u'DataDateDisplay': u'10/5/2001', u'DataDateJs': u'2001/10/05', u'DataDate': u'2001-10-05T00:00:00', u'DiscountData': 7.02}",BNY,BNY
11,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.75, u'NAVData': 13.95, u'DataDateDisplay': u'10/12/2001', u'DataDateJs': u'2001/10/12', u'DataDate': u'2001-10-12T00:00:00', u'DiscountData': 5.73}",BNY,BNY
12,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.8, u'NAVData': 13.98, u'DataDateDisplay': u'10/19/2001', u'DataDateJs': u'2001/10/19', u'DataDate': u'2001-10-19T00:00:00', u'DiscountData': 5.87}",BNY,BNY
13,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.4, u'NAVData': 13.91, u'DataDateDisplay': u'10/26/2001', u'DataDateJs': u'2001/10/26', u'DataDate': u'2001-10-26T00:00:00', u'DiscountData': 3.52}",BNY,BNY
14,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.81, u'NAVData': 14.12, u'DataDateDisplay': u'11/2/2001', u'DataDateJs': u'2001/11/02', u'DataDate': u'2001-11-02T00:00:00', u'DiscountData': 4.89}",BNY,BNY
15,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.95, u'NAVData': 14.27, u'DataDateDisplay': u'11/9/2001', u'DataDateJs': u'2001/11/09', u'DataDate': u'2001-11-09T00:00:00', u'DiscountData': 4.77}",BNY,BNY
16,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.92, u'NAVData': 13.73, u'DataDateDisplay': u'11/16/2001', u'DataDateJs': u'2001/11/16', u'DataDate': u'2001-11-16T00:00:00', u'DiscountData': 8.67}",BNY,BNY
17,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.74, u'NAVData': 13.55, u'DataDateDisplay': u'11/23/2001', u'DataDateJs': u'2001/11/23', u'DataDate': u'2001-11-23T00:00:00', u'DiscountData': 8.78}",BNY,BNY
18,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.7, u'NAVData': 13.69, u'DataDateDisplay': u'11/30/2001', u'DataDateJs': u'2001/11/30', u'DataDate': u'2001-11-30T00:00:00', u'DiscountData': 7.38}",BNY,BNY
19,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.41, u'NAVData': 13.21, u'DataDateDisplay': u'12/7/2001', u'DataDateJs': u'2001/12/07', u'DataDate': u'2001-12-07T00:00:00', u'DiscountData': 9.08}",BNY,BNY
20,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.65, u'NAVData': 13.19, u'DataDateDisplay': u'12/14/2001', u'DataDateJs': u'2001/12/14', u'DataDate': u'2001-12-14T00:00:00', u'DiscountData': 11.07}",BNY,BNY
21,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 13.82, u'NAVData': 13.13, u'DataDateDisplay': u'12/21/2001', u'DataDateJs': u'2001/12/21', u'DataDate': u'2001-12-21T00:00:00', u'DiscountData': 5.26}",BNY,BNY
22,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 13.45, u'NAVData': 13.16, u'DataDateDisplay': u'12/28/2001', u'DataDateJs': u'2001/12/28', u'DataDate': u'2001-12-28T00:00:00', u'DiscountData': 2.2}",BNY,BNY
23,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 13.95, u'NAVData': 13.31, u'DataDateDisplay': u'1/4/2002', u'DataDateJs': u'2002/01/04', u'DataDate': u'2002-01-04T00:00:00', u'DiscountData': 4.81}",BNY,BNY
24,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.03, u'NAVData': 13.76, u'DataDateDisplay': u'1/11/2002', u'DataDateJs': u'2002/01/11', u'DataDate': u'2002-01-11T00:00:00', u'DiscountData': 1.96}",BNY,BNY
25,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.46, u'NAVData': 13.81, u'DataDateDisplay': u'1/18/2002', u'DataDateJs': u'2002/01/18', u'DataDate': u'2002-01-18T00:00:00', u'DiscountData': 4.71}",BNY,BNY
26,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.54, u'NAVData': 13.63, u'DataDateDisplay': u'1/25/2002', u'DataDateJs': u'2002/01/25', u'DataDate': u'2002-01-25T00:00:00', u'DiscountData': 6.68}",BNY,BNY
27,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.62, u'NAVData': 13.74, u'DataDateDisplay': u'2/1/2002', u'DataDateJs': u'2002/02/01', u'DataDate': u'2002-02-01T00:00:00', u'DiscountData': 6.4}",BNY,BNY
28,09248L106,2017-07-07T00:00:00,XBNYX,BlackRock NY Municipal Income,All,"{u'Data': 14.65, u'NAVData': 13.86, u'DataDateDisplay': u'2/8/2002', u'DataDateJs': u'2002/02/08', u'DataDate': u'2002-02-08T00:00:00', u'DiscountData': 5.7}",BNY,BNY
