,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.35, u'NAVData': 23.97, u'DataDateDisplay': u'7/8/2005', u'DataDateJs': u'2005/07/08', u'DataDate': u'2005-07-08T00:00:00', u'DiscountData': 1.59}",BOE,BOE
1,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.7, u'NAVData': 24.15, u'DataDateDisplay': u'7/15/2005', u'DataDateJs': u'2005/07/15', u'DataDate': u'2005-07-15T00:00:00', u'DiscountData': 2.28}",BOE,BOE
2,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.44, u'NAVData': 24.34, u'DataDateDisplay': u'7/22/2005', u'DataDateJs': u'2005/07/22', u'DataDate': u'2005-07-22T00:00:00', u'DiscountData': 0.41}",BOE,BOE
3,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.16, u'NAVData': 24.31, u'DataDateDisplay': u'7/29/2005', u'DataDateJs': u'2005/07/29', u'DataDate': u'2005-07-29T00:00:00', u'DiscountData': -0.62}",BOE,BOE
4,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.35, u'NAVData': 24.56, u'DataDateDisplay': u'8/5/2005', u'DataDateJs': u'2005/08/05', u'DataDate': u'2005-08-05T00:00:00', u'DiscountData': -0.86}",BOE,BOE
5,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.97, u'NAVData': 24.27, u'DataDateDisplay': u'8/12/2005', u'DataDateJs': u'2005/08/12', u'DataDate': u'2005-08-12T00:00:00', u'DiscountData': -1.24}",BOE,BOE
6,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.55, u'NAVData': 23.98, u'DataDateDisplay': u'8/19/2005', u'DataDateJs': u'2005/08/19', u'DataDate': u'2005-08-19T00:00:00', u'DiscountData': 2.38}",BOE,BOE
7,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.42, u'NAVData': 23.97, u'DataDateDisplay': u'8/26/2005', u'DataDateJs': u'2005/08/26', u'DataDate': u'2005-08-26T00:00:00', u'DiscountData': 1.88}",BOE,BOE
8,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.5, u'NAVData': 24.42, u'DataDateDisplay': u'9/2/2005', u'DataDateJs': u'2005/09/02', u'DataDate': u'2005-09-02T00:00:00', u'DiscountData': 0.33}",BOE,BOE
9,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.54, u'NAVData': 24.73, u'DataDateDisplay': u'9/9/2005', u'DataDateJs': u'2005/09/09', u'DataDate': u'2005-09-09T00:00:00', u'DiscountData': -0.77}",BOE,BOE
10,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.42, u'NAVData': 24.57, u'DataDateDisplay': u'9/16/2005', u'DataDateJs': u'2005/09/16', u'DataDate': u'2005-09-16T00:00:00', u'DiscountData': -0.61}",BOE,BOE
11,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.97, u'NAVData': 24.34, u'DataDateDisplay': u'9/23/2005', u'DataDateJs': u'2005/09/23', u'DataDate': u'2005-09-23T00:00:00', u'DiscountData': -1.52}",BOE,BOE
12,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.44, u'NAVData': 24.63, u'DataDateDisplay': u'9/30/2005', u'DataDateJs': u'2005/09/30', u'DataDate': u'2005-09-30T00:00:00', u'DiscountData': -4.83}",BOE,BOE
13,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.41, u'NAVData': 24.07, u'DataDateDisplay': u'10/7/2005', u'DataDateJs': u'2005/10/07', u'DataDate': u'2005-10-07T00:00:00', u'DiscountData': 1.41}",BOE,BOE
14,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 24.26, u'NAVData': 23.8, u'DataDateDisplay': u'10/14/2005', u'DataDateJs': u'2005/10/14', u'DataDate': u'2005-10-14T00:00:00', u'DiscountData': 1.93}",BOE,BOE
15,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.65, u'NAVData': 23.24, u'DataDateDisplay': u'10/21/2005', u'DataDateJs': u'2005/10/21', u'DataDate': u'2005-10-21T00:00:00', u'DiscountData': 1.76}",BOE,BOE
16,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.78, u'NAVData': 23.46, u'DataDateDisplay': u'10/28/2005', u'DataDateJs': u'2005/10/28', u'DataDate': u'2005-10-28T00:00:00', u'DiscountData': 1.36}",BOE,BOE
17,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 23.95, u'NAVData': 23.96, u'DataDateDisplay': u'11/4/2005', u'DataDateJs': u'2005/11/04', u'DataDate': u'2005-11-04T00:00:00', u'DiscountData': -0.04}",BOE,BOE
18,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.42, u'NAVData': 23.55, u'DataDateDisplay': u'11/18/2005', u'DataDateJs': u'2005/11/18', u'DataDate': u'2005-11-18T00:00:00', u'DiscountData': -4.8}",BOE,BOE
19,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.05, u'NAVData': 23.76, u'DataDateDisplay': u'11/25/2005', u'DataDateJs': u'2005/11/25', u'DataDate': u'2005-11-25T00:00:00', u'DiscountData': -7.2}",BOE,BOE
20,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.61, u'NAVData': 24.06, u'DataDateDisplay': u'12/2/2005', u'DataDateJs': u'2005/12/02', u'DataDate': u'2005-12-02T00:00:00', u'DiscountData': -6.03}",BOE,BOE
21,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.76, u'NAVData': 24.29, u'DataDateDisplay': u'12/9/2005', u'DataDateJs': u'2005/12/09', u'DataDate': u'2005-12-09T00:00:00', u'DiscountData': -6.3}",BOE,BOE
22,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.88, u'NAVData': 24.48, u'DataDateDisplay': u'12/16/2005', u'DataDateJs': u'2005/12/16', u'DataDate': u'2005-12-16T00:00:00', u'DiscountData': -6.54}",BOE,BOE
23,092501105,2017-07-07T00:00:00,XBOEX,BlackRock Enhanced Global Div,All,"{u'Data': 22.6, u'NAVData': 24.64, u'DataDateDisplay': u'12/23/2005', u'DataDateJs': u'2005/12/23', u'DataDate': u'2005-12-23T00:00:00', u'DiscountData': -8.28}",BOE,BOE
