,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,5/11/2017,5/17/2017,0.2,6/1/2017,,0.2,CBA
1,,0.2,1/26/2017,2/15/2017,,2/24/2017,,0.2,CBA
2,,0.2,10/24/2016,11/16/2016,,11/25/2016,,0.2,CBA
3,,0.2,7/21/2016,8/17/2016,,8/26/2016,,0.2,CBA
4,,0.2,4/25/2016,5/18/2016,,5/27/2016,,0.2,CBA
5,,0.2,2/1/2016,2/17/2016,,2/26/2016,,0.2,CBA
6,,0.305,10/22/2015,11/18/2015,,11/27/2015,,0.305,CBA
7,,0.305,7/27/2015,8/19/2015,,8/28/2015,,0.305,CBA
8,,0.305,4/20/2015,5/20/2015,,5/29/2015,,0.305,CBA
9,,0.305,1/26/2015,2/18/2015,,2/27/2015,,0.305,CBA
10,,0.305,10/20/2014,11/19/2014,,11/28/2014,,0.305,CBA
11,,0.3,7/24/2014,8/20/2014,,8/29/2014,,0.3,CBA
12,,0.3,4/21/2014,5/21/2014,,5/30/2014,,0.3,CBA
13,,0.3,1/27/2014,2/19/2014,,2/28/2014,,0.3,CBA
14,,0.3,10/21/2013,11/20/2013,,11/29/2013,,0.3,CBA
15,,0.3,8/5/2013,8/14/2013,,8/23/2013,,0.3,CBA
