,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/18/2017,0.046,7/31/2017,,0.046,CCA
1,,,6/1/2017,6/13/2017,0.046,6/30/2017,,0.046,CCA
2,,,5/1/2017,5/16/2017,0.047,5/31/2017,,0.047,CCA
3,,,4/3/2017,4/18/2017,0.047,4/28/2017,,0.047,CCA
4,,,3/1/2017,3/14/2017,0.048,3/31/2017,,0.048,CCA
5,,,2/1/2017,2/14/2017,0.047,2/28/2017,,0.047,CCA
6,,,1/3/2017,1/17/2017,0.047,1/31/2017,,0.047,CCA
7,,,12/1/2016,12/20/2016,0.047,12/30/2016,,0.047,CCA
8,,,11/1/2016,11/15/2016,0.0465,11/30/2016,,0.0465,CCA
9,,,10/3/2016,10/18/2016,0.0475,10/31/2016,,0.0475,CCA
10,,,9/1/2016,9/20/2016,0.0475,9/30/2016,,0.0475,CCA
11,,,8/1/2016,8/16/2016,0.0485,8/31/2016,,0.0485,CCA
