,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0128,6/30/2017,7/7/2017,0.1542,7/14/2017,,0.167,CCD
1,,0.1233,6/1/2017,6/8/2017,0.0437,6/15/2017,,0.167,CCD
2,,0.1021,4/28/2017,5/8/2017,0.0649,5/15/2017,,0.167,CCD
3,,0.1191,3/31/2017,4/7/2017,0.0479,4/17/2017,,0.167,CCD
4,,0.0382,2/28/2017,3/8/2017,0.1288,3/15/2017,,0.167,CCD
5,,0.0753,1/31/2017,2/8/2017,0.0917,2/15/2017,,0.167,CCD
6,,,12/19/2016,12/28/2016,0.167,1/5/2017,,0.167,CCD
7,,,12/1/2016,12/8/2016,0.167,12/15/2016,,0.167,CCD
8,,,11/7/2016,11/7/2016,0.167,11/15/2016,,0.167,CCD
9,,0.1118,9/30/2016,10/6/2016,0.0552,10/14/2016,,0.167,CCD
10,,0.1118,9/1/2016,9/8/2016,0.0552,9/15/2016,,0.167,CCD
11,,0.1118,7/29/2016,8/8/2016,0.0552,8/15/2016,,0.167,CCD
