,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.00832,7/3/2017,7/18/2017,0.01427,7/31/2017,,0.02259,CIF
1,,0.00834,6/1/2017,6/13/2017,0.0143,6/30/2017,,0.02264,CIF
2,,0.0083,5/1/2017,5/16/2017,0.01424,5/31/2017,,0.02254,CIF
3,,0.00773,4/3/2017,4/18/2017,0.01468,4/28/2017,,0.02241,CIF
4,,0.00768,3/1/2017,3/14/2017,0.01493,3/31/2017,,0.02261,CIF
5,,0.00797,2/1/2017,2/14/2017,0.01451,2/28/2017,,0.02248,CIF
6,,0.00768,1/3/2017,1/17/2017,0.01451,1/31/2017,,0.02219,CIF
7,,0.00711,12/1/2016,12/20/2016,0.01482,12/30/2016,,0.02193,CIF
8,,0.00779,11/1/2016,11/15/2016,0.01467,11/30/2016,,0.02246,CIF
9,,0.00725,10/3/2016,10/18/2016,0.01507,10/31/2016,,0.02232,CIF
10,,0.00763,9/1/2016,9/20/2016,0.01468,9/30/2016,,0.02231,CIF
11,,0.00673,8/1/2016,8/16/2016,0.0153,8/31/2016,,0.02203,CIF
12,,0.00557,7/1/2016,7/19/2016,0.01591,7/29/2016,,0.02148,CIF
13,,0.00515,6/1/2016,6/14/2016,0.01622,6/30/2016,,0.02137,CIF
14,,0.00392,5/2/2016,5/17/2016,0.0172,5/31/2016,,0.02112,CIF
15,,0.00608,4/1/2016,4/19/2016,0.01457,4/29/2016,,0.02065,CIF
16,,0.00261,3/1/2016,3/15/2016,0.01679,3/31/2016,,0.0194,CIF
17,,0.00359,2/1/2016,2/16/2016,0.01643,2/29/2016,,0.02002,CIF
18,,0.00448,1/4/2016,1/19/2016,0.01623,1/29/2016,,0.02071,CIF
19,,,12/1/2015,12/15/2015,0.02178,12/31/2015,,0.02178,CIF
20,,0.00452,11/2/2015,11/17/2015,0.01751,11/30/2015,,0.02203,CIF
21,,0.00458,10/1/2015,10/13/2015,0.01775,10/30/2015,,0.02233,CIF
22,,0.00468,9/1/2015,9/15/2015,0.0181,9/30/2015,,0.02278,CIF
23,,0.00482,8/3/2015,8/18/2015,0.01866,8/31/2015,,0.02348,CIF
24,,0.00492,7/1/2015,7/14/2015,0.01906,7/31/2015,,0.02398,CIF
25,,0.005,6/1/2015,6/16/2015,0.01935,6/30/2015,,0.02435,CIF
26,,0.00502,5/1/2015,5/12/2015,0.01943,5/29/2015,,0.02445,CIF
27,,,4/1/2015,4/14/2015,0.017,4/30/2015,,0.017,CIF
28,,,3/2/2015,3/17/2015,0.017,3/31/2015,,0.017,CIF
29,,,2/2/2015,2/17/2015,0.017,2/27/2015,,0.017,CIF
30,,,1/2/2015,1/13/2015,0.017,1/30/2015,,0.017,CIF
31,,,12/1/2014,12/16/2014,0.00895,12/31/2014,S,0.00895,CIF
32,,,12/1/2014,12/16/2014,0.016,12/31/2014,,0.016,CIF
33,,,11/3/2014,11/18/2014,0.016,11/28/2014,,0.016,CIF
34,,,10/1/2014,10/14/2014,0.016,10/31/2014,,0.016,CIF
35,,,9/2/2014,9/16/2014,0.0165,9/30/2014,,0.0165,CIF
36,,,8/1/2014,8/12/2014,0.017,8/29/2014,,0.017,CIF
37,,,7/1/2014,7/15/2014,0.0175,7/31/2014,,0.0175,CIF
38,,,6/2/2014,6/17/2014,0.0175,6/30/2014,,0.0175,CIF
39,,,5/1/2014,5/13/2014,0.018,5/30/2014,,0.018,CIF
40,,,4/1/2014,4/15/2014,0.0185,4/30/2014,,0.0185,CIF
41,,,3/3/2014,3/18/2014,0.019,3/31/2014,,0.019,CIF
42,,,2/3/2014,2/18/2014,0.0195,2/28/2014,,0.0195,CIF
43,0.00439,,1/2/2014,1/14/2014,0.01511,1/31/2014,,0.0195,CIF
44,,,12/2/2013,12/17/2013,0.017,12/31/2013,,0.017,CIF
45,,,12/2/2013,12/17/2013,0.014,12/31/2013,S,0.014,CIF
46,,,11/1/2013,11/12/2013,0.017,11/29/2013,,0.017,CIF
47,,,10/1/2013,10/15/2013,0.017,10/31/2013,,0.017,CIF
48,,,9/3/2013,9/17/2013,0.0175,9/30/2013,,0.0175,CIF
49,,,8/1/2013,8/13/2013,0.0175,8/30/2013,,0.0175,CIF
50,,,7/1/2013,7/16/2013,0.018,7/31/2013,,0.018,CIF
51,,,6/3/2013,6/18/2013,0.019,6/28/2013,,0.019,CIF
52,,,5/1/2013,5/14/2013,0.0195,5/31/2013,,0.0195,CIF
53,,,4/1/2013,4/16/2013,0.021,4/30/2013,,0.021,CIF
54,,,3/1/2013,3/12/2013,0.021,3/28/2013,,0.021,CIF
55,,,2/1/2013,2/12/2013,0.021,2/28/2013,,0.021,CIF
56,,,1/2/2013,1/15/2013,0.021,1/31/2013,,0.021,CIF
57,,,12/3/2012,12/18/2012,0.021,12/31/2012,,0.021,CIF
58,0.01,,12/3/2012,12/18/2012,,12/31/2012,S,0.01,CIF
59,,,11/1/2012,11/13/2012,0.021,11/30/2012,,0.021,CIF
60,,,10/1/2012,10/16/2012,0.021,10/31/2012,,0.021,CIF
61,,,9/4/2012,9/18/2012,0.021,9/28/2012,,0.021,CIF
62,,,8/1/2012,8/14/2012,0.021,8/31/2012,,0.021,CIF
63,,,7/2/2012,7/17/2012,0.022,7/31/2012,,0.022,CIF
64,,,6/1/2012,6/12/2012,0.022,6/29/2012,,0.022,CIF
65,,,5/1/2012,5/15/2012,0.022,5/31/2012,,0.022,CIF
66,,,4/2/2012,4/17/2012,0.022,4/30/2012,,0.022,CIF
67,,,3/1/2012,3/13/2012,0.022,3/30/2012,,0.022,CIF
68,,,2/1/2012,2/14/2012,0.022,2/29/2012,,0.022,CIF
69,,,1/3/2012,1/17/2012,0.022,1/31/2012,,0.022,CIF
70,,,12/1/2011,12/12/2011,0.022,12/30/2011,,0.022,CIF
71,,,12/1/2011,12/12/2011,0.0271,12/30/2011,S,0.0271,CIF
72,,,11/1/2011,11/14/2011,0.022,11/30/2011,,0.022,CIF
73,,,10/3/2011,10/11/2011,0.021,10/31/2011,,0.021,CIF
74,,,9/1/2011,9/12/2011,0.021,9/30/2011,,0.021,CIF
75,,,8/1/2011,8/9/2011,0.021,8/31/2011,,0.021,CIF
76,,,7/1/2011,7/12/2011,0.021,7/29/2011,,0.021,CIF
77,,,6/1/2011,6/8/2011,0.021,6/30/2011,,0.021,CIF
78,,,5/2/2011,5/10/2011,0.022,5/31/2011,,0.022,CIF
79,,,4/1/2011,4/13/2011,0.022,4/29/2011,,0.022,CIF
80,,,3/1/2011,3/9/2011,0.022,3/31/2011,,0.022,CIF
81,,,2/1/2011,2/9/2011,0.022,2/28/2011,,0.022,CIF
82,,,1/3/2011,1/11/2011,0.023,1/31/2011,,0.023,CIF
83,,,12/1/2010,12/13/2010,0.023,12/31/2010,,0.023,CIF
