,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.06301,7/3/2017,7/12/2017,0.01979,7/31/2017,,0.0828,CII
1,,0.06301,6/1/2017,6/13/2017,0.01979,6/30/2017,,0.0828,CII
2,,0.07471,5/1/2017,5/11/2017,0.00809,5/31/2017,,0.0828,CII
3,,0.07358,4/3/2017,4/11/2017,0.00922,4/28/2017,,0.0828,CII
4,,0.05346,3/1/2017,3/13/2017,0.02934,3/31/2017,,0.0828,CII
5,,0.08218,2/1/2017,2/13/2017,0.00062,2/28/2017,,0.0828,CII
6,,0.07336,1/3/2017,1/11/2017,0.00944,1/31/2017,,0.0828,CII
7,,0.07317,12/7/2016,12/15/2016,0.00963,12/30/2016,,0.0828,CII
8,,0.07317,11/1/2016,11/10/2016,0.00963,11/30/2016,,0.0828,CII
9,,0.07317,10/3/2016,10/12/2016,0.00963,10/31/2016,,0.0828,CII
10,,0.08838,9/1/2016,9/13/2016,0.01163,9/30/2016,,0.1,CII
11,,0.08838,8/1/2016,8/11/2016,0.01163,8/31/2016,,0.1,CII
