,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.29,5/11/2017,5/17/2017,,6/1/2017,,0.29,CTR
1,,0.29,1/26/2017,2/15/2017,,2/24/2017,,0.29,CTR
2,,0.29,10/24/2016,11/16/2016,,11/25/2016,,0.29,CTR
3,,0.29,7/21/2016,8/17/2016,,8/26/2016,,0.29,CTR
4,,0.29,4/25/2016,5/18/2016,,5/27/2016,,0.29,CTR
5,,0.29,1/25/2016,2/17/2016,,2/26/2016,,0.29,CTR
6,,0.36,10/22/2015,11/18/2015,,11/27/2015,,0.36,CTR
7,,0.355,7/27/2015,8/19/2015,,8/28/2015,,0.355,CTR
8,,0.345,4/20/2015,5/20/2015,,5/29/2015,,0.345,CTR
9,,0.34,1/26/2015,2/18/2015,,2/27/2015,,0.34,CTR
10,,0.335,10/20/2014,11/19/2014,,11/28/2014,,0.335,CTR
11,,0.33,7/24/2014,8/20/2014,,8/29/2014,,0.33,CTR
12,,0.33,4/21/2014,5/21/2014,,5/30/2014,,0.33,CTR
13,,0.26139,1/27/2014,2/19/2014,0.06861,2/28/2014,,0.33,CTR
14,,0.26139,10/21/2013,11/20/2013,0.06861,11/29/2013,,0.33,CTR
15,,0.26139,7/22/2013,8/21/2013,0.06861,8/30/2013,,0.33,CTR
16,,0.26139,4/18/2013,5/22/2013,0.06861,5/31/2013,,0.33,CTR
17,,,1/22/2013,2/13/2013,0.33,2/22/2013,,0.33,CTR
18,,,10/17/2012,11/20/2012,0.325,11/30/2012,,0.325,CTR
19,,,8/6/2012,8/15/2012,0.325,8/24/2012,,0.325,CTR
