,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/18/2017,0.041,7/31/2017,,0.041,CXH
1,,,6/1/2017,6/13/2017,0.041,6/30/2017,,0.041,CXH
2,,,5/1/2017,5/16/2017,0.041,5/31/2017,,0.041,CXH
3,,,4/3/2017,4/18/2017,0.04,4/28/2017,,0.04,CXH
4,,,3/1/2017,3/14/2017,0.0405,3/31/2017,,0.0405,CXH
5,,,2/1/2017,2/14/2017,0.0395,2/28/2017,,0.0395,CXH
6,,,1/3/2017,1/17/2017,0.0395,1/31/2017,,0.0395,CXH
7,,,12/1/2016,12/20/2016,0.0395,12/30/2016,,0.0395,CXH
8,,,11/1/2016,11/15/2016,0.0385,11/30/2016,,0.0385,CXH
9,,,10/3/2016,10/18/2016,0.0395,10/31/2016,,0.0395,CXH
10,,,9/1/2016,9/20/2016,0.0395,9/30/2016,,0.0395,CXH
11,,,8/1/2016,8/16/2016,0.0395,8/31/2016,,0.0395,CXH
