,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/9/2017,6/15/2017,0.069,6/30/2017,,0.069,DHG
1,,,5/9/2017,5/17/2017,0.0675,5/31/2017,,0.0675,DHG
2,,,4/7/2017,4/13/2017,0.0675,4/28/2017,,0.0675,DHG
3,,,3/10/2017,3/16/2017,0.0675,3/31/2017,,0.0675,DHG
4,,,2/9/2017,2/16/2017,0.0675,2/28/2017,,0.0675,DHG
5,,,1/9/2017,1/17/2017,0.0675,1/31/2017,,0.0675,DHG
6,,,12/20/2016,12/28/2016,0.01,1/13/2017,S,0.01,DHG
7,,,12/9/2016,12/15/2016,0.0675,12/30/2016,,0.0675,DHG
8,,,11/10/2016,11/17/2016,0.065,11/30/2016,,0.065,DHG
9,,,10/7/2016,10/13/2016,0.065,10/31/2016,,0.065,DHG
10,,,9/9/2016,9/15/2016,0.0625,9/30/2016,,0.0625,DHG
11,,,8/8/2016,8/16/2016,0.0625,8/31/2016,,0.0625,DHG
12,,,7/8/2016,7/14/2016,0.0625,7/29/2016,,0.0625,DHG
13,,,6/10/2016,6/16/2016,0.0625,6/30/2016,,0.0625,DHG
14,,,5/9/2016,5/17/2016,0.0625,5/31/2016,,0.0625,DHG
15,,,4/8/2016,4/14/2016,0.0625,4/29/2016,,0.0625,DHG
16,,,3/10/2016,3/17/2016,0.0625,3/31/2016,,0.0625,DHG
17,,,2/9/2016,2/17/2016,0.06,2/29/2016,,0.06,DHG
18,,,1/8/2016,1/14/2016,0.06,1/29/2016,,0.06,DHG
19,,,12/10/2015,12/17/2015,0.06,12/31/2015,,0.06,DHG
20,,,11/10/2015,11/18/2015,0.075,11/30/2015,,0.075,DHG
21,,,10/9/2015,10/15/2015,0.075,10/30/2015,,0.075,DHG
22,,,9/10/2015,9/17/2015,0.075,9/30/2015,,0.075,DHG
23,,,8/7/2015,8/13/2015,0.075,8/31/2015,,0.075,DHG
24,,,7/10/2015,7/16/2015,0.085,7/31/2015,,0.085,DHG
25,,,6/10/2015,6/18/2015,0.085,6/30/2015,,0.085,DHG
26,,,5/8/2015,5/14/2015,0.085,5/29/2015,,0.085,DHG
27,,,4/10/2015,4/16/2015,0.085,4/30/2015,,0.085,DHG
28,,,3/10/2015,3/18/2015,0.085,3/31/2015,,0.085,DHG
29,,,2/9/2015,2/17/2015,0.089,2/27/2015,,0.089,DHG
30,,,1/9/2015,1/15/2015,0.089,1/30/2015,,0.089,DHG
31,,,12/8/2014,12/16/2014,0.089,12/31/2014,,0.089,DHG
32,,,11/10/2014,11/18/2014,0.089,11/28/2014,,0.089,DHG
33,,,10/10/2014,10/16/2014,0.089,10/31/2014,,0.089,DHG
34,,,9/9/2014,9/17/2014,0.089,9/30/2014,,0.089,DHG
35,,,8/8/2014,8/14/2014,0.087,8/29/2014,,0.087,DHG
36,,,7/10/2014,7/17/2014,0.087,7/31/2014,,0.087,DHG
37,,,6/10/2014,6/18/2014,0.087,6/30/2014,,0.087,DHG
38,,,5/9/2014,5/15/2014,0.085,5/30/2014,,0.085,DHG
39,,,4/10/2014,4/16/2014,0.085,4/30/2014,,0.085,DHG
40,,,3/10/2014,3/18/2014,0.085,3/31/2014,,0.085,DHG
41,,,2/10/2014,2/18/2014,0.085,2/28/2014,,0.085,DHG
42,,,1/10/2014,1/16/2014,0.085,1/31/2014,,0.085,DHG
43,,,12/10/2013,12/18/2013,0.085,12/31/2013,,0.085,DHG
44,,,11/8/2013,11/14/2013,0.093,11/29/2013,,0.093,DHG
45,,,10/8/2013,10/16/2013,0.093,10/31/2013,,0.093,DHG
46,,,9/11/2013,9/19/2013,0.093,9/30/2013,,0.093,DHG
47,,,8/8/2013,8/15/2013,0.0935,8/30/2013,,0.0935,DHG
48,,,7/10/2013,7/18/2013,0.095,7/31/2013,,0.095,DHG
49,,,6/10/2013,6/18/2013,0.095,6/28/2013,,0.095,DHG
50,,,5/8/2013,5/16/2013,0.095,5/31/2013,,0.095,DHG
51,,,4/10/2013,4/18/2013,0.095,4/30/2013,,0.095,DHG
52,,,3/8/2013,3/14/2013,0.1015,3/28/2013,,0.1015,DHG
53,,,2/8/2013,2/14/2013,0.1015,2/28/2013,,0.1015,DHG
54,,,1/10/2013,1/17/2013,0.104,1/31/2013,,0.104,DHG
55,,,12/10/2012,12/18/2012,0.104,12/31/2012,,0.104,DHG
56,,,11/9/2012,11/15/2012,0.104,11/30/2012,,0.104,DHG
57,,,10/8/2012,10/16/2012,0.104,10/31/2012,,0.104,DHG
58,,,9/11/2012,9/19/2012,0.104,9/28/2012,,0.104,DHG
59,,,8/8/2012,8/16/2012,0.104,8/31/2012,,0.104,DHG
60,,,7/10/2012,7/18/2012,0.104,7/31/2012,,0.104,DHG
61,,,6/8/2012,6/14/2012,0.104,6/29/2012,,0.104,DHG
62,,,5/8/2012,5/16/2012,0.11,5/31/2012,,0.11,DHG
63,,,4/10/2012,4/18/2012,0.11,4/30/2012,,0.11,DHG
64,,,3/8/2012,3/15/2012,0.11,3/30/2012,,0.11,DHG
65,,,2/8/2012,2/16/2012,0.11,2/29/2012,,0.11,DHG
66,,,1/10/2012,1/18/2012,0.11,1/31/2012,,0.11,DHG
67,,,12/20/2011,12/28/2011,0.1482,1/12/2012,,0.1482,DHG
68,,,11/7/2011,11/15/2011,0.11,11/30/2011,,0.11,DHG
69,,,10/7/2011,10/13/2011,0.11,10/31/2011,,0.11,DHG
70,,,9/9/2011,9/15/2011,0.11,9/30/2011,,0.11,DHG
71,,,8/8/2011,8/24/2011,0.11,8/31/2011,,0.11,DHG
72,,,7/8/2011,7/14/2011,0.11,7/29/2011,,0.11,DHG
73,,,6/7/2011,6/15/2011,0.11,6/30/2011,,0.11,DHG
74,,,5/9/2011,5/17/2011,0.105,5/31/2011,,0.105,DHG
75,,,4/8/2011,4/14/2011,0.105,4/29/2011,,0.105,DHG
76,,,3/8/2011,3/16/2011,0.1,3/31/2011,,0.1,DHG
77,,,2/7/2011,2/15/2011,0.1,2/28/2011,,0.1,DHG
78,,,1/7/2011,1/13/2011,0.09,1/31/2011,,0.09,DHG
79,,,12/21/2010,12/29/2010,0.2305,1/12/2011,S,0.2305,DHG
80,,,12/6/2010,12/14/2010,0.09,12/31/2010,,0.09,DHG
81,,,11/8/2010,11/16/2010,0.08,11/30/2010,,0.08,DHG
82,,,10/8/2010,10/14/2010,0.08,10/29/2010,,0.08,DHG
83,,,9/9/2010,9/16/2010,0.08,9/30/2010,,0.08,DHG
84,,,8/6/2010,8/24/2010,0.08,8/31/2010,,0.08,DHG
85,,,7/7/2010,7/15/2010,0.08,7/30/2010,,0.08,DHG
86,,,6/7/2010,6/23/2010,0.08,6/30/2010,,0.08,DHG
87,,,5/7/2010,5/13/2010,0.08,5/28/2010,,0.08,DHG
88,,,4/8/2010,4/22/2010,0.075,4/30/2010,,0.075,DHG
89,,,3/9/2010,3/17/2010,0.07,3/31/2010,,0.07,DHG
90,,,2/5/2010,2/11/2010,0.07,2/26/2010,,0.07,DHG
91,,,1/8/2010,1/14/2010,0.07,1/29/2010,,0.07,DHG
92,,,12/7/2009,12/23/2009,0.07,12/31/2009,,0.07,DHG
93,,,11/6/2009,11/12/2009,0.06,11/30/2009,,0.06,DHG
94,,,10/6/2009,10/14/2009,0.06,10/30/2009,,0.06,DHG
95,,0.00227,9/8/2009,9/16/2009,0.05773,9/30/2009,,0.06,DHG
96,,0.00227,8/7/2009,8/13/2009,0.05773,8/31/2009,,0.06,DHG
