,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.013,0.034,6/15/2017,7/27/2017,0.018,8/10/2017,,0.065,DNP
1,0.013,0.034,6/15/2017,8/29/2017,0.018,9/11/2017,,0.065,DNP
2,0.013,0.034,6/15/2017,9/27/2017,0.018,10/10/2017,,0.065,DNP
3,0.049,,3/14/2017,4/26/2017,0.016,5/10/2017,,0.065,DNP
4,0.013,0.034,3/14/2017,5/26/2017,0.018,6/12/2017,,0.065,DNP
5,0.013,0.034,3/14/2017,6/28/2017,0.018,7/10/2017,,0.065,DNP
6,0.052,,12/15/2016,1/27/2017,0.013,2/10/2017,,0.065,DNP
7,,0.038,12/15/2016,2/24/2017,0.027,3/10/2017,,0.065,DNP
8,,0.041,12/15/2016,3/29/2017,0.024,4/10/2017,,0.065,DNP
9,,0.053,9/15/2016,10/27/2016,0.012,11/10/2016,,0.065,DNP
10,0.037,,9/15/2016,11/28/2016,0.028,12/12/2016,,0.065,DNP
11,0.034,,9/15/2016,12/28/2016,0.031,1/10/2017,,0.065,DNP
