,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.149,6/16/2017,9/14/2017,0.195,9/29/2017,,0.35,DPG
1,,0.149,3/14/2017,6/13/2017,0.195,6/30/2017,,0.35,DPG
2,0.305,,12/15/2016,3/13/2017,0.045,3/31/2017,,0.35,DPG
3,0.244,0.044,9/15/2016,12/13/2016,0.062,12/30/2016,,0.35,DPG
4,0.244,0.044,6/16/2016,9/13/2016,0.062,9/30/2016,,0.35,DPG
5,0.071,,3/15/2016,6/13/2016,0.279,6/30/2016,,0.35,DPG
6,0.024,0.146,12/18/2015,3/11/2016,0.18,3/31/2016,,0.35,DPG
7,,,9/18/2015,12/11/2015,0.35,12/31/2015,,0.35,DPG
8,0.19039,,6/18/2015,9/11/2015,0.15961,9/30/2015,,0.35,DPG
9,0.118,,3/19/2015,6/11/2015,0.232,6/30/2015,,0.35,DPG
10,0.253,,12/19/2014,3/12/2015,0.097,3/31/2015,,0.35,DPG
11,,,9/19/2014,12/11/2014,0.35,12/31/2014,,0.35,DPG
12,,0.1359,6/19/2014,9/11/2014,0.2141,9/30/2014,,0.35,DPG
13,,0.13335,2/18/2014,3/13/2014,0.21665,3/31/2014,,0.35,DPG
14,,0.13335,2/18/2014,6/12/2014,0.21665,6/30/2014,,0.35,DPG
15,,,11/7/2013,12/12/2013,0.35,12/31/2013,,0.35,DPG
16,,0.18555,8/8/2013,9/12/2013,0.16445,9/30/2013,,0.35,DPG
17,,0.1085,5/9/2013,6/13/2013,0.2415,6/28/2013,,0.35,DPG
18,,0.175,2/19/2013,3/13/2013,0.175,3/28/2013,,0.35,DPG
19,,0.1995,11/8/2012,12/12/2012,0.1505,12/31/2012,,0.35,DPG
20,,0.1995,8/10/2012,9/12/2012,0.1505,9/28/2012,,0.35,DPG
21,,0.1995,5/10/2012,6/13/2012,0.1505,6/29/2012,,0.35,DPG
22,,0.1995,2/21/2012,3/13/2012,0.1505,3/30/2012,,0.35,DPG
23,,,11/3/2011,12/13/2011,0.35,12/30/2011,,0.35,DPG
24,,0.12919,8/26/2011,9/15/2011,0.22081,9/30/2011,,0.35,DPG
