,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.021,6/15/2017,7/13/2017,0.029,7/31/2017,,0.05,DUC
1,,0.021,6/15/2017,8/11/2017,0.029,8/31/2017,,0.05,DUC
2,,0.021,6/15/2017,9/13/2017,0.029,9/29/2017,,0.05,DUC
3,,0.021,3/14/2017,4/13/2017,0.029,4/28/2017,,0.05,DUC
4,,0.021,3/14/2017,5/11/2017,0.029,5/31/2017,,0.05,DUC
5,,0.021,3/14/2017,6/13/2017,0.029,6/30/2017,,0.05,DUC
6,,0.021,12/15/2016,1/12/2017,0.029,1/31/2017,,0.05,DUC
7,,0.0215,12/15/2016,2/13/2017,0.0285,2/28/2017,,0.05,DUC
8,,0.021,12/15/2016,3/13/2017,0.029,3/31/2017,,0.05,DUC
9,,0.0185,9/15/2016,10/13/2016,0.0315,10/31/2016,,0.05,DUC
10,,0.0185,9/15/2016,11/10/2016,0.0315,11/30/2016,,0.05,DUC
11,,0.0205,9/15/2016,12/13/2016,0.0295,12/30/2016,,0.05,DUC
12,,0.0175,6/16/2016,7/13/2016,0.0325,7/29/2016,,0.05,DUC
13,,0.018,6/16/2016,8/11/2016,0.032,8/31/2016,,0.05,DUC
14,,0.0185,6/16/2016,9/13/2016,0.0315,9/30/2016,,0.05,DUC
15,,0.0175,3/15/2016,4/13/2016,0.0325,4/29/2016,,0.05,DUC
16,,0.018,3/15/2016,5/12/2016,0.032,5/31/2016,,0.05,DUC
17,,0.0175,3/15/2016,6/13/2016,0.0325,6/30/2016,,0.05,DUC
18,,0.017,12/18/2015,1/13/2016,0.033,1/29/2016,,0.05,DUC
19,,0.017,12/18/2015,2/12/2016,0.033,2/29/2016,,0.05,DUC
20,,0.018,12/18/2015,3/11/2016,0.032,3/31/2016,,0.05,DUC
21,,0.0155,9/18/2015,10/13/2015,0.0345,10/30/2015,,0.05,DUC
22,,0.0155,9/18/2015,11/12/2015,0.0345,11/30/2015,,0.05,DUC
23,,0.0155,9/18/2015,12/11/2015,0.0345,12/31/2015,,0.05,DUC
24,,0.015,6/18/2015,7/13/2015,0.035,7/31/2015,,0.05,DUC
25,,0.0155,6/18/2015,8/13/2015,0.0345,8/31/2015,,0.05,DUC
26,,0.0155,6/18/2015,9/11/2015,0.0345,9/30/2015,,0.05,DUC
27,,0.015,3/19/2015,4/13/2015,0.035,4/30/2015,,0.05,DUC
28,,0.015,3/19/2015,5/13/2015,0.035,5/29/2015,,0.05,DUC
29,,0.015,3/19/2015,6/11/2015,0.035,6/30/2015,,0.05,DUC
30,,0.014,12/19/2014,1/13/2015,0.036,1/30/2015,,0.05,DUC
31,,0.0145,12/19/2014,2/13/2015,0.0355,2/27/2015,,0.05,DUC
32,,0.014,12/19/2014,3/12/2015,0.036,3/31/2015,,0.05,DUC
33,,,9/19/2014,10/13/2014,0.05,10/31/2014,,0.05,DUC
34,,,9/19/2014,11/13/2014,0.05,11/28/2014,,0.05,DUC
35,,,9/19/2014,12/11/2014,0.05,12/31/2014,,0.05,DUC
36,,,6/19/2014,7/11/2014,0.07,7/31/2014,,0.07,DUC
37,,,6/19/2014,8/13/2014,0.07,8/29/2014,,0.07,DUC
38,,,6/19/2014,9/11/2014,0.07,9/30/2014,,0.07,DUC
39,,0.0336,2/18/2014,5/13/2014,0.0364,5/30/2014,,0.07,DUC
40,,0.0336,2/18/2014,6/12/2014,0.0364,6/30/2014,,0.07,DUC
41,,0.0329,2/18/2014,3/13/2014,0.0371,3/31/2014,,0.07,DUC
42,,0.0336,2/18/2014,4/11/2014,0.0364,4/30/2014,,0.07,DUC
43,,0.0336,11/7/2013,2/14/2014,0.0364,2/28/2014,,0.07,DUC
44,,0.0329,11/7/2013,12/12/2013,0.0371,12/31/2013,,0.07,DUC
45,,0.0336,11/7/2013,1/13/2014,0.0364,1/31/2014,,0.07,DUC
46,,0.0329,8/8/2013,9/12/2013,0.0371,9/30/2013,,0.07,DUC
47,,0.0329,8/8/2013,10/11/2013,0.0371,10/31/2013,,0.07,DUC
48,,0.0329,8/8/2013,11/13/2013,0.0371,11/29/2013,,0.07,DUC
49,,0.0308,5/9/2013,6/13/2013,0.0392,6/28/2013,,0.07,DUC
50,,0.0308,5/9/2013,7/11/2013,0.0392,7/31/2013,,0.07,DUC
51,,0.0315,5/9/2013,8/13/2013,0.0385,8/30/2013,,0.07,DUC
