,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.01249,7/3/2017,7/12/2017,0.02851,7/31/2017,,0.041,EGF
1,,0.01249,6/1/2017,6/13/2017,0.02851,6/30/2017,,0.041,EGF
2,,0.01192,5/1/2017,5/11/2017,0.02908,5/31/2017,,0.041,EGF
3,,0.01589,4/3/2017,4/11/2017,0.02511,4/28/2017,,0.041,EGF
4,,0.01325,3/1/2017,3/13/2017,0.02775,3/31/2017,,0.041,EGF
5,,0.00068,2/1/2017,2/13/2017,0.04032,2/28/2017,,0.041,EGF
6,,0.0198,12/19/2016,12/28/2016,0.0212,1/9/2017,,0.041,EGF
7,,0.01101,12/1/2016,12/8/2016,0.02999,12/19/2016,,0.041,EGF
8,,0.01101,11/1/2016,11/10/2016,0.02999,11/30/2016,,0.041,EGF
9,,0.01101,10/3/2016,10/12/2016,0.02999,10/31/2016,,0.041,EGF
10,,0.01101,9/1/2016,9/13/2016,0.02999,9/30/2016,,0.041,EGF
11,,0.01101,8/1/2016,8/11/2016,0.02999,8/31/2016,,0.041,EGF
