,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.0521,7/31/2017,,0.0521,EIM
1,,,6/1/2017,6/21/2017,0.0521,6/30/2017,,0.0521,EIM
2,,0.00416,5/1/2017,5/22/2017,0.04794,5/31/2017,,0.0521,EIM
3,,0.0043,4/3/2017,4/19/2017,0.0495,4/28/2017,,0.0538,EIM
4,,0.0043,3/1/2017,3/22/2017,0.0495,3/31/2017,,0.0538,EIM
5,,0.0043,2/1/2017,2/16/2017,0.0495,2/28/2017,,0.0538,EIM
6,,,1/3/2017,1/20/2017,0.0538,1/31/2017,,0.0538,EIM
7,,,12/1/2016,12/21/2016,0.0538,12/30/2016,,0.0538,EIM
8,,,11/1/2016,11/21/2016,0.0555,11/30/2016,,0.0555,EIM
9,,,10/3/2016,10/20/2016,0.0555,10/31/2016,,0.0555,EIM
10,,,9/1/2016,9/21/2016,0.0555,9/30/2016,,0.0555,EIM
11,,,8/1/2016,8/22/2016,0.058,8/31/2016,,0.058,EIM
