,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.0515,7/31/2017,,0.0515,ENX
1,,,6/1/2017,6/21/2017,0.0515,6/30/2017,,0.0515,ENX
2,,,5/1/2017,5/22/2017,0.0515,5/31/2017,,0.0515,ENX
3,,,4/3/2017,4/19/2017,0.0515,4/28/2017,,0.0515,ENX
4,,,3/1/2017,3/22/2017,0.0515,3/31/2017,,0.0515,ENX
5,,,2/1/2017,2/16/2017,0.0515,2/28/2017,,0.0515,ENX
6,,,1/3/2017,1/20/2017,0.0515,1/31/2017,,0.0515,ENX
7,,,12/1/2016,12/21/2016,0.0515,12/30/2016,,0.0515,ENX
8,,,11/1/2016,11/21/2016,0.0515,11/30/2016,,0.0515,ENX
9,,,10/3/2016,10/20/2016,0.0515,10/31/2016,,0.0515,ENX
10,,,9/1/2016,9/21/2016,0.05983,9/30/2016,,0.05983,ENX
11,,,8/1/2016,8/22/2016,0.05983,8/31/2016,,0.05983,ENX
12,,,7/1/2016,7/20/2016,0.05983,7/29/2016,,0.05983,ENX
13,,,6/1/2016,6/21/2016,0.05983,6/30/2016,,0.05983,ENX
14,,,5/2/2016,5/20/2016,0.05983,5/31/2016,,0.05983,ENX
15,,,4/1/2016,4/20/2016,0.05983,4/29/2016,,0.05983,ENX
16,,,3/1/2016,3/22/2016,0.05983,3/31/2016,,0.05983,ENX
17,,,2/1/2016,2/18/2016,0.05983,2/29/2016,,0.05983,ENX
18,,,1/4/2016,1/20/2016,0.05983,1/29/2016,,0.05983,ENX
19,,,12/1/2015,12/21/2015,0.05983,12/30/2015,,0.05983,ENX
20,,,11/2/2015,11/19/2015,0.05983,11/30/2015,,0.05983,ENX
21,,,10/1/2015,10/21/2015,0.05983,10/30/2015,,0.05983,ENX
22,,,9/1/2015,9/21/2015,0.05983,9/30/2015,,0.05983,ENX
23,,,8/3/2015,8/20/2015,0.05983,8/31/2015,,0.05983,ENX
24,,,7/1/2015,7/22/2015,0.05983,7/31/2015,,0.05983,ENX
25,,,6/1/2015,6/19/2015,0.05983,6/30/2015,,0.05983,ENX
26,,,5/1/2015,5/20/2015,0.05983,5/29/2015,,0.05983,ENX
27,,,4/1/2015,4/21/2015,0.05983,4/30/2015,,0.05983,ENX
28,,,3/2/2015,3/20/2015,0.05983,3/31/2015,,0.05983,ENX
29,,,2/2/2015,2/18/2015,0.05983,2/27/2015,,0.05983,ENX
30,,,1/2/2015,1/21/2015,0.05983,1/30/2015,,0.05983,ENX
31,,,12/1/2014,12/22/2014,0.05983,12/31/2014,,0.05983,ENX
32,,,11/3/2014,11/19/2014,0.05983,11/28/2014,,0.05983,ENX
33,,,10/1/2014,10/22/2014,0.05983,10/31/2014,,0.05983,ENX
34,,,9/2/2014,9/19/2014,0.05983,9/30/2014,,0.05983,ENX
35,,,8/1/2014,8/20/2014,0.05733,8/29/2014,,0.05733,ENX
36,,,6/30/2014,7/22/2014,0.05733,7/31/2014,,0.05733,ENX
37,,,5/30/2014,6/19/2014,0.05733,6/30/2014,,0.05733,ENX
38,,,4/30/2014,5/21/2014,0.05733,5/30/2014,,0.05733,ENX
39,,,3/31/2014,4/21/2014,0.05733,4/30/2014,,0.05733,ENX
40,,,2/28/2014,3/20/2014,0.05733,3/31/2014,,0.05733,ENX
41,,,1/31/2014,2/19/2014,0.05733,2/28/2014,,0.05733,ENX
42,,,12/31/2013,1/22/2014,0.05733,1/31/2014,,0.05733,ENX
43,,,11/29/2013,12/20/2013,0.05733,12/31/2013,,0.05733,ENX
44,,,10/31/2013,11/20/2013,0.05733,11/29/2013,,0.05733,ENX
45,,,9/30/2013,10/22/2013,0.05733,10/31/2013,,0.05733,ENX
46,,,8/30/2013,9/19/2013,0.05733,9/30/2013,,0.05733,ENX
47,,,7/31/2013,8/21/2013,0.05733,8/30/2013,,0.05733,ENX
48,,,6/28/2013,7/22/2013,0.05733,7/31/2013,,0.05733,ENX
49,,,5/31/2013,6/19/2013,0.05733,6/28/2013,,0.05733,ENX
50,,,4/30/2013,5/22/2013,0.05733,5/31/2013,,0.05733,ENX
51,,,3/28/2013,4/19/2013,0.05733,4/30/2013,,0.05733,ENX
52,,,2/28/2013,3/19/2013,0.05733,3/28/2013,,0.05733,ENX
53,,,1/31/2013,2/19/2013,0.05733,2/28/2013,,0.05733,ENX
54,,,12/31/2012,1/22/2013,0.05733,1/31/2013,,0.05733,ENX
55,,,11/30/2012,12/20/2012,0.05733,12/31/2012,,0.05733,ENX
56,,,10/31/2012,11/20/2012,0.05733,11/30/2012,,0.05733,ENX
57,,,9/28/2012,10/22/2012,0.05733,10/31/2012,,0.05733,ENX
58,,,8/31/2012,9/19/2012,0.05733,9/28/2012,,0.05733,ENX
59,,,7/31/2012,8/22/2012,0.05733,8/31/2012,,0.05733,ENX
60,,,6/29/2012,7/20/2012,0.05733,7/31/2012,,0.05733,ENX
61,,,5/31/2012,6/20/2012,0.0615,6/29/2012,,0.0615,ENX
62,,,4/30/2012,5/22/2012,0.0615,5/31/2012,,0.0615,ENX
63,,,3/30/2012,4/19/2012,0.0615,4/30/2012,,0.0615,ENX
64,,,2/29/2012,3/21/2012,0.0615,3/30/2012,,0.0615,ENX
65,,,1/31/2012,2/17/2012,0.0615,2/29/2012,,0.0615,ENX
66,,,12/30/2011,1/20/2012,0.0615,1/31/2012,,0.0615,ENX
67,,,11/30/2011,12/21/2011,0.06817,12/30/2011,,0.06817,ENX
68,,,10/31/2011,11/21/2011,0.06817,11/30/2011,,0.06817,ENX
69,,,9/30/2011,10/20/2011,0.06817,10/31/2011,,0.06817,ENX
70,,,8/31/2011,9/21/2011,0.06817,9/30/2011,,0.06817,ENX
71,,,7/29/2011,8/22/2011,0.06817,8/31/2011,,0.06817,ENX
