,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.0765,7/31/2017,,0.0765,EVG
1,,,6/1/2017,6/21/2017,0.0765,6/30/2017,,0.0765,EVG
2,,,5/1/2017,5/22/2017,0.0765,5/31/2017,,0.0765,EVG
3,,,4/3/2017,4/19/2017,0.0765,4/28/2017,,0.0765,EVG
4,,0.009,3/1/2017,3/22/2017,0.081,3/31/2017,,0.09,EVG
5,,0.024,2/1/2017,2/16/2017,0.066,2/28/2017,,0.09,EVG
6,,0.019,1/3/2017,1/20/2017,0.071,1/31/2017,,0.09,EVG
7,,0.0371,12/1/2016,12/21/2016,0.0529,12/30/2016,,0.09,EVG
8,,0.0371,11/1/2016,11/21/2016,0.0529,11/30/2016,,0.09,EVG
9,,0.0371,10/3/2016,10/20/2016,0.0529,10/31/2016,,0.09,EVG
10,,0.0371,9/1/2016,9/21/2016,0.0529,9/30/2016,,0.09,EVG
11,,0.0371,8/1/2016,8/22/2016,0.0529,8/31/2016,,0.09,EVG
