,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/11/2017,0.0806,7/20/2017,,0.0806,EVV
1,,,6/1/2017,6/8/2017,0.0806,6/19/2017,,0.0806,EVV
2,,,5/1/2017,5/9/2017,0.0806,5/18/2017,,0.0806,EVV
3,,,4/3/2017,4/11/2017,0.0806,4/20/2017,,0.0806,EVV
4,,,3/1/2017,3/9/2017,0.0867,3/20/2017,,0.0867,EVV
5,,,2/1/2017,2/9/2017,0.0867,2/21/2017,,0.0867,EVV
6,,,1/3/2017,1/11/2017,0.0867,1/20/2017,,0.0867,EVV
7,,,12/1/2016,12/8/2016,0.0867,12/19/2016,,0.0867,EVV
8,,,11/1/2016,11/9/2016,0.0867,11/21/2016,,0.0867,EVV
9,,,10/3/2016,10/11/2016,0.0867,10/20/2016,,0.0867,EVV
10,,,9/1/2016,9/8/2016,0.0867,9/19/2016,,0.0867,EVV
11,,,8/1/2016,8/9/2016,0.1017,8/18/2016,,0.1017,EVV
12,,,7/1/2016,7/7/2016,0.1017,7/18/2016,,0.1017,EVV
13,,,6/1/2016,6/9/2016,0.1017,6/20/2016,,0.1017,EVV
14,,,5/2/2016,5/10/2016,0.1017,5/19/2016,,0.1017,EVV
15,,,4/1/2016,4/7/2016,0.1017,4/18/2016,,0.1017,EVV
16,,,3/1/2016,3/9/2016,0.1017,3/18/2016,,0.1017,EVV
17,,,2/1/2016,2/9/2016,0.1017,2/18/2016,,0.1017,EVV
18,,,1/4/2016,1/12/2016,0.1017,1/21/2016,,0.1017,EVV
19,,,12/1/2015,12/9/2015,0.1017,12/18/2015,,0.1017,EVV
20,,,11/2/2015,11/10/2015,0.1017,11/20/2015,,0.1017,EVV
21,,0.00782,10/1/2015,10/8/2015,0.09388,10/20/2015,,0.1017,EVV
22,,0.00782,9/1/2015,9/9/2015,0.09388,9/18/2015,,0.1017,EVV
23,,0.00782,8/3/2015,8/11/2015,0.09388,8/20/2015,,0.1017,EVV
24,,0.00782,7/1/2015,7/9/2015,0.09388,7/20/2015,,0.1017,EVV
25,,0.00782,6/1/2015,6/9/2015,0.09388,6/18/2015,,0.1017,EVV
26,,0.00782,5/1/2015,5/7/2015,0.09388,5/18/2015,,0.1017,EVV
27,,,4/1/2015,4/9/2015,0.1017,4/20/2015,,0.1017,EVV
28,,,3/2/2015,3/10/2015,0.1017,3/19/2015,,0.1017,EVV
29,,,2/2/2015,2/10/2015,0.1017,2/19/2015,,0.1017,EVV
30,,,1/2/2015,1/8/2015,0.1017,1/20/2015,,0.1017,EVV
31,,,12/1/2014,12/9/2014,0.1017,12/18/2014,,0.1017,EVV
32,,,11/3/2014,11/10/2014,0.1017,11/20/2014,,0.1017,EVV
33,,,10/1/2014,10/8/2014,0.1017,10/20/2014,,0.1017,EVV
34,,,9/2/2014,9/10/2014,0.1017,9/19/2014,,0.1017,EVV
35,,,8/1/2014,8/7/2014,0.1017,8/18/2014,,0.1017,EVV
36,,,7/1/2014,7/9/2014,0.1017,7/18/2014,,0.1017,EVV
37,,,6/2/2014,6/10/2014,0.1017,6/19/2014,,0.1017,EVV
38,,,5/1/2014,5/8/2014,0.1017,5/19/2014,,0.1017,EVV
39,,0.001,4/1/2014,4/9/2014,0.1007,4/21/2014,,0.1017,EVV
40,,,3/3/2014,3/11/2014,0.1017,3/20/2014,,0.1017,EVV
41,,0.0095,2/3/2014,2/11/2014,0.0922,2/20/2014,,0.1017,EVV
42,,,1/2/2014,1/9/2014,0.1017,1/21/2014,,0.1017,EVV
43,,,12/2/2013,12/10/2013,0.1017,12/19/2013,,0.1017,EVV
44,,,11/1/2013,11/7/2013,0.1017,11/19/2013,,0.1017,EVV
45,,,10/1/2013,10/9/2013,0.1017,10/18/2013,,0.1017,EVV
46,,,9/3/2013,9/11/2013,0.1017,9/20/2013,,0.1017,EVV
47,,,8/1/2013,8/8/2013,0.1017,8/19/2013,,0.1017,EVV
48,,0.0043,7/1/2013,7/9/2013,0.0974,7/18/2013,,0.1017,EVV
49,,0.0158,6/3/2013,6/11/2013,0.0859,6/20/2013,,0.1017,EVV
50,,0.0005,5/1/2013,5/9/2013,0.1012,5/20/2013,,0.1017,EVV
51,,0.0168,4/1/2013,4/9/2013,0.0849,4/18/2013,,0.1017,EVV
52,,0.0168,3/1/2013,3/7/2013,0.0849,3/18/2013,,0.1017,EVV
53,,0.0168,2/1/2013,2/7/2013,0.0849,2/19/2013,,0.1017,EVV
54,,0.004,1/2/2013,1/10/2013,0.0977,1/21/2013,,0.1017,EVV
55,,,12/3/2012,12/11/2012,0.1042,12/20/2012,,0.1042,EVV
56,,,11/1/2012,11/8/2012,0.1042,11/20/2012,,0.1042,EVV
57,,,10/1/2012,10/9/2012,0.1042,10/18/2012,,0.1042,EVV
58,,,9/4/2012,9/12/2012,0.1042,9/21/2012,,0.1042,EVV
59,,,8/1/2012,8/9/2012,0.1042,8/20/2012,,0.1042,EVV
60,,,7/2/2012,7/10/2012,0.1042,7/19/2012,,0.1042,EVV
61,,,6/1/2012,6/7/2012,0.1042,6/18/2012,,0.1042,EVV
62,,,5/1/2012,5/9/2012,0.1042,5/18/2012,,0.1042,EVV
63,,,4/2/2012,4/10/2012,0.1042,4/19/2012,,0.1042,EVV
64,,,3/1/2012,3/8/2012,0.1042,3/19/2012,,0.1042,EVV
65,,,2/1/2012,2/9/2012,0.1042,2/20/2012,,0.1042,EVV
66,,,1/3/2012,1/11/2012,0.1042,1/20/2012,,0.1042,EVV
67,,,12/1/2011,12/8/2011,0.1042,12/19/2011,,0.1042,EVV
68,,,11/1/2011,11/8/2011,0.1042,11/18/2011,,0.1042,EVV
69,,,10/3/2011,10/11/2011,0.1042,10/20/2011,,0.1042,EVV
70,,,9/1/2011,9/8/2011,0.1042,9/19/2011,,0.1042,EVV
71,,,8/1/2011,8/9/2011,0.1042,8/18/2011,,0.1042,EVV
72,,,7/1/2011,7/7/2011,0.1042,7/18/2011,,0.1042,EVV
73,,,6/1/2011,6/8/2011,0.1042,6/17/2011,,0.1042,EVV
74,,,5/2/2011,5/9/2011,0.1042,5/18/2011,,0.1042,EVV
75,,,4/1/2011,4/7/2011,0.1042,4/18/2011,,0.1042,EVV
76,,,3/1/2011,3/8/2011,0.1158,3/17/2011,,0.1158,EVV
77,,,2/1/2011,2/8/2011,0.1158,2/17/2011,,0.1158,EVV
78,,,12/22/2010,12/29/2010,0.1158,1/7/2011,,0.1158,EVV
79,,,12/1/2010,12/8/2010,0.1158,12/17/2010,,0.1158,EVV
80,,,11/1/2010,11/8/2010,0.1158,11/17/2010,,0.1158,EVV
81,,,10/1/2010,10/6/2010,0.1158,10/18/2010,,0.1158,EVV
82,,,9/1/2010,9/8/2010,0.1158,9/17/2010,,0.1158,EVV
83,,,8/2/2010,8/9/2010,0.1158,8/18/2010,,0.1158,EVV
