,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.49, u'NAVData': 9.96, u'DataDateDisplay': u'1/7/1994', u'DataDateJs': u'1994/01/07', u'DataDate': u'1994-01-07T00:00:00', u'DiscountData': 5.29}",FAX,FAX
1,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.55, u'NAVData': 10.14, u'DataDateDisplay': u'1/14/1994', u'DataDateJs': u'1994/01/14', u'DataDate': u'1994-01-14T00:00:00', u'DiscountData': 4.04}",FAX,FAX
2,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.74, u'NAVData': 10.37, u'DataDateDisplay': u'1/21/1994', u'DataDateJs': u'1994/01/21', u'DataDate': u'1994-01-21T00:00:00', u'DiscountData': 3.59}",FAX,FAX
3,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.74, u'NAVData': 10.48, u'DataDateDisplay': u'1/28/1994', u'DataDateJs': u'1994/01/28', u'DataDate': u'1994-01-28T00:00:00', u'DiscountData': 2.52}",FAX,FAX
4,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.74, u'NAVData': 10.64, u'DataDateDisplay': u'2/4/1994', u'DataDateJs': u'1994/02/04', u'DataDate': u'1994-02-04T00:00:00', u'DiscountData': 0.9}",FAX,FAX
5,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.8, u'NAVData': 10.64, u'DataDateDisplay': u'2/11/1994', u'DataDateJs': u'1994/02/11', u'DataDate': u'1994-02-11T00:00:00', u'DiscountData': 1.47}",FAX,FAX
6,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.86, u'NAVData': 10.56, u'DataDateDisplay': u'2/18/1994', u'DataDateJs': u'1994/02/18', u'DataDate': u'1994-02-18T00:00:00', u'DiscountData': 2.89}",FAX,FAX
7,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.8, u'NAVData': 10.33, u'DataDateDisplay': u'2/25/1994', u'DataDateJs': u'1994/02/25', u'DataDate': u'1994-02-25T00:00:00', u'DiscountData': 4.57}",FAX,FAX
8,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.8, u'NAVData': 10.12, u'DataDateDisplay': u'3/4/1994', u'DataDateJs': u'1994/03/04', u'DataDate': u'1994-03-04T00:00:00', u'DiscountData': 6.71}",FAX,FAX
9,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.74, u'NAVData': 10.14, u'DataDateDisplay': u'3/11/1994', u'DataDateJs': u'1994/03/11', u'DataDate': u'1994-03-11T00:00:00', u'DiscountData': 5.92}",FAX,FAX
10,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.0, u'NAVData': 9.98, u'DataDateDisplay': u'3/18/1994', u'DataDateJs': u'1994/03/18', u'DataDate': u'1994-03-18T00:00:00', u'DiscountData': 0.18}",FAX,FAX
11,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.24, u'NAVData': 9.8, u'DataDateDisplay': u'3/25/1994', u'DataDateJs': u'1994/03/25', u'DataDate': u'1994-03-25T00:00:00', u'DiscountData': 4.54}",FAX,FAX
12,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.25, u'NAVData': 9.42, u'DataDateDisplay': u'4/1/1994', u'DataDateJs': u'1994/04/01', u'DataDate': u'1994-04-01T00:00:00', u'DiscountData': 8.81}",FAX,FAX
13,003009107,2017-07-07T00:00:00,XFAPX,Aberdeen Asia-Pacific Income,All,"{u'Data': 10.06, u'NAVData': 9.72, u'DataDateDisplay': u'4/8/1994', u'DataDateJs': u'1994/04/08', u'DataDate': u'1994-04-08T00:00:00', u'DiscountData': 3.54}",FAX,FAX
