,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0055,5/10/2017,5/22/2017,0.1695,5/31/2017,,0.175,FGB
1,,,2/9/2017,2/22/2017,0.175,2/28/2017,,0.175,FGB
2,,,11/10/2016,11/21/2016,0.175,12/1/2016,,0.175,FGB
3,,0.0143,8/10/2016,8/22/2016,0.16071,8/31/2016,,0.175,FGB
4,,,5/10/2016,5/20/2016,0.175,5/31/2016,,0.175,FGB
5,,,2/10/2016,2/22/2016,0.175,2/29/2016,,0.175,FGB
6,,,11/10/2015,11/20/2015,0.175,12/1/2015,,0.175,FGB
7,,,8/10/2015,8/21/2015,0.175,8/31/2015,,0.175,FGB
8,,,5/11/2015,5/21/2015,0.1725,5/29/2015,,0.1725,FGB
9,,,2/10/2015,2/20/2015,0.1725,2/27/2015,,0.1725,FGB
10,,,11/10/2014,11/21/2014,0.1725,12/1/2014,,0.1725,FGB
11,,0.00841,8/11/2014,8/22/2014,0.16409,8/29/2014,,0.1725,FGB
12,,0.00829,5/12/2014,5/22/2014,0.16172,5/30/2014,,0.17,FGB
13,,,2/10/2014,2/21/2014,0.17,2/28/2014,,0.17,FGB
14,,,11/11/2013,11/20/2013,0.17,12/2/2013,,0.17,FGB
15,,,8/12/2013,8/21/2013,0.17,8/30/2013,,0.17,FGB
16,,,5/9/2013,5/22/2013,0.165,5/31/2013,,0.165,FGB
17,,,2/11/2013,2/20/2013,0.165,2/28/2013,,0.165,FGB
18,,,11/12/2012,11/21/2012,0.165,12/3/2012,,0.165,FGB
19,,,8/9/2012,8/22/2012,0.165,8/31/2012,,0.165,FGB
20,,,5/10/2012,5/22/2012,0.16,5/31/2012,,0.16,FGB
21,,,2/9/2012,2/22/2012,0.16,2/29/2012,,0.16,FGB
22,,,11/11/2011,11/18/2011,0.16,12/1/2011,,0.16,FGB
23,,0.00075,8/15/2011,8/23/2011,0.15925,8/31/2011,,0.16,FGB
24,,,5/13/2011,5/20/2011,0.155,5/31/2011,,0.155,FGB
25,,,2/10/2011,2/18/2011,0.155,2/28/2011,,0.155,FGB
26,,,11/11/2010,11/18/2010,0.155,12/1/2010,,0.155,FGB
27,,0.00637,8/10/2010,8/18/2010,0.14863,8/31/2010,,0.155,FGB
28,,0.00616,5/10/2010,5/19/2010,0.14384,5/28/2010,,0.15,FGB
29,,,2/10/2010,2/18/2010,0.145,2/26/2010,,0.145,FGB
30,,,11/10/2009,11/18/2009,0.14,12/1/2009,,0.14,FGB
31,,0.01151,8/5/2009,8/18/2009,0.12849,8/31/2009,,0.14,FGB
32,,0.01151,5/11/2009,5/19/2009,0.12849,5/29/2009,,0.14,FGB
33,,,2/10/2009,2/18/2009,0.185,2/27/2009,,0.185,FGB
34,,,11/10/2008,11/19/2008,0.25,12/1/2008,,0.25,FGB
35,,,8/11/2008,8/20/2008,,8/29/2008,,0.37,FGB
36,,,5/9/2008,5/20/2008,,5/30/2008,,0.37,FGB
37,,,2/14/2008,2/21/2008,,2/29/2008,,0.37,FGB
38,,,11/16/2007,11/21/2007,,12/3/2007,,0.36,FGB
39,,,8/6/2007,8/22/2007,,8/31/2007,,0.35,FGB
