,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.133,7/31/2017,,0.133,FLC
1,,,6/5/2017,6/21/2017,0.133,6/30/2017,,0.133,FLC
2,,,5/1/2017,5/19/2017,0.133,5/31/2017,,0.133,FLC
3,,,4/4/2017,4/19/2017,0.133,4/28/2017,,0.133,FLC
4,,,3/6/2017,3/22/2017,0.133,3/31/2017,,0.133,FLC
5,,,2/6/2017,2/16/2017,0.133,2/28/2017,,0.133,FLC
6,,,1/9/2017,1/20/2017,0.133,1/31/2017,,0.133,FLC
7,,,12/12/2016,12/20/2016,0.133,12/30/2016,,0.133,FLC
8,,,11/7/2016,11/18/2016,0.136,11/30/2016,,0.136,FLC
9,,,10/3/2016,10/20/2016,0.136,10/31/2016,,0.136,FLC
10,,,9/6/2016,9/21/2016,0.136,9/30/2016,,0.136,FLC
11,,,8/1/2016,8/22/2016,0.136,8/31/2016,,0.136,FLC
12,,,7/5/2016,7/20/2016,0.136,7/29/2016,,0.136,FLC
13,,,6/6/2016,6/21/2016,0.136,6/30/2016,,0.136,FLC
14,,,5/2/2016,5/19/2016,0.136,5/31/2016,,0.136,FLC
15,,,4/4/2016,4/20/2016,0.136,4/29/2016,,0.136,FLC
16,,,3/7/2016,3/21/2016,0.136,3/31/2016,,0.136,FLC
17,,,2/1/2016,2/18/2016,0.136,2/29/2016,,0.136,FLC
18,,,1/4/2016,1/20/2016,0.136,1/29/2016,,0.136,FLC
19,,,12/8/2015,12/21/2015,0.136,12/31/2015,,0.136,FLC
20,,,11/2/2015,11/18/2015,0.136,11/30/2015,,0.136,FLC
21,,,10/5/2015,10/21/2015,0.136,10/30/2015,,0.136,FLC
22,,,9/8/2015,9/21/2015,0.136,9/30/2015,,0.136,FLC
23,,,8/3/2015,8/20/2015,0.136,8/31/2015,,0.136,FLC
24,,,7/6/2015,7/22/2015,0.136,7/31/2015,,0.136,FLC
25,,,6/1/2015,6/19/2015,0.136,6/30/2015,,0.136,FLC
26,,,5/5/2015,5/19/2015,0.136,5/29/2015,,0.136,FLC
27,,,4/6/2015,4/21/2015,0.136,4/30/2015,,0.136,FLC
28,,,3/2/2015,3/20/2015,0.136,3/31/2015,,0.136,FLC
29,,,2/3/2015,2/18/2015,0.136,2/27/2015,,0.136,FLC
30,,,1/5/2015,1/21/2015,0.136,1/30/2015,,0.136,FLC
31,,,12/5/2014,12/22/2014,0.136,12/31/2014,,0.136,FLC
32,,,11/3/2014,11/18/2014,0.136,11/28/2014,,0.136,FLC
33,,,10/6/2014,10/22/2014,0.136,10/31/2014,,0.136,FLC
34,,,9/8/2014,9/19/2014,0.136,9/30/2014,,0.136,FLC
35,,,8/5/2014,8/20/2014,0.136,8/29/2014,,0.136,FLC
36,,,7/7/2014,7/22/2014,0.136,7/31/2014,,0.136,FLC
37,,,6/2/2014,6/19/2014,0.136,6/30/2014,,0.136,FLC
38,,,5/5/2014,5/20/2014,0.136,5/30/2014,,0.136,FLC
39,,,4/7/2014,4/21/2014,0.136,4/30/2014,,0.136,FLC
40,,,3/3/2014,3/20/2014,0.136,3/31/2014,,0.136,FLC
41,,,2/5/2014,2/19/2014,0.136,2/28/2014,,0.136,FLC
42,,,1/6/2014,1/22/2014,0.136,1/31/2014,,0.136,FLC
43,,,12/10/2013,12/19/2013,0.136,12/31/2013,,0.136,FLC
44,,,12/10/2013,12/19/2013,0.092,12/31/2013,S,0.092,FLC
45,,,11/5/2013,11/19/2013,0.136,11/29/2013,,0.136,FLC
46,,,7/1/2013,7/22/2013,0.136,7/31/2013,,0.136,FLC
47,,,6/3/2013,6/19/2013,0.136,6/28/2013,,0.136,FLC
48,,,5/6/2013,5/22/2013,0.136,5/31/2013,,0.136,FLC
49,,,4/1/2013,4/19/2013,0.136,4/30/2013,,0.136,FLC
50,,,3/4/2013,3/19/2013,0.136,3/28/2013,,0.136,FLC
51,,,2/5/2013,2/19/2013,0.136,2/28/2013,,0.136,FLC
52,,,1/7/2013,1/22/2013,0.136,1/31/2013,,0.136,FLC
53,,,12/10/2012,12/19/2012,0.136,12/31/2012,,0.136,FLC
54,,,12/10/2012,12/19/2012,0.085,12/31/2012,S,0.085,FLC
55,,,11/5/2012,11/20/2012,0.1395,11/30/2012,,0.1395,FLC
56,,,10/1/2012,10/22/2012,0.1395,10/31/2012,,0.1395,FLC
57,,,9/4/2012,9/19/2012,0.1395,9/28/2012,,0.1395,FLC
58,,,8/6/2012,8/22/2012,0.1395,8/31/2012,,0.1395,FLC
59,,,7/2/2012,7/20/2012,0.1395,7/31/2012,,0.1395,FLC
60,,,6/6/2012,6/20/2012,0.1395,6/29/2012,,0.1395,FLC
61,,,5/8/2012,5/21/2012,0.1395,5/31/2012,,0.1395,FLC
62,,,4/2/2012,4/19/2012,0.1395,4/30/2012,,0.1395,FLC
63,,,3/5/2012,3/21/2012,0.1395,3/30/2012,,0.1395,FLC
64,,,2/6/2012,2/17/2012,0.1395,2/29/2012,,0.1395,FLC
65,,,1/6/2012,1/20/2012,0.1395,1/31/2012,,0.1395,FLC
66,,,12/12/2011,12/20/2011,0.1395,12/30/2011,,0.1395,FLC
67,,,12/12/2011,12/20/2011,0.055,12/30/2011,S,0.055,FLC
68,,,11/7/2011,11/18/2011,0.1395,11/30/2011,,0.1395,FLC
69,,,10/3/2011,10/20/2011,0.1395,10/31/2011,,0.1395,FLC
70,,,9/6/2011,9/21/2011,0.1395,9/30/2011,,0.1395,FLC
71,,,8/1/2011,8/22/2011,0.1395,8/31/2011,,0.1395,FLC
72,,,7/5/2011,7/20/2011,0.135,7/29/2011,,0.135,FLC
73,,,6/6/2011,6/21/2011,0.135,6/30/2011,,0.135,FLC
74,,,5/2/2011,5/19/2011,0.135,5/31/2011,,0.135,FLC
75,,,4/4/2011,4/19/2011,0.135,4/29/2011,,0.135,FLC
76,,,3/7/2011,3/21/2011,0.135,3/31/2011,,0.135,FLC
77,,,2/1/2011,2/16/2011,0.135,2/28/2011,,0.135,FLC
78,,,1/3/2011,1/20/2011,0.135,1/31/2011,,0.135,FLC
79,,,12/13/2010,12/21/2010,0.04,12/31/2010,S,0.04,FLC
80,,,12/13/2010,12/21/2010,0.135,12/31/2010,,0.135,FLC
81,,,10/20/2010,11/18/2010,0.132,11/30/2010,,0.132,FLC
82,,,9/20/2010,10/20/2010,0.132,10/29/2010,,0.132,FLC
83,,,8/20/2010,9/21/2010,0.132,9/30/2010,,0.132,FLC
84,,,7/20/2010,8/20/2010,0.132,8/31/2010,,0.132,FLC
85,,,7/7/2010,7/21/2010,0.125,7/30/2010,,0.125,FLC
86,,,6/2/2010,6/21/2010,0.125,6/30/2010,,0.125,FLC
87,,,4/22/2010,5/19/2010,0.125,5/28/2010,,0.125,FLC
88,,,4/8/2010,4/21/2010,0.116,4/30/2010,,0.116,FLC
89,,,3/2/2010,3/22/2010,0.116,3/31/2010,,0.116,FLC
90,,,2/3/2010,2/17/2010,0.116,2/26/2010,,0.116,FLC
91,,,1/6/2010,1/20/2010,0.116,1/29/2010,,0.116,FLC
92,,,12/14/2009,12/21/2009,0.116,12/31/2009,,0.116,FLC
93,,,11/4/2009,11/18/2009,0.11,11/30/2009,,0.11,FLC
94,,,10/1/2009,10/21/2009,0.11,10/30/2009,,0.11,FLC
95,,,9/1/2009,9/21/2009,0.11,9/30/2009,,0.11,FLC
96,,,8/1/2009,8/20/2009,0.11,8/31/2009,,0.11,FLC
97,,,7/7/2009,7/22/2009,0.11,7/31/2009,,0.11,FLC
98,,,6/1/2009,6/19/2009,0.11,6/30/2009,,0.11,FLC
99,,,5/6/2009,5/19/2009,0.11,5/29/2009,,0.11,FLC
100,,,4/7/2009,4/21/2009,0.11,4/30/2009,,0.11,FLC
