,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/20/2017,7/3/2017,0.1525,7/17/2017,,0.1525,FPF
1,,,5/22/2017,6/1/2017,0.1525,6/15/2017,,0.1525,FPF
2,,,4/20/2017,5/1/2017,0.1525,5/15/2017,,0.1525,FPF
3,,,3/20/2017,4/3/2017,0.1625,4/17/2017,,0.1625,FPF
4,,,2/21/2017,3/1/2017,0.1625,3/15/2017,,0.1625,FPF
5,,,1/19/2017,2/1/2017,0.1625,2/15/2017,,0.1625,FPF
6,,,12/20/2016,12/28/2016,0.1625,1/17/2017,,0.1625,FPF
7,,,11/21/2016,12/1/2016,0.1625,12/12/2016,,0.1625,FPF
8,,,10/20/2016,11/1/2016,0.1625,11/15/2016,,0.1625,FPF
9,,,9/20/2016,10/3/2016,0.1625,10/17/2016,,0.1625,FPF
10,,,8/22/2016,9/1/2016,0.1625,9/15/2016,,0.1625,FPF
11,,,7/20/2016,8/1/2016,0.1625,8/15/2016,,0.1625,FPF
