,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/12/2017,6/21/2017,0.045,7/3/2017,,0.045,FPT
1,,,5/10/2017,5/19/2017,0.045,6/1/2017,,0.045,FPT
2,,,4/7/2017,4/19/2017,0.045,5/1/2017,,0.045,FPT
3,,,3/10/2017,3/21/2017,0.045,4/3/2017,,0.045,FPT
4,,,2/9/2017,2/21/2017,0.045,3/1/2017,,0.045,FPT
5,,,1/9/2017,1/19/2017,0.045,2/1/2017,,0.045,FPT
6,,,12/9/2016,12/21/2016,0.045,1/3/2017,,0.045,FPT
7,,,11/9/2016,11/21/2016,0.054,12/1/2016,,0.054,FPT
8,,,10/7/2016,10/19/2016,0.054,11/1/2016,,0.054,FPT
9,,,9/9/2016,9/21/2016,0.054,10/3/2016,,0.054,FPT
10,,,8/9/2016,8/19/2016,0.054,9/1/2016,,0.054,FPT
11,,,7/8/2016,7/20/2016,0.054,8/1/2016,,0.054,FPT
