,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.00576,6/20/2017,7/3/2017,0.11974,7/17/2017,,0.1255,FSD
1,,0.00572,5/22/2017,6/1/2017,0.11898,6/15/2017,,0.1247,FSD
2,,0.00569,4/20/2017,5/1/2017,0.11831,5/15/2017,,0.124,FSD
3,,,3/20/2017,4/3/2017,0.1232,4/17/2017,,0.1232,FSD
4,,,2/21/2017,3/1/2017,0.1219,3/15/2017,,0.1219,FSD
5,,,1/19/2017,2/1/2017,0.11,2/15/2017,,0.11,FSD
6,,,12/20/2016,12/28/2016,0.11,1/17/2017,,0.11,FSD
7,,,11/21/2016,12/1/2016,0.1,12/12/2016,,0.1,FSD
8,,,10/20/2016,11/1/2016,0.095,11/15/2016,,0.095,FSD
9,,,9/20/2016,10/3/2016,0.08,10/17/2016,,0.08,FSD
10,,,8/22/2016,9/1/2016,0.08,9/15/2016,,0.08,FSD
11,,,7/20/2016,8/1/2016,0.08,8/15/2016,,0.08,FSD
