,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.12573,7/31/2017,,0.12573,GBAB
1,,,6/1/2017,6/13/2017,0.12573,6/30/2017,,0.12573,GBAB
2,0.01857,,5/1/2017,5/11/2017,0.10716,5/31/2017,,0.12573,GBAB
3,0.01857,,4/3/2017,4/11/2017,0.10716,4/28/2017,,0.12573,GBAB
4,0.01857,,3/1/2017,3/13/2017,0.10716,3/31/2017,,0.12573,GBAB
5,0.01857,,2/1/2017,2/13/2017,0.10716,2/28/2017,,0.12573,GBAB
6,0.01857,,1/3/2017,1/11/2017,0.10716,1/31/2017,,0.12573,GBAB
7,,,12/1/2016,12/13/2016,0.12573,12/30/2016,,0.12573,GBAB
8,,,11/1/2016,11/10/2016,0.12573,11/30/2016,,0.12573,GBAB
9,,,10/3/2016,10/12/2016,0.12573,10/31/2016,,0.12573,GBAB
10,,,9/1/2016,9/13/2016,0.12573,9/30/2016,,0.12573,GBAB
11,,,8/1/2016,8/11/2016,0.13817,8/31/2016,,0.13817,GBAB
