,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.02, u'NAVData': 19.07, u'DataDateDisplay': u'4/1/2005', u'DataDateJs': u'2005/04/01', u'DataDate': u'2005-04-01T00:00:00', u'DiscountData': 4.98}",GGN,GGN
1,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.02, u'NAVData': 19.05, u'DataDateDisplay': u'4/8/2005', u'DataDateJs': u'2005/04/08', u'DataDate': u'2005-04-08T00:00:00', u'DiscountData': 5.09}",GGN,GGN
2,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.01, u'NAVData': 18.67, u'DataDateDisplay': u'4/15/2005', u'DataDateJs': u'2005/04/15', u'DataDate': u'2005-04-15T00:00:00', u'DiscountData': 7.18}",GGN,GGN
3,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.01, u'NAVData': 18.88, u'DataDateDisplay': u'4/22/2005', u'DataDateJs': u'2005/04/22', u'DataDate': u'2005-04-22T00:00:00', u'DiscountData': 5.99}",GGN,GGN
4,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.0, u'NAVData': 18.5, u'DataDateDisplay': u'4/29/2005', u'DataDateJs': u'2005/04/29', u'DataDate': u'2005-04-29T00:00:00', u'DiscountData': 8.11}",GGN,GGN
5,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 20.0, u'NAVData': 18.8, u'DataDateDisplay': u'5/6/2005', u'DataDateJs': u'2005/05/06', u'DataDate': u'2005-05-06T00:00:00', u'DiscountData': 6.38}",GGN,GGN
6,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 19.79, u'NAVData': 17.95, u'DataDateDisplay': u'5/13/2005', u'DataDateJs': u'2005/05/13', u'DataDate': u'2005-05-13T00:00:00', u'DiscountData': 10.25}",GGN,GGN
7,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 18.1, u'NAVData': 18.26, u'DataDateDisplay': u'5/20/2005', u'DataDateJs': u'2005/05/20', u'DataDate': u'2005-05-20T00:00:00', u'DiscountData': -0.88}",GGN,GGN
8,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 18.45, u'NAVData': 19.02, u'DataDateDisplay': u'5/27/2005', u'DataDateJs': u'2005/05/27', u'DataDate': u'2005-05-27T00:00:00', u'DiscountData': -3.0}",GGN,GGN
9,36465A109,2017-07-07T00:00:00,XGGNX,GAMCO Glb Gold Natural Res&Inc,All,"{u'Data': 19.4, u'NAVData': 19.25, u'DataDateDisplay': u'6/3/2005', u'DataDateJs': u'2005/06/03', u'DataDate': u'2005-06-03T00:00:00', u'DiscountData': 0.78}",GGN,GGN
