,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,1.49,,12/21/2016,12/28/2016,,1/11/2017,,1.49,IFN
1,0.1787,,9/12/2016,9/19/2016,0.0369,9/28/2016,,0.2156,IFN
2,,,12/18/2015,12/29/2015,0.0667,1/12/2016,,0.0667,IFN
3,1.3621,,12/18/2015,12/29/2015,,1/12/2016,S,1.3621,IFN
4,0.29529,,9/10/2015,9/17/2015,0.09973,9/28/2015,,0.39502,IFN
5,0.11084,,12/19/2014,12/29/2014,0.00816,1/12/2015,,0.119,IFN
6,1.50531,,12/19/2014,12/29/2014,0.11084,1/12/2015,S,1.61615,IFN
7,0.1283,,9/10/2014,9/18/2014,,9/30/2014,,0.1283,IFN
8,,,12/20/2013,12/27/2013,0.08117,1/17/2014,,0.08117,IFN
9,0.80544,,12/20/2013,12/27/2013,,1/17/2014,S,0.80866,IFN
10,0.062,,9/13/2013,10/1/2013,,10/18/2013,S,0.062,IFN
11,,,12/7/2012,12/19/2012,0.14663,1/31/2013,,0.14663,IFN
12,2.2246,,12/7/2012,12/19/2012,,1/31/2013,S,2.2246,IFN
13,0.32,,12/12/2011,12/28/2011,,1/13/2012,,0.32,IFN
14,0.77,,9/14/2011,9/29/2011,0.02,10/14/2011,,0.88,IFN
15,3.68,,12/17/2010,12/29/2010,,1/14/2011,S,3.78,IFN
16,,,9/14/2010,9/29/2010,0.09,10/15/2010,,0.09,IFN
17,0.67,,12/19/2008,12/29/2008,,1/15/2009,S,0.67,IFN
18,,,9/8/2008,10/7/2008,,10/23/2009,S,6.19,IFN
19,,,9/8/2008,10/7/2008,,10/23/2009,,0.26,IFN
20,,,12/20/2007,12/27/2007,,1/14/2008,S,8.05,IFN
21,,,12/20/2007,12/27/2007,,1/14/2008,,0.13,IFN
22,,,9/10/2007,10/2/2007,,10/18/2007,S,1.43,IFN
23,,,12/18/2006,12/27/2006,,1/12/2007,S,3.45,IFN
24,,,12/18/2006,12/27/2006,,1/12/2007,,0.01,IFN
25,,,9/8/2006,10/2/2006,,10/18/2006,S,0.58,IFN
26,,,9/8/2006,10/2/2006,,10/18/2006,,0.01,IFN
27,,,4/6/2006,4/12/2006,,4/20/2006,S,0.95,IFN
28,,,4/6/2006,4/12/2006,,4/20/2006,,0.12,IFN
29,,,12/20/2005,12/28/2005,,1/12/2006,S,4.4,IFN
30,,,12/20/2005,12/28/2005,,1/12/2006,,0.06,IFN
31,,,12/21/2004,12/29/2004,,1/14/2005,S,1.51,IFN
32,,,12/21/2004,12/29/2004,,1/14/2005,,0.01,IFN
33,,,12/19/2003,12/26/2003,,1/9/2004,,0.13,IFN
34,,,12/23/2002,12/27/2002,,1/10/2003,,0.085,IFN
