,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.00244,6/15/2017,7/3/2017,0.00488,7/17/2017,,0.061,IGD
1,,0.00244,5/15/2017,6/1/2017,0.00488,6/15/2017,,0.061,IGD
2,,0.00244,4/17/2017,5/1/2017,0.00488,5/15/2017,,0.061,IGD
3,,0.03538,3/15/2017,4/3/2017,0.01891,4/17/2017,,0.061,IGD
4,,0.04575,2/15/2017,3/1/2017,0.01525,3/15/2017,,0.061,IGD
5,,0.052,1/17/2017,2/1/2017,0.009,2/15/2017,,0.061,IGD
6,,,12/15/2016,12/28/2016,0.061,1/17/2017,,0.061,IGD
7,,0.02128,11/15/2016,12/1/2016,0.01596,12/15/2016,,0.076,IGD
8,,0.02508,10/17/2016,11/1/2016,0.01824,11/15/2016,,0.076,IGD
9,,0.02736,9/15/2016,10/3/2016,0.019,10/17/2016,,0.076,IGD
10,,0.02128,8/15/2016,9/1/2016,0.01976,9/15/2016,,0.076,IGD
11,,0.02508,7/15/2016,8/1/2016,0.02204,8/15/2016,,0.076,IGD
12,,0.03192,6/15/2016,7/1/2016,0.04408,7/15/2016,,0.076,IGD
13,,0.0684,5/16/2016,6/1/2016,0.0076,6/15/2016,,0.076,IGD
14,,0.03572,4/15/2016,5/2/2016,0.04028,5/16/2016,,0.076,IGD
15,,0.00836,3/15/2016,4/1/2016,0.02052,4/15/2016,,0.076,IGD
16,,0.03116,2/17/2016,3/1/2016,0.00152,3/15/2016,,0.076,IGD
17,,,1/15/2016,2/1/2016,0.02356,2/16/2016,,0.076,IGD
18,,0.0085,12/15/2015,12/29/2015,0.0675,1/15/2016,,0.076,IGD
19,,0.0085,11/16/2015,12/1/2015,0.0675,12/15/2015,,0.076,IGD
20,,0.0085,10/15/2015,11/2/2015,0.0675,11/16/2015,,0.076,IGD
21,,0.0085,9/15/2015,10/1/2015,0.0675,10/15/2015,,0.076,IGD
22,,0.0085,8/17/2015,9/1/2015,0.0675,9/15/2015,,0.076,IGD
23,,0.0085,7/15/2015,8/3/2015,0.0675,8/17/2015,,0.076,IGD
24,,0.0085,6/15/2015,7/1/2015,0.0675,7/15/2015,,0.076,IGD
25,,0.0085,5/15/2015,6/1/2015,0.0675,6/15/2015,,0.076,IGD
26,,0.04864,4/15/2015,5/1/2015,0.01444,5/15/2015,,0.076,IGD
27,,0.04028,3/16/2015,4/1/2015,0.00988,4/15/2015,,0.076,IGD
28,,0.04028,2/17/2015,3/2/2015,0.00988,3/16/2015,,0.076,IGD
29,,0.04408,1/15/2015,2/2/2015,0.03192,2/17/2015,,0.076,IGD
30,,,12/15/2014,12/29/2014,0.076,1/15/2015,,0.076,IGD
31,,,11/17/2014,12/1/2014,0.076,12/15/2014,,0.076,IGD
32,,,10/15/2014,11/3/2014,0.076,11/17/2014,,0.076,IGD
33,,,9/15/2014,10/1/2014,0.076,10/15/2014,,0.076,IGD
34,,,8/15/2014,9/2/2014,0.076,9/15/2014,,0.076,IGD
35,,,7/15/2014,8/1/2014,0.076,8/15/2014,,0.076,IGD
36,,,6/16/2014,7/1/2014,0.076,7/15/2014,,0.076,IGD
37,,,5/15/2014,6/2/2014,0.076,6/16/2014,,0.076,IGD
38,,,4/15/2014,5/1/2014,0.076,5/15/2014,,0.076,IGD
39,,,3/17/2014,4/1/2014,0.076,4/15/2014,,0.076,IGD
40,,0.05168,2/18/2014,3/3/2014,0.02432,3/17/2014,,0.076,IGD
41,,0.0646,1/15/2014,2/3/2014,0.00532,2/18/2014,,0.076,IGD
42,,0.0278,12/16/2013,12/27/2013,0.0482,1/15/2014,,0.076,IGD
43,,0.0278,11/15/2013,12/2/2013,0.0482,12/16/2013,,0.076,IGD
44,,0.0278,10/15/2013,11/1/2013,0.0482,11/15/2013,,0.076,IGD
45,,0.0278,9/13/2013,10/1/2013,0.0482,10/15/2013,,0.076,IGD
46,,0.03276,7/15/2013,8/1/2013,0.00168,8/15/2013,,0.084,IGD
47,,,6/17/2013,7/1/2013,0.022,7/15/2013,,0.084,IGD
48,,0.037,5/15/2013,6/3/2013,0.047,6/17/2013,,0.084,IGD
49,,,4/15/2013,5/1/2013,0.027,5/15/2013,,0.084,IGD
50,,0.049,3/15/2013,4/1/2013,0.014,4/15/2013,,0.084,IGD
51,,,2/15/2013,3/1/2013,0.024,3/15/2013,,0.084,IGD
52,,0.084,1/15/2013,2/1/2013,,2/15/2013,,0.084,IGD
53,,0.06126,12/17/2012,12/27/2012,0.02274,1/15/2013,,0.084,IGD
54,,0.06126,11/15/2012,12/3/2012,0.02274,12/17/2012,,0.084,IGD
55,,0.0588,10/16/2012,11/1/2012,0.0252,11/15/2012,,0.084,IGD
56,,0.0588,9/12/2012,10/1/2012,0.0252,10/15/2012,,0.084,IGD
57,,0.0651,8/15/2012,9/4/2012,0.0279,9/17/2012,,0.093,IGD
58,,0.06231,7/16/2012,8/1/2012,0.03069,8/15/2012,,0.093,IGD
59,,0.06603,6/15/2012,7/2/2012,0.02697,7/16/2012,,0.093,IGD
60,,0.06231,5/21/2012,6/1/2012,0.03069,6/15/2012,,0.093,IGD
61,,0.07254,4/16/2012,5/1/2012,0.02046,5/15/2012,,0.093,IGD
62,,0.07254,3/15/2012,4/2/2012,0.02046,4/16/2012,,0.093,IGD
63,,0.07254,2/17/2012,3/1/2012,0.02046,3/15/2012,,0.093,IGD
64,,0.03162,1/18/2012,2/1/2012,0.02883,2/15/2012,,0.093,IGD
65,,0.0682,12/15/2011,12/28/2011,0.02481,1/16/2012,,0.093,IGD
66,,0.07333,11/15/2011,12/1/2011,0.02667,12/15/2011,,0.1,IGD
67,,0.07333,10/17/2011,11/1/2011,0.02667,11/15/2011,,0.1,IGD
68,,0.07333,9/15/2011,10/3/2011,0.02667,10/17/2011,,0.1,IGD
69,,0.07333,8/15/2011,9/1/2011,0.02667,9/15/2011,,0.1,IGD
70,,0.07333,7/15/2011,8/1/2011,0.02667,8/15/2011,,0.1,IGD
71,,0.002,6/15/2011,7/1/2011,0.045,7/15/2011,,0.1,IGD
72,,0.006,5/16/2011,6/1/2011,0.04,6/15/2011,,0.1,IGD
73,,0.036,4/15/2011,5/2/2011,0.026,5/16/2011,,0.1,IGD
74,,,3/15/2011,4/1/2011,0.054,4/15/2011,,0.1,IGD
75,,0.036,2/15/2011,3/1/2011,0.026,3/15/2011,,0.1,IGD
76,,0.036,1/18/2011,2/1/2011,0.026,2/15/2011,,0.1,IGD
77,,0.0363,12/15/2010,12/29/2010,0.06371,1/18/2011,,0.1,IGD
78,,0.0363,11/15/2010,12/1/2010,0.06371,12/15/2010,,0.1,IGD
79,,0.0363,10/15/2010,11/1/2010,0.06371,11/15/2010,,0.1,IGD
80,,0.0363,9/15/2010,10/1/2010,0.06371,10/15/2010,,0.1,IGD
81,,0.0363,8/16/2010,9/1/2010,0.06371,9/15/2010,,0.1,IGD
82,,0.0363,7/15/2010,8/2/2010,0.06371,8/16/2010,,0.1,IGD
83,,0.0363,6/15/2010,7/1/2010,0.06371,7/15/2010,,0.1,IGD
84,,0.04537,5/17/2010,6/1/2010,0.07963,6/15/2010,,0.125,IGD
85,,0.04537,4/15/2010,5/3/2010,0.07963,5/17/2010,,0.125,IGD
86,,0.0415,3/15/2010,4/1/2010,0.036,4/15/2010,,0.125,IGD
87,,0.0415,2/16/2010,3/1/2010,0.036,3/15/2010,,0.125,IGD
88,,,1/15/2010,2/1/2010,,2/16/2010,,0.125,IGD
89,,0.10279,12/15/2009,12/29/2009,0.02221,1/15/2010,,0.125,IGD
90,,0.10279,11/16/2009,12/1/2009,0.02221,12/15/2009,,0.125,IGD
91,,0.12829,10/15/2009,11/2/2009,0.02771,11/16/2009,,0.156,IGD
92,,0.12829,9/21/2009,10/1/2009,0.02771,10/15/2009,,0.156,IGD
93,,0.12829,8/17/2009,9/1/2009,0.02771,9/15/2009,,0.156,IGD
94,,0.12829,7/15/2009,8/3/2009,0.02771,8/17/2009,,0.156,IGD
95,,0.12829,6/15/2009,6/30/2009,0.02771,7/15/2009,,0.156,IGD
96,,,5/15/2009,6/1/2009,,6/15/2009,,0.156,IGD
97,,,5/15/2009,6/1/2009,,6/15/2009,,0.156,IGD
98,,0.12829,4/16/2009,5/1/2009,0.02771,5/15/2009,,0.156,IGD
99,,0.11388,3/16/2009,4/1/2009,0.04212,4/15/2009,,0.156,IGD
100,,0.11388,2/17/2009,3/2/2009,0.04212,3/16/2009,,0.156,IGD
101,,0.13728,1/15/2009,2/2/2009,0.01872,2/16/2009,,0.156,IGD
102,,0.07658,12/19/2008,12/29/2008,0.07942,1/15/2009,,0.156,IGD
103,,0.07658,11/17/2008,12/1/2008,0.07942,12/15/2008,,0.156,IGD
104,,0.07658,10/15/2008,11/3/2008,0.07942,11/17/2008,,0.156,IGD
105,,,9/15/2008,10/1/2008,,10/15/2008,,0.156,IGD
106,,,8/15/2008,9/2/2008,,9/15/2008,,0.156,IGD
107,,,7/15/2008,8/1/2008,,8/15/2008,,0.156,IGD
108,,,6/16/2008,7/1/2008,,7/15/2008,,0.156,IGD
109,,,5/15/2008,6/2/2008,,6/16/2008,,0.156,IGD
110,,,4/15/2008,5/1/2008,,5/15/2008,,0.156,IGD
111,,,3/14/2008,4/1/2008,,4/15/2008,,0.156,IGD
112,,,2/15/2008,3/3/2008,,3/17/2008,,0.156,IGD
113,,,1/16/2008,2/1/2008,,2/15/2008,,0.156,IGD
114,,,12/17/2007,12/27/2007,,1/15/2008,S,0.197,IGD
115,,,12/17/2007,12/27/2007,,1/15/2008,,0.156,IGD
116,,,11/19/2007,12/3/2007,,12/17/2007,,0.156,IGD
117,,,10/15/2007,11/1/2007,,11/15/2007,,0.156,IGD
118,,,9/17/2007,10/1/2007,,10/15/2007,,0.156,IGD
119,,,8/15/2007,9/4/2007,,9/17/2007,,0.156,IGD
120,,,7/17/2007,8/1/2007,,8/15/2007,,0.156,IGD
121,,,6/15/2007,7/2/2007,,7/16/2007,,0.156,IGD
122,,,5/15/2007,6/1/2007,,6/15/2007,,0.156,IGD
123,,,4/16/2007,5/1/2007,,5/15/2007,,0.156,IGD
124,,,3/15/2007,4/2/2007,,4/16/2007,,0.156,IGD
125,,,3/1/2007,3/1/2007,,3/15/2007,,0.156,IGD
126,,,1/16/2007,2/1/2007,,2/15/2007,,0.156,IGD
127,,,12/16/2006,12/27/2006,,1/16/2007,,0.156,IGD
128,,,11/15/2006,12/1/2006,,12/15/2006,,0.156,IGD
129,,,10/16/2006,11/1/2006,,11/15/2006,,0.156,IGD
130,,,9/21/2006,10/2/2006,,10/16/2006,,0.156,IGD
131,,,8/18/2006,9/1/2006,,9/15/2006,,0.156,IGD
132,,,7/18/2006,8/1/2006,,8/15/2006,,0.156,IGD
133,,,6/15/2006,7/3/2006,,7/17/2006,,0.156,IGD
134,,,5/15/2006,6/1/2006,,6/15/2006,,0.156,IGD
135,,,4/17/2006,5/1/2006,,5/15/2006,,0.156,IGD
136,,,3/15/2006,4/3/2006,,4/17/2006,,0.156,IGD
137,,,2/15/2006,3/1/2006,,3/15/2006,,0.156,IGD
138,,,1/17/2006,2/1/2006,,2/15/2006,,0.156,IGD
139,,,12/16/2005,12/28/2005,,1/17/2006,,0.156,IGD
140,,,11/15/2005,12/1/2005,,12/15/2005,,0.156,IGD
141,,,10/11/2005,11/1/2005,,11/15/2005,,0.15675,IGD
142,,,9/15/2005,10/3/2005,,10/11/2005,,0.15675,IGD
143,,,8/15/2005,9/1/2005,,9/15/2005,,0.15519,IGD
144,,,7/15/2005,8/1/2005,,8/15/2005,,0.156,IGD
145,,,6/15/2005,7/1/2005,,7/18/2005,,0.156,IGD
146,,,5/10/2005,6/1/2005,,6/15/2005,,0.156,IGD
