,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.0121,,5/17/2017,6/21/2017,0.0779,7/3/2017,,0.09,IGI
1,,,5/17/2017,7/19/2017,0.09,8/1/2017,,0.09,IGI
2,,,5/17/2017,8/23/2017,0.09,9/1/2017,,0.09,IGI
3,,,2/14/2017,4/19/2017,0.09,5/1/2017,,0.09,IGI
4,,,2/14/2017,5/17/2017,0.09,6/1/2017,,0.09,IGI
5,,,2/14/2017,3/22/2017,0.09,4/3/2017,,0.09,IGI
6,0.03621,,11/15/2016,12/21/2016,0.05379,12/30/2016,,0.09,IGI
7,,,11/15/2016,1/18/2017,0.09,1/27/2017,,0.09,IGI
8,,,11/15/2016,2/15/2017,0.09,2/24/2017,,0.09,IGI
9,,,8/15/2016,9/21/2016,0.1,9/30/2016,,0.1,IGI
10,,,8/15/2016,10/19/2016,0.1,10/28/2016,,0.1,IGI
11,,,8/15/2016,11/16/2016,0.1,11/25/2016,,0.1,IGI
