,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.034,6/1/2017,6/20/2017,0.016,6/30/2017,,0.05,IGR
1,,0.034,5/1/2017,5/18/2017,0.016,5/31/2017,,0.05,IGR
2,,0.034,4/3/2017,4/19/2017,0.016,4/28/2017,,0.05,IGR
3,,0.035,3/1/2017,3/16/2017,0.015,3/31/2017,,0.05,IGR
4,,0.037,2/10/2017,2/16/2017,0.013,2/28/2017,,0.05,IGR
5,,0.036,1/11/2017,1/19/2017,0.014,1/31/2017,,0.05,IGR
6,,0.026,12/12/2016,12/20/2016,0.024,12/30/2016,,0.05,IGR
7,,0.026,11/11/2016,11/17/2016,0.024,11/30/2016,,0.05,IGR
8,,0.026,10/11/2016,10/19/2016,0.024,10/31/2016,,0.05,IGR
9,,0.027,9/1/2016,9/21/2016,0.023,9/30/2016,,0.05,IGR
10,,0.027,8/1/2016,8/18/2016,0.023,8/31/2016,,0.05,IGR
11,,0.026,7/1/2016,7/19/2016,0.024,7/29/2016,,0.05,IGR
12,,0.027,6/1/2016,6/21/2016,0.023,6/30/2016,,0.05,IGR
13,,0.027,5/12/2016,5/19/2016,0.023,5/31/2016,,0.05,IGR
14,,0.028,4/13/2016,4/21/2016,0.022,4/29/2016,,0.05,IGR
15,,0.031,3/11/2016,3/21/2016,0.019,3/31/2016,,0.05,IGR
16,,0.038,2/11/2016,2/18/2016,0.012,2/29/2016,,0.05,IGR
17,,0.038,1/11/2016,1/20/2016,0.012,1/29/2016,,0.05,IGR
18,,0.038,12/10/2015,12/21/2015,0.012,12/31/2015,,0.05,IGR
19,,0.038,11/10/2015,11/18/2015,0.012,11/30/2015,,0.05,IGR
20,,0.038,10/13/2015,10/21/2015,0.012,10/30/2015,,0.05,IGR
21,,0.038,9/14/2015,9/22/2015,0.012,9/30/2015,,0.05,IGR
22,,0.038,8/10/2015,8/20/2015,0.012,8/31/2015,,0.05,IGR
23,,0.03444,7/14/2015,7/22/2015,0.01556,7/31/2015,,0.05,IGR
24,,0.031,6/11/2015,6/19/2015,0.014,6/30/2015,,0.045,IGR
25,,0.031,5/12/2015,5/20/2015,0.014,5/29/2015,,0.045,IGR
26,,0.031,4/10/2015,4/21/2015,0.014,4/30/2015,,0.045,IGR
27,,0.027,3/10/2015,3/20/2015,0.018,3/31/2015,,0.045,IGR
28,,0.025,2/9/2015,2/18/2015,0.02,2/27/2015,,0.045,IGR
29,,0.025,1/12/2015,1/21/2015,0.02,1/30/2015,,0.045,IGR
30,,0.01196,12/11/2014,12/18/2014,0.03304,12/31/2014,,0.045,IGR
31,,0.01196,11/10/2014,11/19/2014,0.03304,11/28/2014,,0.045,IGR
32,,0.01196,10/10/2014,10/20/2014,0.03304,10/31/2014,,0.045,IGR
33,,0.01196,9/11/2014,9/18/2014,0.03304,9/30/2014,,0.045,IGR
34,,0.01196,8/11/2014,8/19/2014,0.03304,8/29/2014,,0.045,IGR
35,,0.01196,7/14/2014,7/22/2014,0.03304,7/31/2014,,0.045,IGR
36,,0.01196,6/10/2014,6/18/2014,0.03304,6/30/2014,,0.045,IGR
37,,0.01196,5/12/2014,5/20/2014,0.03304,5/30/2014,,0.045,IGR
38,,0.037,4/10/2014,4/17/2014,0.008,4/30/2014,,0.045,IGR
39,,0.032,3/14/2014,3/20/2014,0.013,3/31/2014,,0.045,IGR
40,,0.029,2/10/2014,2/19/2014,0.016,2/28/2014,,0.045,IGR
41,,0.026,1/13/2014,1/22/2014,0.019,1/31/2014,,0.045,IGR
42,,0.0118,12/13/2013,12/19/2013,0.0332,12/31/2013,,0.045,IGR
43,,0.0118,11/8/2013,11/19/2013,0.0332,11/29/2013,,0.045,IGR
44,,0.0118,10/10/2013,10/21/2013,0.0332,10/31/2013,,0.045,IGR
45,,0.0118,9/12/2013,9/19/2013,0.0332,9/30/2013,,0.045,IGR
46,,0.0118,8/12/2013,8/20/2013,0.0332,8/30/2013,,0.045,IGR
47,,0.029,7/12/2013,7/18/2013,0.016,7/31/2013,,0.045,IGR
48,,0.023,6/10/2013,6/18/2013,0.022,6/28/2013,,0.045,IGR
49,,,5/10/2013,5/20/2013,0.045,5/31/2013,,0.045,IGR
50,,0.009,4/12/2013,4/18/2013,0.036,4/30/2013,,0.045,IGR
51,,0.013,3/11/2013,3/19/2013,0.032,3/29/2013,,0.045,IGR
52,,0.012,2/11/2013,2/19/2013,0.033,2/28/2013,,0.045,IGR
53,,0.018,1/14/2013,1/22/2013,0.027,1/31/2013,,0.045,IGR
54,,,12/7/2012,12/18/2012,0.045,12/31/2012,,0.045,IGR
55,,,12/7/2012,12/18/2012,0.042,12/31/2012,S,0.042,IGR
56,,,11/8/2012,11/19/2012,0.045,11/30/2012,,0.045,IGR
57,,,10/11/2012,10/19/2012,0.045,10/31/2012,,0.045,IGR
58,,,9/11/2012,9/19/2012,0.045,9/28/2012,,0.045,IGR
59,,,8/10/2012,8/21/2012,0.045,8/31/2012,,0.045,IGR
60,,,7/12/2012,7/19/2012,0.045,7/31/2012,,0.045,IGR
61,,,6/11/2012,6/19/2012,0.045,6/29/2012,,0.045,IGR
62,,0.012,5/10/2012,5/18/2012,0.033,5/31/2012,,0.045,IGR
63,,0.017,4/9/2012,4/18/2012,0.028,4/30/2012,,0.045,IGR
64,,0.014,3/9/2012,3/20/2012,0.031,3/30/2012,,0.045,IGR
65,,0.014,2/9/2012,2/16/2012,0.031,2/29/2012,,0.045,IGR
66,,0.019,1/10/2012,1/18/2012,0.026,1/31/2012,,0.045,IGR
67,,0.017,12/12/2011,12/23/2011,0.028,12/30/2011,,0.045,IGR
68,,0.017,11/10/2011,11/17/2011,0.028,11/30/2011,,0.045,IGR
69,,0.01,10/10/2011,10/19/2011,0.035,10/31/2011,,0.045,IGR
70,,0.01,9/12/2011,9/21/2011,0.035,9/30/2011,,0.045,IGR
71,,0.01,8/11/2011,8/22/2011,0.035,8/31/2011,,0.045,IGR
72,,0.01,7/12/2011,7/20/2011,0.035,7/29/2011,,0.045,IGR
73,,0.007,6/13/2011,6/18/2011,0.038,6/30/2011,,0.045,IGR
74,,0.007,5/12/2011,5/19/2011,0.038,5/31/2011,,0.045,IGR
75,,0.013,4/12/2011,4/21/2011,0.032,4/29/2011,,0.045,IGR
76,,0.014,3/10/2011,3/21/2011,0.031,3/31/2011,,0.045,IGR
77,,0.013,2/10/2011,2/17/2011,0.032,2/28/2011,,0.045,IGR
78,,0.016,1/11/2011,1/20/2011,0.029,1/31/2011,,0.045,IGR
79,,,12/13/2010,12/21/2010,0.045,12/31/2010,,0.045,IGR
80,,,11/12/2010,11/18/2010,0.045,11/30/2010,,0.045,IGR
81,,,10/11/2010,10/20/2010,0.045,10/29/2010,,0.045,IGR
82,,,9/9/2010,9/16/2010,0.045,9/30/2010,,0.045,IGR
83,,,8/9/2010,8/18/2010,0.045,8/31/2010,,0.045,IGR
