,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 20.0, u'NAVData': 18.99, u'DataDateDisplay': u'6/7/2013', u'DataDateJs': u'2013/06/07', u'DataDate': u'2013-06-07T00:00:00', u'DiscountData': 5.32}",IVH,IVH
1,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 20.0, u'NAVData': 18.97, u'DataDateDisplay': u'6/14/2013', u'DataDateJs': u'2013/06/14', u'DataDate': u'2013-06-14T00:00:00', u'DiscountData': 5.43}",IVH,IVH
2,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 20.0, u'NAVData': 18.68, u'DataDateDisplay': u'6/21/2013', u'DataDateJs': u'2013/06/21', u'DataDate': u'2013-06-21T00:00:00', u'DiscountData': 7.07}",IVH,IVH
3,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 20.0, u'NAVData': 18.75, u'DataDateDisplay': u'6/28/2013', u'DataDateJs': u'2013/06/28', u'DataDate': u'2013-06-28T00:00:00', u'DiscountData': 6.67}",IVH,IVH
4,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 19.87, u'NAVData': 18.78, u'DataDateDisplay': u'7/5/2013', u'DataDateJs': u'2013/07/05', u'DataDate': u'2013-07-05T00:00:00', u'DiscountData': 5.8}",IVH,IVH
5,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 20.0, u'NAVData': 19.14, u'DataDateDisplay': u'7/12/2013', u'DataDateJs': u'2013/07/12', u'DataDate': u'2013-07-12T00:00:00', u'DiscountData': 4.49}",IVH,IVH
6,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 19.35, u'NAVData': 19.46, u'DataDateDisplay': u'7/19/2013', u'DataDateJs': u'2013/07/19', u'DataDate': u'2013-07-19T00:00:00', u'DiscountData': -0.57}",IVH,IVH
7,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 18.29, u'NAVData': 19.38, u'DataDateDisplay': u'7/26/2013', u'DataDateJs': u'2013/07/26', u'DataDate': u'2013-07-26T00:00:00', u'DiscountData': -5.62}",IVH,IVH
8,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.6, u'NAVData': 19.35, u'DataDateDisplay': u'8/2/2013', u'DataDateJs': u'2013/08/02', u'DataDate': u'2013-08-02T00:00:00', u'DiscountData': -9.04}",IVH,IVH
9,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 18.1, u'NAVData': 19.21, u'DataDateDisplay': u'8/9/2013', u'DataDateJs': u'2013/08/09', u'DataDate': u'2013-08-09T00:00:00', u'DiscountData': -5.78}",IVH,IVH
10,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.3284, u'NAVData': 19.14, u'DataDateDisplay': u'8/16/2013', u'DataDateJs': u'2013/08/16', u'DataDate': u'2013-08-16T00:00:00', u'DiscountData': -9.46}",IVH,IVH
11,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.12, u'NAVData': 19.05, u'DataDateDisplay': u'8/23/2013', u'DataDateJs': u'2013/08/23', u'DataDate': u'2013-08-23T00:00:00', u'DiscountData': -10.13}",IVH,IVH
12,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.2, u'NAVData': 19.17, u'DataDateDisplay': u'8/30/2013', u'DataDateJs': u'2013/08/30', u'DataDate': u'2013-08-30T00:00:00', u'DiscountData': -10.28}",IVH,IVH
13,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.24, u'NAVData': 19.19, u'DataDateDisplay': u'9/6/2013', u'DataDateJs': u'2013/09/06', u'DataDate': u'2013-09-06T00:00:00', u'DiscountData': -10.16}",IVH,IVH
14,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.09, u'NAVData': 19.23, u'DataDateDisplay': u'9/13/2013', u'DataDateJs': u'2013/09/13', u'DataDate': u'2013-09-13T00:00:00', u'DiscountData': -11.13}",IVH,IVH
15,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.21, u'NAVData': 19.54, u'DataDateDisplay': u'9/20/2013', u'DataDateJs': u'2013/09/20', u'DataDate': u'2013-09-20T00:00:00', u'DiscountData': -11.92}",IVH,IVH
16,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.88, u'NAVData': 19.46, u'DataDateDisplay': u'9/27/2013', u'DataDateJs': u'2013/09/27', u'DataDate': u'2013-09-27T00:00:00', u'DiscountData': -8.12}",IVH,IVH
17,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.7639, u'NAVData': 19.56, u'DataDateDisplay': u'10/4/2013', u'DataDateJs': u'2013/10/04', u'DataDate': u'2013-10-04T00:00:00', u'DiscountData': -9.18}",IVH,IVH
18,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.9, u'NAVData': 19.68, u'DataDateDisplay': u'10/11/2013', u'DataDateJs': u'2013/10/11', u'DataDate': u'2013-10-11T00:00:00', u'DiscountData': -9.04}",IVH,IVH
19,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 18.06, u'NAVData': 19.8, u'DataDateDisplay': u'10/18/2013', u'DataDateJs': u'2013/10/18', u'DataDate': u'2013-10-18T00:00:00', u'DiscountData': -8.79}",IVH,IVH
20,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 18.12, u'NAVData': 19.96, u'DataDateDisplay': u'10/25/2013', u'DataDateJs': u'2013/10/25', u'DataDate': u'2013-10-25T00:00:00', u'DiscountData': -9.22}",IVH,IVH
21,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 18.38, u'NAVData': 20.05, u'DataDateDisplay': u'11/1/2013', u'DataDateJs': u'2013/11/01', u'DataDate': u'2013-11-01T00:00:00', u'DiscountData': -8.33}",IVH,IVH
22,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.91, u'NAVData': 19.95, u'DataDateDisplay': u'11/8/2013', u'DataDateJs': u'2013/11/08', u'DataDate': u'2013-11-08T00:00:00', u'DiscountData': -10.23}",IVH,IVH
23,465893105,2017-07-07T00:00:00,XIVHX,Ivy High Income Opportunities,All,"{u'Data': 17.94, u'NAVData': 19.89, u'DataDateDisplay': u'11/15/2013', u'DataDateJs': u'2013/11/15', u'DataDate': u'2013-11-15T00:00:00', u'DiscountData': -9.8}",IVH,IVH
