,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.01, u'NAVData': 14.33, u'DataDateDisplay': u'9/26/2003', u'DataDateJs': u'2003/09/26', u'DataDate': u'2003-09-26T00:00:00', u'DiscountData': 4.75}",JDD,JDD
1,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.01, u'NAVData': 14.38, u'DataDateDisplay': u'10/3/2003', u'DataDateJs': u'2003/10/03', u'DataDate': u'2003-10-03T00:00:00', u'DiscountData': 4.38}",JDD,JDD
2,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.01, u'NAVData': 14.44, u'DataDateDisplay': u'10/10/2003', u'DataDateJs': u'2003/10/10', u'DataDate': u'2003-10-10T00:00:00', u'DiscountData': 3.95}",JDD,JDD
3,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.09, u'NAVData': 14.47, u'DataDateDisplay': u'10/17/2003', u'DataDateJs': u'2003/10/17', u'DataDate': u'2003-10-17T00:00:00', u'DiscountData': 4.28}",JDD,JDD
4,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.0, u'NAVData': 14.37, u'DataDateDisplay': u'10/24/2003', u'DataDateJs': u'2003/10/24', u'DataDate': u'2003-10-24T00:00:00', u'DiscountData': 4.38}",JDD,JDD
5,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.01, u'NAVData': 14.49, u'DataDateDisplay': u'10/31/2003', u'DataDateJs': u'2003/10/31', u'DataDate': u'2003-10-31T00:00:00', u'DiscountData': 3.59}",JDD,JDD
6,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 14.96, u'NAVData': 14.54, u'DataDateDisplay': u'11/7/2003', u'DataDateJs': u'2003/11/07', u'DataDate': u'2003-11-07T00:00:00', u'DiscountData': 2.89}",JDD,JDD
7,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.06, u'NAVData': 14.5, u'DataDateDisplay': u'11/14/2003', u'DataDateJs': u'2003/11/14', u'DataDate': u'2003-11-14T00:00:00', u'DiscountData': 3.86}",JDD,JDD
8,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.05, u'NAVData': 14.31, u'DataDateDisplay': u'11/21/2003', u'DataDateJs': u'2003/11/21', u'DataDate': u'2003-11-21T00:00:00', u'DiscountData': 5.17}",JDD,JDD
9,6706EP105,2017-07-07T00:00:00,XJDDX,Nuveen Diversified Div & Inc,All,"{u'Data': 15.2, u'NAVData': 14.49, u'DataDateDisplay': u'11/28/2003', u'DataDateJs': u'2003/11/28', u'DataDate': u'2003-11-28T00:00:00', u'DiscountData': 4.9}",JDD,JDD
