,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.00205,7/3/2017,7/12/2017,0.11795,8/1/2017,,0.12,JGH
1,,0.00205,6/1/2017,6/13/2017,0.11795,7/3/2017,,0.12,JGH
2,,0.00444,5/1/2017,5/11/2017,0.11556,6/1/2017,,0.12,JGH
3,,0.00444,4/3/2017,4/11/2017,0.11556,5/1/2017,,0.12,JGH
4,,0.00444,3/1/2017,3/13/2017,0.11556,4/3/2017,,0.12,JGH
5,,0.00444,2/1/2017,2/13/2017,0.11556,3/1/2017,,0.12,JGH
6,,0.00444,1/3/2017,1/11/2017,0.11556,2/1/2017,,0.12,JGH
7,,0.00205,12/1/2016,12/13/2016,0.11795,12/30/2016,,0.12,JGH
8,,0.00205,11/1/2016,11/10/2016,0.11795,12/1/2016,,0.12,JGH
9,,0.00205,10/3/2016,10/12/2016,0.11795,11/1/2016,,0.12,JGH
10,,0.00205,9/1/2016,9/13/2016,0.11795,10/3/2016,,0.12,JGH
11,,0.00225,8/1/2016,8/11/2016,0.12975,9/1/2016,,0.132,JGH
