,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.02486,,7/3/2017,7/12/2017,0.08864,8/1/2017,,0.1135,JLS
1,0.02486,,6/1/2017,6/13/2017,0.08864,7/3/2017,,0.1135,JLS
2,0.02486,,5/1/2017,5/11/2017,0.08864,6/1/2017,,0.1135,JLS
3,0.02486,,4/3/2017,4/11/2017,0.08864,5/1/2017,,0.1135,JLS
4,0.02486,,3/1/2017,3/13/2017,0.08864,4/3/2017,,0.1135,JLS
5,0.1135,,2/1/2017,2/13/2017,,3/1/2017,,0.1135,JLS
6,0.1135,,1/3/2017,1/11/2017,,2/1/2017,,0.1135,JLS
7,,,12/1/2016,12/13/2016,0.1135,12/30/2016,,0.1135,JLS
8,0.2832,,12/1/2016,12/22/2016,,12/30/2016,S,0.2832,JLS
9,,,11/1/2016,11/10/2016,0.1135,12/1/2016,,0.1135,JLS
10,,,10/3/2016,10/12/2016,0.1135,11/1/2016,,0.1135,JLS
11,,,9/1/2016,9/13/2016,0.1135,10/3/2016,,0.1135,JLS
12,,,8/1/2016,8/11/2016,0.1135,9/1/2016,,0.1135,JLS
