,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.57, u'NAVData': 8.6, u'DataDateDisplay': u'9/12/2014', u'DataDateJs': u'2014/09/12', u'DataDate': u'2014-09-12T00:00:00', u'DiscountData': -11.98}",JMM,JMM
1,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.54, u'NAVData': 8.62, u'DataDateDisplay': u'9/19/2014', u'DataDateJs': u'2014/09/19', u'DataDate': u'2014-09-19T00:00:00', u'DiscountData': -12.53}",JMM,JMM
2,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.44, u'NAVData': 8.59, u'DataDateDisplay': u'9/26/2014', u'DataDateJs': u'2014/09/26', u'DataDate': u'2014-09-26T00:00:00', u'DiscountData': -13.39}",JMM,JMM
3,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.59, u'NAVData': 8.61, u'DataDateDisplay': u'10/3/2014', u'DataDateJs': u'2014/10/03', u'DataDate': u'2014-10-03T00:00:00', u'DiscountData': -11.85}",JMM,JMM
4,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.5, u'NAVData': 8.57, u'DataDateDisplay': u'10/10/2014', u'DataDateJs': u'2014/10/10', u'DataDate': u'2014-10-10T00:00:00', u'DiscountData': -12.49}",JMM,JMM
5,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.5034, u'NAVData': 8.57, u'DataDateDisplay': u'10/17/2014', u'DataDateJs': u'2014/10/17', u'DataDate': u'2014-10-17T00:00:00', u'DiscountData': -12.45}",JMM,JMM
6,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.55, u'NAVData': 8.61, u'DataDateDisplay': u'10/24/2014', u'DataDateJs': u'2014/10/24', u'DataDate': u'2014-10-24T00:00:00', u'DiscountData': -12.31}",JMM,JMM
7,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.5701, u'NAVData': 8.61, u'DataDateDisplay': u'10/31/2014', u'DataDateJs': u'2014/10/31', u'DataDate': u'2014-10-31T00:00:00', u'DiscountData': -12.08}",JMM,JMM
8,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.59, u'NAVData': 8.61, u'DataDateDisplay': u'11/7/2014', u'DataDateJs': u'2014/11/07', u'DataDate': u'2014-11-07T00:00:00', u'DiscountData': -11.85}",JMM,JMM
9,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.61, u'NAVData': 8.58, u'DataDateDisplay': u'11/14/2014', u'DataDateJs': u'2014/11/14', u'DataDate': u'2014-11-14T00:00:00', u'DiscountData': -11.31}",JMM,JMM
10,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.6315, u'NAVData': 8.57, u'DataDateDisplay': u'11/21/2014', u'DataDateJs': u'2014/11/21', u'DataDate': u'2014-11-21T00:00:00', u'DiscountData': -10.95}",JMM,JMM
11,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.74, u'NAVData': 8.57, u'DataDateDisplay': u'11/28/2014', u'DataDateJs': u'2014/11/28', u'DataDate': u'2014-11-28T00:00:00', u'DiscountData': -9.68}",JMM,JMM
12,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.6101, u'NAVData': 8.55, u'DataDateDisplay': u'12/5/2014', u'DataDateJs': u'2014/12/05', u'DataDate': u'2014-12-05T00:00:00', u'DiscountData': -10.99}",JMM,JMM
13,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.58, u'NAVData': 8.46, u'DataDateDisplay': u'12/12/2014', u'DataDateJs': u'2014/12/12', u'DataDate': u'2014-12-12T00:00:00', u'DiscountData': -10.4}",JMM,JMM
14,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.75, u'NAVData': 8.49, u'DataDateDisplay': u'12/19/2014', u'DataDateJs': u'2014/12/19', u'DataDate': u'2014-12-19T00:00:00', u'DiscountData': -8.72}",JMM,JMM
15,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.83, u'NAVData': 8.51, u'DataDateDisplay': u'12/26/2014', u'DataDateJs': u'2014/12/26', u'DataDate': u'2014-12-26T00:00:00', u'DiscountData': -7.99}",JMM,JMM
16,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.8735, u'NAVData': 8.53, u'DataDateDisplay': u'1/2/2015', u'DataDateJs': u'2015/01/02', u'DataDate': u'2015-01-02T00:00:00', u'DiscountData': -7.7}",JMM,JMM
17,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.7, u'NAVData': 8.53, u'DataDateDisplay': u'1/9/2015', u'DataDateJs': u'2015/01/09', u'DataDate': u'2015-01-09T00:00:00', u'DiscountData': -9.73}",JMM,JMM
18,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.67, u'NAVData': 8.47, u'DataDateDisplay': u'1/16/2015', u'DataDateJs': u'2015/01/16', u'DataDate': u'2015-01-16T00:00:00', u'DiscountData': -9.45}",JMM,JMM
19,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.7, u'NAVData': 8.49, u'DataDateDisplay': u'1/23/2015', u'DataDateJs': u'2015/01/23', u'DataDate': u'2015-01-23T00:00:00', u'DiscountData': -9.31}",JMM,JMM
20,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.77, u'NAVData': 8.49, u'DataDateDisplay': u'1/30/2015', u'DataDateJs': u'2015/01/30', u'DataDate': u'2015-01-30T00:00:00', u'DiscountData': -8.48}",JMM,JMM
21,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.9, u'NAVData': 8.52, u'DataDateDisplay': u'2/6/2015', u'DataDateJs': u'2015/02/06', u'DataDate': u'2015-02-06T00:00:00', u'DiscountData': -7.28}",JMM,JMM
22,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.73, u'NAVData': 8.5, u'DataDateDisplay': u'2/13/2015', u'DataDateJs': u'2015/02/13', u'DataDate': u'2015-02-13T00:00:00', u'DiscountData': -9.06}",JMM,JMM
23,67075J107,2017-07-07T00:00:00,XJMMX,Nuveen Multi-Market Income,All,"{u'Data': 7.72, u'NAVData': 8.49, u'DataDateDisplay': u'2/20/2015', u'DataDateJs': u'2015/02/20', u'DataDate': u'2015-02-20T00:00:00', u'DiscountData': -9.07}",JMM,JMM
