,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.106,8/1/2017,,0.106,JSD
1,,,6/1/2017,6/13/2017,0.106,7/3/2017,,0.106,JSD
2,0.0319,,5/1/2017,5/11/2017,,6/1/2017,,0.106,JSD
3,0.0319,,4/3/2017,4/11/2017,,5/1/2017,,0.106,JSD
4,0.0319,,3/1/2017,3/13/2017,,4/3/2017,,0.106,JSD
5,0.0319,,2/1/2017,2/13/2017,,3/1/2017,,0.106,JSD
6,0.0319,,1/3/2017,1/11/2017,,2/1/2017,,0.106,JSD
7,,,12/1/2016,12/13/2016,0.106,12/30/2016,,0.106,JSD
8,,,11/1/2016,11/10/2016,0.1,12/1/2016,,0.1,JSD
9,,,10/3/2016,10/12/2016,0.1,11/1/2016,,0.1,JSD
10,,,9/1/2016,9/13/2016,0.1,10/3/2016,,0.1,JSD
11,,,8/1/2016,8/11/2016,0.097,9/1/2016,,0.097,JSD
