,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/9/2017,6/15/2017,0.07,6/30/2017,,0.07,KTF
1,,,5/9/2017,5/17/2017,0.07,5/31/2017,,0.07,KTF
2,,,4/7/2017,4/13/2017,0.07,4/28/2017,,0.07,KTF
3,,,3/10/2017,3/16/2017,0.07,3/31/2017,,0.07,KTF
4,,,2/9/2017,2/16/2017,0.07,2/28/2017,,0.07,KTF
5,,,1/9/2017,1/17/2017,0.07,1/31/2017,,0.07,KTF
6,,,12/9/2016,12/15/2016,0.07,12/30/2016,,0.07,KTF
7,,,12/9/2016,12/15/2016,,12/30/2016,S,0.0101,KTF
8,,,11/10/2016,11/17/2016,0.07,11/30/2016,,0.07,KTF
9,,,10/7/2016,10/13/2016,0.07,10/31/2016,,0.07,KTF
10,,,9/9/2016,9/15/2016,0.07,9/30/2016,,0.07,KTF
11,,,8/8/2016,8/16/2016,0.07,8/31/2016,,0.07,KTF
12,,,7/8/2016,7/14/2016,0.07,7/29/2016,,0.07,KTF
