,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/15/2017,7/10/2017,0.06045,7/24/2017,,0.06045,LOR
1,,,5/16/2017,6/8/2017,0.06045,6/23/2017,,0.06045,LOR
2,,,4/18/2017,5/10/2017,0.06045,5/23/2017,,0.06045,LOR
3,,0.06045,3/17/2017,4/10/2017,,4/24/2017,,0.06045,LOR
4,,,2/15/2017,3/9/2017,0.06045,3/23/2017,,0.06045,LOR
5,,,1/17/2017,2/9/2017,0.06045,2/23/2017,,0.06045,LOR
6,,,1/3/2017,1/10/2017,0.06045,1/23/2017,,0.06045,LOR
7,,0.00559,11/15/2016,12/8/2016,0.05178,12/23/2016,,0.05737,LOR
8,,0.0481,10/18/2016,11/8/2016,0.00927,11/23/2016,,0.05737,LOR
9,,0.0481,9/15/2016,10/11/2016,0.00927,10/24/2016,,0.05737,LOR
10,,0.0481,8/15/2016,9/8/2016,0.00927,9/23/2016,,0.05737,LOR
11,,0.0481,7/18/2016,8/10/2016,0.00927,8/23/2016,,0.05737,LOR
