,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.6, u'NAVData': 9.45, u'DataDateDisplay': u'8/1/2014', u'DataDateJs': u'2014/08/01', u'DataDate': u'2014-08-01T00:00:00', u'DiscountData': -8.99}",MCN,MCN
1,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.57, u'NAVData': 9.53, u'DataDateDisplay': u'8/8/2014', u'DataDateJs': u'2014/08/08', u'DataDate': u'2014-08-08T00:00:00', u'DiscountData': -10.07}",MCN,MCN
2,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.68, u'NAVData': 9.55, u'DataDateDisplay': u'8/15/2014', u'DataDateJs': u'2014/08/15', u'DataDate': u'2014-08-15T00:00:00', u'DiscountData': -9.11}",MCN,MCN
3,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.8, u'NAVData': 9.65, u'DataDateDisplay': u'8/22/2014', u'DataDateJs': u'2014/08/22', u'DataDate': u'2014-08-22T00:00:00', u'DiscountData': -8.81}",MCN,MCN
4,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.834, u'NAVData': 9.67, u'DataDateDisplay': u'8/29/2014', u'DataDateJs': u'2014/08/29', u'DataDate': u'2014-08-29T00:00:00', u'DiscountData': -8.65}",MCN,MCN
5,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.84, u'NAVData': 9.65, u'DataDateDisplay': u'9/5/2014', u'DataDateJs': u'2014/09/05', u'DataDate': u'2014-09-05T00:00:00', u'DiscountData': -8.39}",MCN,MCN
6,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.78, u'NAVData': 9.59, u'DataDateDisplay': u'9/12/2014', u'DataDateJs': u'2014/09/12', u'DataDate': u'2014-09-12T00:00:00', u'DiscountData': -8.45}",MCN,MCN
7,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.58, u'NAVData': 9.42, u'DataDateDisplay': u'9/19/2014', u'DataDateJs': u'2014/09/19', u'DataDate': u'2014-09-19T00:00:00', u'DiscountData': -8.92}",MCN,MCN
8,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.54, u'NAVData': 9.38, u'DataDateDisplay': u'9/26/2014', u'DataDateJs': u'2014/09/26', u'DataDate': u'2014-09-26T00:00:00', u'DiscountData': -8.96}",MCN,MCN
9,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.44, u'NAVData': 9.3, u'DataDateDisplay': u'10/3/2014', u'DataDateJs': u'2014/10/03', u'DataDate': u'2014-10-03T00:00:00', u'DiscountData': -9.25}",MCN,MCN
10,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.1932, u'NAVData': 9.22, u'DataDateDisplay': u'10/10/2014', u'DataDateJs': u'2014/10/10', u'DataDate': u'2014-10-10T00:00:00', u'DiscountData': -11.14}",MCN,MCN
11,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.26, u'NAVData': 9.17, u'DataDateDisplay': u'10/17/2014', u'DataDateJs': u'2014/10/17', u'DataDate': u'2014-10-17T00:00:00', u'DiscountData': -9.92}",MCN,MCN
12,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.48, u'NAVData': 9.35, u'DataDateDisplay': u'10/24/2014', u'DataDateJs': u'2014/10/24', u'DataDate': u'2014-10-24T00:00:00', u'DiscountData': -9.3}",MCN,MCN
13,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.502, u'NAVData': 9.44, u'DataDateDisplay': u'10/31/2014', u'DataDateJs': u'2014/10/31', u'DataDate': u'2014-10-31T00:00:00', u'DiscountData': -9.94}",MCN,MCN
14,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.41, u'NAVData': 9.41, u'DataDateDisplay': u'11/7/2014', u'DataDateJs': u'2014/11/07', u'DataDate': u'2014-11-07T00:00:00', u'DiscountData': -10.63}",MCN,MCN
15,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.43, u'NAVData': 9.46, u'DataDateDisplay': u'11/14/2014', u'DataDateJs': u'2014/11/14', u'DataDate': u'2014-11-14T00:00:00', u'DiscountData': -10.89}",MCN,MCN
16,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.5, u'NAVData': 9.55, u'DataDateDisplay': u'11/21/2014', u'DataDateJs': u'2014/11/21', u'DataDate': u'2014-11-21T00:00:00', u'DiscountData': -10.99}",MCN,MCN
17,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.55, u'NAVData': 9.45, u'DataDateDisplay': u'11/28/2014', u'DataDateJs': u'2014/11/28', u'DataDate': u'2014-11-28T00:00:00', u'DiscountData': -9.52}",MCN,MCN
18,557437100,2017-07-07T00:00:00,XMCNX,Madison Covered Call & Eq Strt,All,"{u'Data': 8.5, u'NAVData': 9.45, u'DataDateDisplay': u'12/5/2014', u'DataDateJs': u'2014/12/05', u'DataDate': u'2014-12-05T00:00:00', u'DiscountData': -10.05}",MCN,MCN
