,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 13.13, u'NAVData': 12.85, u'DataDateDisplay': u'1/7/1994', u'DataDateJs': u'1994/01/07', u'DataDate': u'1994-01-07T00:00:00', u'DiscountData': 2.18}",MEN,MEN
1,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 13.0, u'NAVData': 12.81, u'DataDateDisplay': u'1/14/1994', u'DataDateJs': u'1994/01/14', u'DataDate': u'1994-01-14T00:00:00', u'DiscountData': 1.48}",MEN,MEN
2,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 13.0, u'NAVData': 12.85, u'DataDateDisplay': u'1/21/1994', u'DataDateJs': u'1994/01/21', u'DataDate': u'1994-01-21T00:00:00', u'DiscountData': 1.17}",MEN,MEN
3,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 13.38, u'NAVData': 12.98, u'DataDateDisplay': u'1/28/1994', u'DataDateJs': u'1994/01/28', u'DataDate': u'1994-01-28T00:00:00', u'DiscountData': 3.08}",MEN,MEN
4,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 12.75, u'NAVData': 12.91, u'DataDateDisplay': u'2/4/1994', u'DataDateJs': u'1994/02/04', u'DataDate': u'1994-02-04T00:00:00', u'DiscountData': -1.24}",MEN,MEN
5,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 12.5, u'NAVData': 12.75, u'DataDateDisplay': u'2/11/1994', u'DataDateJs': u'1994/02/11', u'DataDate': u'1994-02-11T00:00:00', u'DiscountData': -1.96}",MEN,MEN
6,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 12.0, u'NAVData': 12.59, u'DataDateDisplay': u'2/18/1994', u'DataDateJs': u'1994/02/18', u'DataDate': u'1994-02-18T00:00:00', u'DiscountData': -4.69}",MEN,MEN
7,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.38, u'NAVData': 12.4, u'DataDateDisplay': u'2/25/1994', u'DataDateJs': u'1994/02/25', u'DataDate': u'1994-02-25T00:00:00', u'DiscountData': -8.23}",MEN,MEN
8,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 12.0, u'NAVData': 12.09, u'DataDateDisplay': u'3/4/1994', u'DataDateJs': u'1994/03/04', u'DataDate': u'1994-03-04T00:00:00', u'DiscountData': -0.74}",MEN,MEN
9,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.75, u'NAVData': 12.07, u'DataDateDisplay': u'3/11/1994', u'DataDateJs': u'1994/03/11', u'DataDate': u'1994-03-11T00:00:00', u'DiscountData': -2.65}",MEN,MEN
10,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.88, u'NAVData': 12.08, u'DataDateDisplay': u'3/18/1994', u'DataDateJs': u'1994/03/18', u'DataDate': u'1994-03-18T00:00:00', u'DiscountData': -1.66}",MEN,MEN
11,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.25, u'NAVData': 11.95, u'DataDateDisplay': u'3/25/1994', u'DataDateJs': u'1994/03/25', u'DataDate': u'1994-03-25T00:00:00', u'DiscountData': -5.86}",MEN,MEN
12,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.13, u'NAVData': 11.61, u'DataDateDisplay': u'4/1/1994', u'DataDateJs': u'1994/04/01', u'DataDate': u'1994-04-01T00:00:00', u'DiscountData': -4.13}",MEN,MEN
13,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.38, u'NAVData': 11.61, u'DataDateDisplay': u'4/8/1994', u'DataDateJs': u'1994/04/08', u'DataDate': u'1994-04-08T00:00:00', u'DiscountData': -1.98}",MEN,MEN
14,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.57, u'DataDateDisplay': u'4/15/1994', u'DataDateJs': u'1994/04/15', u'DataDate': u'1994-04-15T00:00:00', u'DiscountData': -4.93}",MEN,MEN
15,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.68, u'DataDateDisplay': u'4/22/1994', u'DataDateJs': u'1994/04/22', u'DataDate': u'1994-04-22T00:00:00', u'DiscountData': -7.96}",MEN,MEN
16,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.64, u'DataDateDisplay': u'4/29/1994', u'DataDateJs': u'1994/04/29', u'DataDate': u'1994-04-29T00:00:00', u'DiscountData': -7.65}",MEN,MEN
17,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.5, u'DataDateDisplay': u'5/6/1994', u'DataDateJs': u'1994/05/06', u'DataDate': u'1994-05-06T00:00:00', u'DiscountData': -7.57}",MEN,MEN
18,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.42, u'DataDateDisplay': u'5/13/1994', u'DataDateJs': u'1994/05/13', u'DataDate': u'1994-05-13T00:00:00', u'DiscountData': -6.92}",MEN,MEN
19,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.66, u'DataDateDisplay': u'5/20/1994', u'DataDateJs': u'1994/05/20', u'DataDate': u'1994-05-20T00:00:00', u'DiscountData': -5.66}",MEN,MEN
20,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.71, u'DataDateDisplay': u'5/27/1994', u'DataDateJs': u'1994/05/27', u'DataDate': u'1994-05-27T00:00:00', u'DiscountData': -8.2}",MEN,MEN
21,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.87, u'DataDateDisplay': u'6/3/1994', u'DataDateJs': u'1994/06/03', u'DataDate': u'1994-06-03T00:00:00', u'DiscountData': -7.33}",MEN,MEN
22,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.13, u'NAVData': 11.98, u'DataDateDisplay': u'6/10/1994', u'DataDateJs': u'1994/06/10', u'DataDate': u'1994-06-10T00:00:00', u'DiscountData': -7.1}",MEN,MEN
23,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.77, u'DataDateDisplay': u'6/17/1994', u'DataDateJs': u'1994/06/17', u'DataDate': u'1994-06-17T00:00:00', u'DiscountData': -6.54}",MEN,MEN
24,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.6, u'DataDateDisplay': u'6/24/1994', u'DataDateJs': u'1994/06/24', u'DataDate': u'1994-06-24T00:00:00', u'DiscountData': -7.33}",MEN,MEN
25,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.5, u'DataDateDisplay': u'7/1/1994', u'DataDateJs': u'1994/07/01', u'DataDate': u'1994-07-01T00:00:00', u'DiscountData': -4.35}",MEN,MEN
26,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.5, u'DataDateDisplay': u'7/8/1994', u'DataDateJs': u'1994/07/08', u'DataDate': u'1994-07-08T00:00:00', u'DiscountData': -4.35}",MEN,MEN
27,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.13, u'NAVData': 11.58, u'DataDateDisplay': u'7/15/1994', u'DataDateJs': u'1994/07/15', u'DataDate': u'1994-07-15T00:00:00', u'DiscountData': -3.89}",MEN,MEN
28,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.0, u'NAVData': 11.62, u'DataDateDisplay': u'7/22/1994', u'DataDateJs': u'1994/07/22', u'DataDate': u'1994-07-22T00:00:00', u'DiscountData': -5.34}",MEN,MEN
29,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 11.13, u'NAVData': 11.76, u'DataDateDisplay': u'7/29/1994', u'DataDateJs': u'1994/07/29', u'DataDate': u'1994-07-29T00:00:00', u'DiscountData': -5.36}",MEN,MEN
30,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.88, u'NAVData': 11.66, u'DataDateDisplay': u'8/5/1994', u'DataDateJs': u'1994/08/05', u'DataDate': u'1994-08-05T00:00:00', u'DiscountData': -6.69}",MEN,MEN
31,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.59, u'DataDateDisplay': u'8/12/1994', u'DataDateJs': u'1994/08/12', u'DataDate': u'1994-08-12T00:00:00', u'DiscountData': -7.25}",MEN,MEN
32,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.58, u'DataDateDisplay': u'8/19/1994', u'DataDateJs': u'1994/08/19', u'DataDate': u'1994-08-19T00:00:00', u'DiscountData': -7.17}",MEN,MEN
33,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.63, u'DataDateDisplay': u'8/26/1994', u'DataDateJs': u'1994/08/26', u'DataDate': u'1994-08-26T00:00:00', u'DiscountData': -8.6}",MEN,MEN
34,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.88, u'NAVData': 11.71, u'DataDateDisplay': u'9/2/1994', u'DataDateJs': u'1994/09/02', u'DataDate': u'1994-09-02T00:00:00', u'DiscountData': -7.09}",MEN,MEN
35,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.54, u'DataDateDisplay': u'9/9/1994', u'DataDateJs': u'1994/09/09', u'DataDate': u'1994-09-09T00:00:00', u'DiscountData': -7.89}",MEN,MEN
36,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 11.44, u'DataDateDisplay': u'9/16/1994', u'DataDateJs': u'1994/09/16', u'DataDate': u'1994-09-16T00:00:00', u'DiscountData': -8.22}",MEN,MEN
37,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 11.36, u'DataDateDisplay': u'9/23/1994', u'DataDateJs': u'1994/09/23', u'DataDate': u'1994-09-23T00:00:00', u'DiscountData': -9.77}",MEN,MEN
38,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 11.35, u'DataDateDisplay': u'9/30/1994', u'DataDateJs': u'1994/09/30', u'DataDate': u'1994-09-30T00:00:00', u'DiscountData': -9.69}",MEN,MEN
39,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.13, u'NAVData': 11.22, u'DataDateDisplay': u'10/7/1994', u'DataDateJs': u'1994/10/07', u'DataDate': u'1994-10-07T00:00:00', u'DiscountData': -9.71}",MEN,MEN
40,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.29, u'DataDateDisplay': u'10/14/1994', u'DataDateJs': u'1994/10/14', u'DataDate': u'1994-10-14T00:00:00', u'DiscountData': -8.06}",MEN,MEN
41,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.13, u'NAVData': 11.18, u'DataDateDisplay': u'10/21/1994', u'DataDateJs': u'1994/10/21', u'DataDate': u'1994-10-21T00:00:00', u'DiscountData': -9.39}",MEN,MEN
42,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.38, u'NAVData': 10.95, u'DataDateDisplay': u'10/28/1994', u'DataDateJs': u'1994/10/28', u'DataDate': u'1994-10-28T00:00:00', u'DiscountData': -14.34}",MEN,MEN
43,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.25, u'NAVData': 10.65, u'DataDateDisplay': u'11/4/1994', u'DataDateJs': u'1994/11/04', u'DataDate': u'1994-11-04T00:00:00', u'DiscountData': -13.15}",MEN,MEN
44,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.75, u'NAVData': 10.31, u'DataDateDisplay': u'11/18/1994', u'DataDateJs': u'1994/11/18', u'DataDate': u'1994-11-18T00:00:00', u'DiscountData': -5.43}",MEN,MEN
45,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 10.39, u'DataDateDisplay': u'11/25/1994', u'DataDateJs': u'1994/11/25', u'DataDate': u'1994-11-25T00:00:00', u'DiscountData': -1.35}",MEN,MEN
46,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.13, u'NAVData': 10.73, u'DataDateDisplay': u'12/2/1994', u'DataDateJs': u'1994/12/02', u'DataDate': u'1994-12-02T00:00:00', u'DiscountData': -5.59}",MEN,MEN
47,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.63, u'NAVData': 10.74, u'DataDateDisplay': u'12/9/1994', u'DataDateJs': u'1994/12/09', u'DataDate': u'1994-12-09T00:00:00', u'DiscountData': -10.34}",MEN,MEN
48,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.5, u'NAVData': 10.65, u'DataDateDisplay': u'12/16/1994', u'DataDateJs': u'1994/12/16', u'DataDate': u'1994-12-16T00:00:00', u'DiscountData': -10.8}",MEN,MEN
49,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.5, u'NAVData': 10.68, u'DataDateDisplay': u'12/23/1994', u'DataDateJs': u'1994/12/23', u'DataDate': u'1994-12-23T00:00:00', u'DiscountData': -11.05}",MEN,MEN
50,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 9.38, u'NAVData': 10.75, u'DataDateDisplay': u'12/30/1994', u'DataDateJs': u'1994/12/30', u'DataDate': u'1994-12-30T00:00:00', u'DiscountData': -12.74}",MEN,MEN
51,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.0, u'NAVData': 10.82, u'DataDateDisplay': u'1/6/1995', u'DataDateJs': u'1995/01/06', u'DataDate': u'1995-01-06T00:00:00', u'DiscountData': -7.58}",MEN,MEN
52,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 10.95, u'DataDateDisplay': u'1/13/1995', u'DataDateJs': u'1995/01/13', u'DataDate': u'1995-01-13T00:00:00', u'DiscountData': -6.39}",MEN,MEN
53,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.13, u'NAVData': 10.97, u'DataDateDisplay': u'1/20/1995', u'DataDateJs': u'1995/01/20', u'DataDate': u'1995-01-20T00:00:00', u'DiscountData': -7.66}",MEN,MEN
54,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 11.09, u'DataDateDisplay': u'1/27/1995', u'DataDateJs': u'1995/01/27', u'DataDate': u'1995-01-27T00:00:00', u'DiscountData': -7.57}",MEN,MEN
55,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.36, u'DataDateDisplay': u'2/3/1995', u'DataDateJs': u'1995/02/03', u'DataDate': u'1995-02-03T00:00:00', u'DiscountData': -5.37}",MEN,MEN
56,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.43, u'DataDateDisplay': u'2/10/1995', u'DataDateJs': u'1995/02/10', u'DataDate': u'1995-02-10T00:00:00', u'DiscountData': -5.95}",MEN,MEN
57,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.44, u'DataDateDisplay': u'2/17/1995', u'DataDateJs': u'1995/02/17', u'DataDate': u'1995-02-17T00:00:00', u'DiscountData': -7.08}",MEN,MEN
58,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.55, u'DataDateDisplay': u'2/24/1995', u'DataDateJs': u'1995/02/24', u'DataDate': u'1995-02-24T00:00:00', u'DiscountData': -6.93}",MEN,MEN
59,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.56, u'DataDateDisplay': u'3/3/1995', u'DataDateJs': u'1995/03/03', u'DataDate': u'1995-03-03T00:00:00', u'DiscountData': -7.01}",MEN,MEN
60,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.5, u'DataDateDisplay': u'3/10/1995', u'DataDateJs': u'1995/03/10', u'DataDate': u'1995-03-10T00:00:00', u'DiscountData': -7.57}",MEN,MEN
61,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.65, u'DataDateDisplay': u'3/17/1995', u'DataDateJs': u'1995/03/17', u'DataDate': u'1995-03-17T00:00:00', u'DiscountData': -8.76}",MEN,MEN
62,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.56, u'DataDateDisplay': u'3/24/1995', u'DataDateJs': u'1995/03/24', u'DataDate': u'1995-03-24T00:00:00', u'DiscountData': -7.01}",MEN,MEN
63,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.58, u'DataDateDisplay': u'3/31/1995', u'DataDateJs': u'1995/03/31', u'DataDate': u'1995-03-31T00:00:00', u'DiscountData': -7.17}",MEN,MEN
64,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.73, u'DataDateDisplay': u'4/7/1995', u'DataDateJs': u'1995/04/07', u'DataDate': u'1995-04-07T00:00:00', u'DiscountData': -8.35}",MEN,MEN
65,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.82, u'DataDateDisplay': u'4/14/1995', u'DataDateJs': u'1995/04/14', u'DataDate': u'1995-04-14T00:00:00', u'DiscountData': -10.07}",MEN,MEN
66,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.88, u'NAVData': 11.76, u'DataDateDisplay': u'4/21/1995', u'DataDateJs': u'1995/04/21', u'DataDate': u'1995-04-21T00:00:00', u'DiscountData': -7.48}",MEN,MEN
67,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.49, u'DataDateDisplay': u'4/28/1995', u'DataDateJs': u'1995/04/28', u'DataDate': u'1995-04-28T00:00:00', u'DiscountData': -6.44}",MEN,MEN
68,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.7, u'DataDateDisplay': u'5/5/1995', u'DataDateJs': u'1995/05/05', u'DataDate': u'1995-05-05T00:00:00', u'DiscountData': -9.15}",MEN,MEN
69,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 11.81, u'DataDateDisplay': u'5/12/1995', u'DataDateJs': u'1995/05/12', u'DataDate': u'1995-05-12T00:00:00', u'DiscountData': -11.09}",MEN,MEN
70,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.84, u'DataDateDisplay': u'5/19/1995', u'DataDateJs': u'1995/05/19', u'DataDate': u'1995-05-19T00:00:00', u'DiscountData': -12.33}",MEN,MEN
71,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 12.0, u'DataDateDisplay': u'5/26/1995', u'DataDateJs': u'1995/05/26', u'DataDate': u'1995-05-26T00:00:00', u'DiscountData': -12.5}",MEN,MEN
72,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 12.19, u'DataDateDisplay': u'6/2/1995', u'DataDateJs': u'1995/06/02', u'DataDate': u'1995-06-02T00:00:00', u'DiscountData': -11.81}",MEN,MEN
73,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 12.03, u'DataDateDisplay': u'6/9/1995', u'DataDateJs': u'1995/06/09', u'DataDate': u'1995-06-09T00:00:00', u'DiscountData': -13.72}",MEN,MEN
74,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.78, u'DataDateDisplay': u'6/16/1995', u'DataDateJs': u'1995/06/16', u'DataDate': u'1995-06-16T00:00:00', u'DiscountData': -11.88}",MEN,MEN
75,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.44, u'NAVData': 11.96, u'DataDateDisplay': u'6/23/1995', u'DataDateJs': u'1995/06/23', u'DataDate': u'1995-06-23T00:00:00', u'DiscountData': -12.71}",MEN,MEN
76,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 11.65, u'DataDateDisplay': u'6/30/1995', u'DataDateJs': u'1995/06/30', u'DataDate': u'1995-06-30T00:00:00', u'DiscountData': -9.87}",MEN,MEN
77,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.9, u'DataDateDisplay': u'7/7/1995', u'DataDateJs': u'1995/07/07', u'DataDate': u'1995-07-07T00:00:00', u'DiscountData': -9.66}",MEN,MEN
78,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.69, u'NAVData': 11.96, u'DataDateDisplay': u'7/14/1995', u'DataDateJs': u'1995/07/14', u'DataDate': u'1995-07-14T00:00:00', u'DiscountData': -10.62}",MEN,MEN
79,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.59, u'DataDateDisplay': u'7/21/1995', u'DataDateJs': u'1995/07/21', u'DataDate': u'1995-07-21T00:00:00', u'DiscountData': -10.44}",MEN,MEN
80,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 11.66, u'DataDateDisplay': u'7/28/1995', u'DataDateJs': u'1995/07/28', u'DataDate': u'1995-07-28T00:00:00', u'DiscountData': -12.09}",MEN,MEN
81,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.6, u'DataDateDisplay': u'8/4/1995', u'DataDateJs': u'1995/08/04', u'DataDate': u'1995-08-04T00:00:00', u'DiscountData': -10.52}",MEN,MEN
82,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.38, u'NAVData': 11.52, u'DataDateDisplay': u'8/11/1995', u'DataDateJs': u'1995/08/11', u'DataDate': u'1995-08-11T00:00:00', u'DiscountData': -9.9}",MEN,MEN
83,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.25, u'NAVData': 11.54, u'DataDateDisplay': u'8/18/1995', u'DataDateJs': u'1995/08/18', u'DataDate': u'1995-08-18T00:00:00', u'DiscountData': -11.18}",MEN,MEN
84,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 11.62, u'DataDateDisplay': u'8/25/1995', u'DataDateJs': u'1995/08/25', u'DataDate': u'1995-08-25T00:00:00', u'DiscountData': -9.64}",MEN,MEN
85,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.83, u'DataDateDisplay': u'9/1/1995', u'DataDateJs': u'1995/09/01', u'DataDate': u'1995-09-01T00:00:00', u'DiscountData': -10.14}",MEN,MEN
86,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.63, u'NAVData': 11.88, u'DataDateDisplay': u'9/8/1995', u'DataDateJs': u'1995/09/08', u'DataDate': u'1995-09-08T00:00:00', u'DiscountData': -10.52}",MEN,MEN
87,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.75, u'NAVData': 11.99, u'DataDateDisplay': u'9/15/1995', u'DataDateJs': u'1995/09/15', u'DataDate': u'1995-09-15T00:00:00', u'DiscountData': -10.34}",MEN,MEN
88,09253Y100,2017-07-07T00:00:00,XMENX,BlackRock MuniEnhanced,All,"{u'Data': 10.5, u'NAVData': 11.7, u'DataDateDisplay': u'9/22/1995', u'DataDateJs': u'1995/09/22', u'DataDate': u'1995-09-22T00:00:00', u'DiscountData': -10.26}",MEN,MEN
