,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.058,8/1/2017,,0.058,MHN
1,,,6/1/2017,6/13/2017,0.058,7/3/2017,,0.058,MHN
2,,,5/1/2017,5/11/2017,0.058,6/1/2017,,0.058,MHN
3,,,4/3/2017,4/11/2017,0.058,5/1/2017,,0.058,MHN
4,,,3/1/2017,3/13/2017,0.058,4/3/2017,,0.058,MHN
5,,,2/1/2017,2/13/2017,0.058,3/1/2017,,0.058,MHN
6,,,1/3/2017,1/11/2017,0.058,2/1/2017,,0.058,MHN
7,,,12/1/2016,12/8/2016,0.058,12/30/2016,,0.058,MHN
8,,,12/1/2016,12/8/2016,0.00076,12/30/2016,S,0.00076,MHN
9,,,11/1/2016,11/10/2016,0.058,12/1/2016,,0.058,MHN
10,,,10/3/2016,10/12/2016,0.058,11/1/2016,,0.058,MHN
11,,,9/1/2016,9/13/2016,0.058,10/3/2016,,0.058,MHN
12,,,8/1/2016,8/11/2016,0.058,9/1/2016,,0.058,MHN
13,,,7/1/2016,7/13/2016,0.058,8/1/2016,,0.058,MHN
14,,,6/1/2016,6/13/2016,0.058,7/1/2016,,0.058,MHN
15,,,5/2/2016,5/12/2016,0.067,6/1/2016,,0.067,MHN
16,,,4/1/2016,4/13/2016,0.067,5/2/2016,,0.067,MHN
17,,,3/1/2016,3/11/2016,0.067,4/1/2016,,0.067,MHN
18,,,2/1/2016,2/11/2016,0.067,3/1/2016,,0.067,MHN
19,,,1/4/2016,1/13/2016,0.067,2/1/2016,,0.067,MHN
20,,,12/1/2015,12/10/2015,0.067,12/31/2015,,0.067,MHN
21,,,12/1/2015,12/10/2015,0.00069,12/31/2015,S,0.00069,MHN
22,,,11/2/2015,11/12/2015,0.067,12/1/2015,,0.067,MHN
23,,,10/1/2015,10/13/2015,0.067,11/2/2015,,0.067,MHN
24,,,9/1/2015,9/11/2015,0.067,10/1/2015,,0.067,MHN
25,,,8/3/2015,8/12/2015,0.067,9/1/2015,,0.067,MHN
26,,,7/1/2015,7/13/2015,0.067,8/3/2015,,0.067,MHN
27,,,6/1/2015,6/11/2015,0.069,7/1/2015,,0.069,MHN
28,,,5/1/2015,5/13/2015,0.069,6/1/2015,,0.069,MHN
29,,,4/1/2015,4/13/2015,0.069,5/1/2015,,0.069,MHN
30,,,3/2/2015,3/11/2015,0.069,4/1/2015,,0.069,MHN
31,,,2/2/2015,2/11/2015,0.069,3/2/2015,,0.069,MHN
32,,,1/2/2015,1/13/2015,0.069,2/2/2015,,0.069,MHN
33,,,12/1/2014,12/10/2014,0.069,12/31/2014,,0.069,MHN
34,,,11/3/2014,11/12/2014,0.069,12/1/2014,,0.069,MHN
35,,,10/1/2014,10/10/2014,0.069,11/3/2014,,0.069,MHN
36,,,9/2/2014,9/11/2014,0.069,10/1/2014,,0.069,MHN
37,,,8/1/2014,8/13/2014,0.069,9/2/2014,,0.069,MHN
38,,,7/1/2014,7/11/2014,0.069,8/1/2014,,0.069,MHN
39,,,6/2/2014,6/12/2014,0.071,7/1/2014,,0.071,MHN
40,,,5/1/2014,5/13/2014,0.071,6/2/2014,,0.071,MHN
41,,,4/1/2014,4/11/2014,0.071,5/1/2014,,0.071,MHN
42,,,3/3/2014,3/12/2014,0.071,4/1/2014,,0.071,MHN
43,,,2/3/2014,2/12/2014,0.071,3/3/2014,,0.071,MHN
44,,,1/2/2014,1/13/2014,0.071,2/3/2014,,0.071,MHN
45,,,12/2/2013,12/11/2013,0.07353,12/31/2013,,0.07353,MHN
46,,,11/1/2013,11/13/2013,0.0765,12/2/2013,,0.0765,MHN
47,,,10/1/2013,10/11/2013,0.0765,11/1/2013,,0.0765,MHN
48,,,9/3/2013,9/12/2013,0.0765,10/1/2013,,0.0765,MHN
49,,,8/1/2013,8/13/2013,0.0765,9/3/2013,,0.0765,MHN
50,,,7/1/2013,7/11/2013,0.0765,8/1/2013,,0.0765,MHN
51,,,6/3/2013,6/12/2013,0.0765,7/1/2013,,0.0765,MHN
52,,,5/1/2013,5/13/2013,0.0765,6/3/2013,,0.0765,MHN
53,,,4/1/2013,4/11/2013,0.0765,5/1/2013,,0.0765,MHN
54,,,3/1/2013,3/13/2013,0.0765,4/1/2013,,0.0765,MHN
55,,,2/1/2013,2/13/2013,0.0765,3/1/2013,,0.0765,MHN
56,,,1/2/2013,1/11/2013,0.0765,2/1/2013,,0.0765,MHN
57,,,12/4/2012,12/12/2012,0.006,12/31/2012,S,0.006,MHN
58,,,12/4/2012,12/12/2012,0.0765,12/31/2012,,0.0765,MHN
59,,,11/1/2012,11/13/2012,0.0765,12/3/2012,,0.0765,MHN
60,,,10/1/2012,10/11/2012,0.0765,11/1/2012,,0.0765,MHN
61,,,9/4/2012,9/12/2012,0.0795,10/1/2012,,0.0795,MHN
62,,,8/1/2012,8/13/2012,0.0795,9/4/2012,,0.0795,MHN
63,,,7/2/2012,7/12/2012,0.0795,8/1/2012,,0.0795,MHN
64,,,6/1/2012,6/13/2012,0.0795,7/2/2012,,0.0795,MHN
65,,,5/1/2012,5/11/2012,0.0795,6/1/2012,,0.0795,MHN
66,,,4/2/2012,4/12/2012,0.0795,5/1/2012,,0.0795,MHN
67,,,3/1/2012,3/13/2012,0.0795,4/2/2012,,0.0795,MHN
68,,,2/1/2012,2/13/2012,0.0795,3/1/2012,,0.0795,MHN
69,,,1/3/2012,1/11/2012,0.0795,2/1/2012,,0.0795,MHN
70,,,12/5/2011,12/13/2011,0.0795,12/30/2011,,0.0795,MHN
71,,,11/1/2011,11/10/2011,0.0795,12/1/2011,,0.0795,MHN
72,,,10/3/2011,10/12/2011,0.0795,11/1/2011,,0.0795,MHN
73,,,9/1/2011,9/13/2011,0.0795,10/3/2011,,0.0795,MHN
74,,,8/1/2011,8/11/2011,0.0795,9/1/2011,,0.0795,MHN
75,,,7/1/2011,7/13/2011,0.0795,8/1/2011,,0.0795,MHN
76,,,6/1/2011,6/13/2011,0.0795,7/1/2011,,0.0795,MHN
77,,,5/2/2011,5/12/2011,0.0795,6/1/2011,,0.0795,MHN
78,,,4/1/2011,4/13/2011,0.0795,5/2/2011,,0.0795,MHN
79,,,3/1/2011,3/11/2011,0.0795,4/1/2011,,0.0795,MHN
80,,,2/1/2011,2/11/2011,0.0795,3/1/2011,,0.0795,MHN
81,,,1/3/2011,1/12/2011,0.0795,2/1/2011,,0.0795,MHN
82,,,12/6/2010,12/13/2010,0.08302,12/31/2010,,0.08302,MHN
83,,,11/1/2010,11/10/2010,0.0795,12/1/2010,,0.0795,MHN
84,,,10/1/2010,10/13/2010,0.0795,11/1/2010,,0.0795,MHN
85,,,9/1/2010,9/13/2010,0.0795,10/1/2010,,0.0795,MHN
86,,,8/2/2010,8/12/2010,0.078,9/1/2010,,0.078,MHN
87,,,7/1/2010,7/13/2010,0.078,8/2/2010,,0.078,MHN
88,,,6/1/2010,6/11/2010,0.078,7/1/2010,,0.078,MHN
89,,,5/3/2010,5/12/2010,0.076,6/1/2010,,0.076,MHN
90,,,4/1/2010,4/13/2010,0.076,5/3/2010,,0.076,MHN
91,,,3/1/2010,3/11/2010,0.076,4/1/2010,,0.076,MHN
92,,,2/1/2010,2/10/2010,0.0685,3/1/2010,,0.0685,MHN
93,,,1/4/2010,1/13/2010,0.0685,2/1/2010,,0.0685,MHN
94,,,12/7/2009,12/11/2009,0.0685,12/31/2009,,0.0685,MHN
95,,,11/2/2009,11/10/2009,0.0685,12/1/2009,,0.0685,MHN
96,,,10/1/2009,10/13/2009,0.0685,11/2/2009,,0.0685,MHN
97,,,9/1/2009,9/11/2009,0.0685,10/1/2009,,0.0685,MHN
98,,,8/3/2009,8/12/2009,0.0655,9/1/2009,,0.0655,MHN
99,,,7/1/2009,7/13/2009,0.0655,8/3/2009,,0.0655,MHN
100,,,6/1/2009,6/11/2009,0.0655,7/1/2009,,0.0655,MHN
101,,,5/1/2009,5/13/2009,0.053,6/1/2009,,0.053,MHN
102,,,4/1/2009,4/13/2009,0.053,5/1/2009,,0.053,MHN
103,,,3/2/2009,3/12/2009,,4/1/2009,,0.053,MHN
104,,,2/2/2009,2/11/2009,0.053,3/2/2009,,0.053,MHN
105,,,1/2/2009,1/13/2009,0.053,2/2/2009,,0.053,MHN
106,,,12/5/2008,12/11/2008,0.053,12/31/2008,,0.053,MHN
107,,,12/5/2008,12/11/2008,0.00208,12/31/2008,S,0.00208,MHN
108,,,11/3/2008,11/12/2008,0.053,12/1/2008,,0.053,MHN
109,,,10/1/2008,10/10/2008,0.053,11/3/2008,,0.053,MHN
110,,,9/2/2008,9/11/2008,,10/1/2008,,0.053,MHN
111,,,8/1/2008,8/13/2008,,9/2/2008,,0.053,MHN
112,,,7/1/2008,7/11/2008,,8/1/2008,,0.053,MHN
113,,,6/2/2008,6/12/2008,,7/1/2008,,0.053,MHN
114,,,5/1/2008,5/13/2008,,6/2/2008,,0.0545,MHN
115,,,4/1/2008,4/11/2008,,5/1/2008,,0.0545,MHN
116,,,3/3/2008,3/12/2008,,4/1/2008,,0.0545,MHN
117,,,2/1/2008,2/13/2008,,3/3/2008,,0.0545,MHN
118,,,1/2/2008,1/17/2008,,2/1/2008,,0.0545,MHN
119,,,12/5/2007,12/12/2007,,12/31/2007,,0.0545,MHN
120,,,11/1/2007,11/13/2007,,12/3/2007,,0.057,MHN
121,,,10/1/2007,10/11/2007,,11/1/2007,,0.057,MHN
122,,,9/4/2007,9/12/2007,,10/1/2007,,0.057,MHN
123,,,8/1/2007,8/13/2007,,9/4/2007,,0.057,MHN
124,,,7/2/2007,7/12/2007,,8/1/2007,,0.057,MHN
125,,,6/1/2007,6/13/2007,,7/2/2007,,0.057,MHN
126,,,5/1/2007,5/11/2007,,6/1/2007,,0.057,MHN
127,,,4/2/2007,4/12/2007,,5/1/2007,,0.057,MHN
128,,,3/1/2007,3/13/2007,,4/2/2007,,0.057,MHN
129,,,2/1/2007,2/13/2007,,3/1/2007,,0.057,MHN
130,,,1/3/2007,1/11/2007,,2/1/2007,,0.057,MHN
131,,,12/5/2006,12/13/2006,,12/28/2006,,0.057,MHN
132,,,11/2/2006,11/10/2006,,11/29/2006,,0.061,MHN
133,,,10/3/2006,10/12/2006,,10/30/2006,,0.061,MHN
134,,,9/5/2006,9/13/2006,,9/28/2006,,0.061,MHN
135,,,8/3/2006,8/10/2006,,8/30/2006,,0.061,MHN
136,,,7/5/2006,7/13/2006,,7/28/2006,,0.061,MHN
137,,,6/2/2006,6/9/2006,,6/29/2006,,0.061,MHN
138,,,5/5/2006,5/11/2006,,5/30/2006,,0.069,MHN
139,,,4/5/2006,4/12/2006,,4/27/2006,,0.069,MHN
140,,,3/3/2006,3/10/2006,,3/30/2006,,0.069,MHN
141,,,2/3/2006,2/10/2006,,2/27/2006,,0.069,MHN
142,,,12/23/2005,1/13/2006,,1/30/2006,,0.069,MHN
143,,,12/6/2005,12/13/2005,,12/29/2005,,0.079,MHN
144,,,11/4/2005,11/10/2005,,11/29/2005,,0.079,MHN
145,,,10/6/2005,10/13/2005,,10/28/2005,,0.079,MHN
146,,,9/2/2005,9/12/2005,,9/29/2005,,0.079,MHN
147,,,8/5/2005,8/11/2005,,8/30/2005,,0.079,MHN
148,,,7/5/2005,7/12/2005,,7/28/2005,,0.079,MHN
149,,,6/6/2005,6/10/2005,,6/29/2005,,0.079,MHN
150,,,5/5/2005,5/11/2005,,5/27/2005,,0.079,MHN
151,,,4/7/2005,4/13/2005,,4/28/2005,,0.079,MHN
152,,,3/7/2005,3/11/2005,,3/30/2005,,0.079,MHN
153,,,2/7/2005,2/11/2005,,2/25/2005,,0.079,MHN
154,,,1/7/2005,1/14/2005,,1/28/2005,,0.079,MHN
155,,,12/7/2004,12/13/2004,,12/29/2004,,0.079,MHN
156,,,11/4/2004,11/9/2004,,11/29/2004,,0.079,MHN
157,,,10/6/2004,10/13/2004,,10/28/2004,,0.079,MHN
158,,,9/3/2004,9/10/2004,,9/29/2004,,0.079,MHN
159,,,8/5/2004,8/12/2004,,8/30/2004,,0.079,MHN
160,,,7/7/2004,7/13/2004,,7/29/2004,,0.079,MHN
161,,,6/3/2004,6/10/2004,,6/29/2004,,0.079,MHN
162,,,5/5/2004,5/12/2004,,5/27/2004,,0.079,MHN
163,,,4/6/2004,4/14/2004,,4/29/2004,,0.079,MHN
164,,,3/5/2004,3/11/2004,,3/30/2004,,0.079,MHN
165,,,1/22/2004,2/11/2004,,2/26/2004,,0.079,MHN
166,,,1/7/2004,1/14/2004,,1/29/2004,,0.076,MHN
167,,,12/8/2003,12/15/2003,,12/30/2003,,0.076,MHN
168,,,11/10/2003,11/12/2003,,11/26/2003,,0.076,MHN
169,,,10/9/2003,10/15/2003,,10/30/2003,,0.076,MHN
170,,,9/5/2003,9/12/2003,,9/29/2003,,0.076,MHN
171,,,8/8/2003,8/13/2003,,8/28/2003,,0.076,MHN
172,,,7/9/2003,7/15/2003,,7/30/2003,,0.076,MHN
173,,,6/5/2003,6/12/2003,,6/27/2003,,0.076,MHN
174,,,5/6/2003,5/14/2003,,5/29/2003,,0.076,MHN
175,,,4/9/2003,4/14/2003,,4/29/2003,,0.076,MHN
176,,,3/6/2003,3/13/2003,,3/28/2003,,0.076,MHN
177,,,2/6/2003,2/12/2003,,2/27/2003,,0.076,MHN
178,,,1/7/2003,1/14/2003,,1/30/2003,,0.073,MHN
179,,,12/3/2002,12/11/2002,,12/30/2002,,0.073,MHN
180,,,11/7/2002,11/12/2002,,11/27/2002,,0.073,MHN
181,,,10/8/2002,10/16/2002,,10/30/2002,,0.073,MHN
182,,,9/5/2002,9/13/2002,,9/27/2002,,0.073,MHN
183,,,8/8/2002,8/15/2002,,8/29/2002,,0.073,MHN
