,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0445,8/1/2017,,0.0445,MNE
1,,,6/1/2017,6/13/2017,0.0498,7/3/2017,,0.0498,MNE
2,,,5/1/2017,5/11/2017,0.0498,6/1/2017,,0.0498,MNE
3,,,4/3/2017,4/11/2017,0.0498,5/1/2017,,0.0498,MNE
4,,,3/1/2017,3/13/2017,0.0498,4/3/2017,,0.0498,MNE
5,,,2/1/2017,2/13/2017,0.0498,3/1/2017,,0.0498,MNE
6,,,1/3/2017,1/11/2017,0.0498,2/1/2017,,0.0498,MNE
7,,,12/1/2016,12/8/2016,0.0498,12/30/2016,,0.0498,MNE
8,0.05201,,12/1/2016,12/8/2016,0.00298,12/30/2016,S,0.05691,MNE
9,,,11/1/2016,11/10/2016,0.0498,12/1/2016,,0.0498,MNE
10,,,10/3/2016,10/12/2016,0.0498,11/1/2016,,0.0498,MNE
11,,,9/1/2016,9/13/2016,0.0498,10/3/2016,,0.0498,MNE
12,,,8/1/2016,8/11/2016,0.0498,9/1/2016,,0.0498,MNE
13,,,7/1/2016,7/13/2016,0.0498,8/1/2016,,0.0498,MNE
14,,,6/1/2016,6/13/2016,0.0498,7/1/2016,,0.0498,MNE
15,,,5/2/2016,5/12/2016,0.0533,6/1/2016,,0.0533,MNE
16,,,4/1/2016,4/13/2016,0.0533,5/2/2016,,0.0533,MNE
17,,,3/1/2016,3/11/2016,0.0533,4/1/2016,,0.0533,MNE
18,,,2/1/2016,2/11/2016,0.0575,3/1/2016,,0.0575,MNE
19,,,1/4/2016,1/13/2016,0.0575,2/1/2016,,0.0575,MNE
20,,,12/1/2015,12/10/2015,0.0575,12/31/2015,,0.0575,MNE
21,,,11/2/2015,11/12/2015,0.0575,12/1/2015,,0.0575,MNE
22,,,10/1/2015,10/13/2015,0.0575,11/2/2015,,0.0575,MNE
23,,,9/1/2015,9/11/2015,0.0575,10/1/2015,,0.0575,MNE
24,,,8/3/2015,8/12/2015,0.0575,9/1/2015,,0.0575,MNE
25,,,7/1/2015,7/13/2015,0.0575,8/3/2015,,0.0575,MNE
26,,,6/1/2015,6/11/2015,0.0575,7/1/2015,,0.0575,MNE
27,,,5/1/2015,5/13/2015,0.0575,6/1/2015,,0.0575,MNE
28,,,4/1/2015,4/13/2015,0.0575,5/1/2015,,0.0575,MNE
29,,,3/2/2015,3/11/2015,0.0575,4/1/2015,,0.0575,MNE
30,,,2/2/2015,2/11/2015,0.0575,3/2/2015,,0.0575,MNE
31,,,1/2/2015,1/13/2015,0.0575,2/2/2015,,0.0575,MNE
32,,,12/1/2014,12/10/2014,0.0575,12/31/2014,,0.0575,MNE
33,,,11/3/2014,11/12/2014,0.0575,12/1/2014,,0.0575,MNE
34,,,10/1/2014,10/10/2014,0.0575,11/3/2014,,0.0575,MNE
35,,,9/2/2014,9/11/2014,0.0575,10/1/2014,,0.0575,MNE
36,,,8/1/2014,8/13/2014,0.0575,9/2/2014,,0.0575,MNE
37,,,7/1/2014,7/11/2014,0.0575,8/1/2014,,0.0575,MNE
38,,,6/2/2014,6/12/2014,0.061,7/1/2014,,0.061,MNE
39,,,5/1/2014,5/13/2014,0.061,6/2/2014,,0.061,MNE
40,,,4/1/2014,4/11/2014,0.061,5/1/2014,,0.061,MNE
41,,,3/3/2014,3/12/2014,0.061,4/1/2014,,0.061,MNE
42,,,2/3/2014,2/12/2014,0.061,3/3/2014,,0.061,MNE
43,,,1/2/2014,1/13/2014,0.061,2/3/2014,,0.061,MNE
44,,,12/2/2013,12/11/2013,0.061,12/31/2013,,0.061,MNE
45,,,11/1/2013,11/13/2013,0.0625,12/2/2013,,0.0625,MNE
46,,,10/1/2013,10/11/2013,0.0625,11/1/2013,,0.0625,MNE
47,,,9/3/2013,9/12/2013,0.0625,10/1/2013,,0.0625,MNE
48,,,8/1/2013,8/13/2013,0.0625,9/3/2013,,0.0625,MNE
49,,,7/1/2013,7/11/2013,0.0625,8/1/2013,,0.0625,MNE
50,,,6/3/2013,6/12/2013,0.0625,7/1/2013,,0.0625,MNE
51,,,5/1/2013,5/13/2013,0.0625,6/3/2013,,0.0625,MNE
52,,,4/1/2013,4/11/2013,0.0625,5/1/2013,,0.0625,MNE
53,,,3/1/2013,3/13/2013,0.0625,4/1/2013,,0.0625,MNE
54,,,2/1/2013,2/13/2013,0.0625,3/1/2013,,0.0625,MNE
55,,,1/2/2013,1/11/2013,0.0625,2/1/2013,,0.0625,MNE
56,,,12/4/2012,12/12/2012,0.0625,12/31/2012,,0.0625,MNE
57,,,11/1/2012,11/13/2012,0.0625,12/3/2012,,0.0625,MNE
58,,,10/1/2012,10/11/2012,0.0625,11/1/2012,,0.0625,MNE
59,,,9/4/2012,9/12/2012,0.0625,10/1/2012,,0.0625,MNE
60,,,8/1/2012,8/13/2012,0.0625,9/4/2012,,0.0625,MNE
61,,,7/2/2012,7/12/2012,0.0625,8/1/2012,,0.0625,MNE
62,,,6/1/2012,6/13/2012,0.0625,7/2/2012,,0.0625,MNE
63,,,5/1/2012,5/11/2012,0.0625,6/1/2012,,0.0625,MNE
64,,,4/2/2012,4/12/2012,0.0625,5/1/2012,,0.0625,MNE
65,,,3/1/2012,3/13/2012,0.0625,4/2/2012,,0.0625,MNE
66,,,2/1/2012,2/13/2012,0.061,3/1/2012,,0.061,MNE
67,,,1/3/2012,1/11/2012,0.061,2/1/2012,,0.061,MNE
68,,,12/5/2011,12/13/2011,0.061,12/30/2011,,0.061,MNE
69,,,11/1/2011,11/10/2011,0.061,12/1/2011,,0.061,MNE
70,,,10/3/2011,10/12/2011,0.061,11/1/2011,,0.061,MNE
71,,,9/1/2011,9/13/2011,0.061,10/3/2011,,0.061,MNE
72,,,8/1/2011,8/11/2011,0.061,9/1/2011,,0.061,MNE
73,,,7/1/2011,7/13/2011,0.061,8/1/2011,,0.061,MNE
74,,,6/1/2011,6/13/2011,0.061,7/1/2011,,0.061,MNE
75,,,5/2/2011,5/12/2011,0.061,6/1/2011,,0.061,MNE
76,,,4/1/2011,4/13/2011,0.061,5/2/2011,,0.061,MNE
77,,,3/1/2011,3/11/2011,0.061,4/1/2011,,0.061,MNE
78,,,2/1/2011,2/11/2011,0.061,3/1/2011,,0.061,MNE
79,,,1/3/2011,1/12/2011,0.061,2/1/2011,,0.061,MNE
80,,,12/6/2010,12/13/2010,0.061,12/31/2010,,0.061,MNE
81,,,11/1/2010,11/10/2010,0.061,12/1/2010,,0.061,MNE
82,,,10/1/2010,10/13/2010,0.061,11/1/2010,,0.061,MNE
83,,,9/1/2010,9/13/2010,0.061,10/1/2010,,0.061,MNE
84,,,8/2/2010,8/12/2010,0.058,9/1/2010,,0.058,MNE
85,,,7/1/2010,7/13/2010,0.058,8/2/2010,,0.058,MNE
86,,,6/1/2010,6/11/2010,0.058,7/1/2010,,0.058,MNE
87,,,5/3/2010,5/12/2010,0.0555,6/1/2010,,0.0555,MNE
88,,,4/1/2010,4/13/2010,0.0555,5/3/2010,,0.0555,MNE
89,,,3/1/2010,3/11/2010,0.0555,4/1/2010,,0.0555,MNE
90,,,2/1/2010,2/10/2010,0.0555,3/1/2010,,0.0555,MNE
91,,,1/4/2010,1/13/2010,0.0555,2/1/2010,,0.0555,MNE
92,,,12/7/2009,12/11/2009,0.0555,12/31/2009,,0.0555,MNE
93,,,11/2/2009,11/10/2009,0.0555,12/1/2009,,0.0555,MNE
94,,,10/1/2009,10/13/2009,0.0555,11/2/2009,,0.0555,MNE
95,,,9/1/2009,9/11/2009,0.0555,10/1/2009,,0.0555,MNE
96,,,8/3/2009,8/12/2009,0.0555,9/1/2009,,0.0555,MNE
97,,,7/1/2009,7/13/2009,0.0555,8/3/2009,,0.0555,MNE
98,,,6/1/2009,6/11/2009,0.0555,7/1/2009,,0.0555,MNE
99,,,5/1/2009,5/13/2009,0.053,6/1/2009,,0.053,MNE
100,,,4/1/2009,4/13/2009,0.053,5/1/2009,,0.053,MNE
101,,,3/2/2009,3/12/2009,,4/1/2009,,0.053,MNE
102,,,2/2/2009,2/11/2009,0.053,3/2/2009,,0.053,MNE
103,,,1/2/2009,1/13/2009,0.053,2/2/2009,,0.053,MNE
104,,,12/5/2008,12/11/2008,0.053,12/31/2008,,0.053,MNE
105,,,11/3/2008,11/12/2008,0.053,12/1/2008,,0.053,MNE
106,,,10/1/2008,10/10/2008,0.053,11/3/2008,,0.053,MNE
107,,,9/2/2008,9/11/2008,,10/1/2008,,0.053,MNE
108,,,8/1/2008,8/13/2008,,9/2/2008,,0.053,MNE
