,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.2, u'NAVData': 13.15, u'DataDateDisplay': u'3/24/2017', u'DataDateJs': u'2017/03/24', u'DataDate': u'2017-03-24T00:00:00', u'DiscountData': 7.98}",MPV,MPV
1,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.1, u'NAVData': 13.15, u'DataDateDisplay': u'3/31/2017', u'DataDateJs': u'2017/03/31', u'DataDate': u'2017-03-31T00:00:00', u'DiscountData': 7.22}",MPV,MPV
2,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.1951, u'NAVData': 13.15, u'DataDateDisplay': u'4/7/2017', u'DataDateJs': u'2017/04/07', u'DataDate': u'2017-04-07T00:00:00', u'DiscountData': 7.95}",MPV,MPV
3,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.3443, u'NAVData': 13.15, u'DataDateDisplay': u'4/21/2017', u'DataDateJs': u'2017/04/21', u'DataDate': u'2017-04-21T00:00:00', u'DiscountData': 9.08}",MPV,MPV
4,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.27, u'NAVData': 13.15, u'DataDateDisplay': u'4/28/2017', u'DataDateJs': u'2017/04/28', u'DataDate': u'2017-04-28T00:00:00', u'DiscountData': 8.52}",MPV,MPV
5,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.08, u'NAVData': 13.56, u'DataDateDisplay': u'5/5/2017', u'DataDateJs': u'2017/05/05', u'DataDate': u'2017-05-05T00:00:00', u'DiscountData': 3.83}",MPV,MPV
6,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.7, u'NAVData': 13.56, u'DataDateDisplay': u'5/12/2017', u'DataDateJs': u'2017/05/12', u'DataDate': u'2017-05-12T00:00:00', u'DiscountData': 8.41}",MPV,MPV
7,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.929, u'NAVData': 13.56, u'DataDateDisplay': u'5/19/2017', u'DataDateJs': u'2017/05/19', u'DataDate': u'2017-05-19T00:00:00', u'DiscountData': 10.1}",MPV,MPV
8,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.34, u'NAVData': 13.56, u'DataDateDisplay': u'5/26/2017', u'DataDateJs': u'2017/05/26', u'DataDate': u'2017-05-26T00:00:00', u'DiscountData': 5.75}",MPV,MPV
9,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.04, u'NAVData': 13.56, u'DataDateDisplay': u'6/2/2017', u'DataDateJs': u'2017/06/02', u'DataDate': u'2017-06-02T00:00:00', u'DiscountData': 3.54}",MPV,MPV
10,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 13.92, u'NAVData': 13.56, u'DataDateDisplay': u'6/9/2017', u'DataDateJs': u'2017/06/09', u'DataDate': u'2017-06-09T00:00:00', u'DiscountData': 2.65}",MPV,MPV
11,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.06, u'NAVData': 13.56, u'DataDateDisplay': u'6/16/2017', u'DataDateJs': u'2017/06/16', u'DataDate': u'2017-06-16T00:00:00', u'DiscountData': 3.69}",MPV,MPV
12,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.19, u'NAVData': 13.56, u'DataDateDisplay': u'6/23/2017', u'DataDateJs': u'2017/06/23', u'DataDate': u'2017-06-23T00:00:00', u'DiscountData': 4.65}",MPV,MPV
13,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 13.95, u'NAVData': 13.56, u'DataDateDisplay': u'6/30/2017', u'DataDateJs': u'2017/06/30', u'DataDate': u'2017-06-30T00:00:00', u'DiscountData': 2.88}",MPV,MPV
14,06761A103,2017-07-07T00:00:00,XMPVX,Barings Participation Invs,All,"{u'Data': 14.09, u'NAVData': 13.56, u'DataDateDisplay': u'7/7/2017', u'DataDateJs': u'2017/07/07', u'DataDate': u'2017-07-07T00:00:00', u'DiscountData': 3.91}",MPV,MPV
