,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.073,8/1/2017,,0.073,MVT
1,,,6/1/2017,6/13/2017,0.073,7/3/2017,,0.073,MVT
2,,,5/1/2017,5/11/2017,0.073,6/1/2017,,0.073,MVT
3,,,4/3/2017,4/11/2017,0.073,5/1/2017,,0.073,MVT
4,,,3/1/2017,3/13/2017,0.073,4/3/2017,,0.073,MVT
5,,,2/1/2017,2/13/2017,0.079,3/1/2017,,0.079,MVT
6,,,1/3/2017,1/11/2017,0.079,2/1/2017,,0.079,MVT
7,,,12/1/2016,12/8/2016,0.079,12/30/2016,,0.079,MVT
8,,,12/1/2016,12/8/2016,0.00168,12/30/2016,S,0.00168,MVT
9,,,11/1/2016,11/10/2016,0.079,12/1/2016,,0.079,MVT
10,,,10/3/2016,10/12/2016,0.079,11/1/2016,,0.079,MVT
11,,,9/1/2016,9/13/2016,0.079,10/3/2016,,0.079,MVT
12,,,8/1/2016,8/11/2016,0.079,9/1/2016,,0.079,MVT
