,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.88, u'NAVData': 15.15, u'DataDateDisplay': u'7/22/1994', u'DataDateJs': u'1994/07/22', u'DataDate': u'1994-07-22T00:00:00', u'DiscountData': -21.58}",MVT,MVT
1,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 12.25, u'NAVData': 15.15, u'DataDateDisplay': u'7/29/1994', u'DataDateJs': u'1994/07/29', u'DataDate': u'1994-07-29T00:00:00', u'DiscountData': -19.14}",MVT,MVT
2,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.88, u'NAVData': 15.15, u'DataDateDisplay': u'8/5/1994', u'DataDateJs': u'1994/08/05', u'DataDate': u'1994-08-05T00:00:00', u'DiscountData': -21.58}",MVT,MVT
3,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.75, u'NAVData': 15.15, u'DataDateDisplay': u'8/12/1994', u'DataDateJs': u'1994/08/12', u'DataDate': u'1994-08-12T00:00:00', u'DiscountData': -22.44}",MVT,MVT
4,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 15.15, u'DataDateDisplay': u'8/19/1994', u'DataDateJs': u'1994/08/19', u'DataDate': u'1994-08-19T00:00:00', u'DiscountData': -24.09}",MVT,MVT
5,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 15.15, u'DataDateDisplay': u'8/26/1994', u'DataDateJs': u'1994/08/26', u'DataDate': u'1994-08-26T00:00:00', u'DiscountData': -24.09}",MVT,MVT
6,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.63, u'NAVData': 15.15, u'DataDateDisplay': u'9/9/1994', u'DataDateJs': u'1994/09/09', u'DataDate': u'1994-09-09T00:00:00', u'DiscountData': -23.23}",MVT,MVT
7,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 9.75, u'NAVData': 12.1, u'DataDateDisplay': u'11/4/1994', u'DataDateJs': u'1994/11/04', u'DataDate': u'1994-11-04T00:00:00', u'DiscountData': -19.42}",MVT,MVT
8,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.38, u'NAVData': 11.55, u'DataDateDisplay': u'11/18/1994', u'DataDateJs': u'1994/11/18', u'DataDate': u'1994-11-18T00:00:00', u'DiscountData': -10.13}",MVT,MVT
9,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.75, u'NAVData': 11.64, u'DataDateDisplay': u'11/25/1994', u'DataDateJs': u'1994/11/25', u'DataDate': u'1994-11-25T00:00:00', u'DiscountData': -7.65}",MVT,MVT
10,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.75, u'NAVData': 12.12, u'DataDateDisplay': u'12/2/1994', u'DataDateJs': u'1994/12/02', u'DataDate': u'1994-12-02T00:00:00', u'DiscountData': -11.3}",MVT,MVT
11,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.88, u'NAVData': 12.11, u'DataDateDisplay': u'12/9/1994', u'DataDateJs': u'1994/12/09', u'DataDate': u'1994-12-09T00:00:00', u'DiscountData': -10.16}",MVT,MVT
12,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.5, u'NAVData': 12.17, u'DataDateDisplay': u'12/16/1994', u'DataDateJs': u'1994/12/16', u'DataDate': u'1994-12-16T00:00:00', u'DiscountData': -13.72}",MVT,MVT
13,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.63, u'NAVData': 11.67, u'DataDateDisplay': u'12/23/1994', u'DataDateJs': u'1994/12/23', u'DataDate': u'1994-12-23T00:00:00', u'DiscountData': -8.91}",MVT,MVT
14,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.25, u'NAVData': 12.29, u'DataDateDisplay': u'12/30/1994', u'DataDateJs': u'1994/12/30', u'DataDate': u'1994-12-30T00:00:00', u'DiscountData': -16.6}",MVT,MVT
15,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.88, u'NAVData': 12.36, u'DataDateDisplay': u'1/6/1995', u'DataDateJs': u'1995/01/06', u'DataDate': u'1995-01-06T00:00:00', u'DiscountData': -11.97}",MVT,MVT
16,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.88, u'NAVData': 12.53, u'DataDateDisplay': u'1/13/1995', u'DataDateJs': u'1995/01/13', u'DataDate': u'1995-01-13T00:00:00', u'DiscountData': -13.17}",MVT,MVT
17,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 10.88, u'NAVData': 12.57, u'DataDateDisplay': u'1/20/1995', u'DataDateJs': u'1995/01/20', u'DataDate': u'1995-01-20T00:00:00', u'DiscountData': -13.44}",MVT,MVT
18,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.13, u'NAVData': 12.75, u'DataDateDisplay': u'1/27/1995', u'DataDateJs': u'1995/01/27', u'DataDate': u'1995-01-27T00:00:00', u'DiscountData': -12.71}",MVT,MVT
19,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 13.08, u'DataDateDisplay': u'2/3/1995', u'DataDateJs': u'1995/02/03', u'DataDate': u'1995-02-03T00:00:00', u'DiscountData': -12.08}",MVT,MVT
20,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.63, u'NAVData': 13.19, u'DataDateDisplay': u'2/10/1995', u'DataDateJs': u'1995/02/10', u'DataDate': u'1995-02-10T00:00:00', u'DiscountData': -11.83}",MVT,MVT
21,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 13.36, u'DataDateDisplay': u'2/24/1995', u'DataDateJs': u'1995/02/24', u'DataDate': u'1995-02-24T00:00:00', u'DiscountData': -13.92}",MVT,MVT
22,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.63, u'NAVData': 13.38, u'DataDateDisplay': u'3/3/1995', u'DataDateJs': u'1995/03/03', u'DataDate': u'1995-03-03T00:00:00', u'DiscountData': -13.08}",MVT,MVT
23,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 13.37, u'DataDateDisplay': u'3/10/1995', u'DataDateJs': u'1995/03/10', u'DataDate': u'1995-03-10T00:00:00', u'DiscountData': -13.99}",MVT,MVT
24,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.88, u'NAVData': 13.48, u'DataDateDisplay': u'3/17/1995', u'DataDateJs': u'1995/03/17', u'DataDate': u'1995-03-17T00:00:00', u'DiscountData': -11.87}",MVT,MVT
25,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.63, u'NAVData': 13.43, u'DataDateDisplay': u'3/24/1995', u'DataDateJs': u'1995/03/24', u'DataDate': u'1995-03-24T00:00:00', u'DiscountData': -13.4}",MVT,MVT
26,09253T101,2017-07-07T00:00:00,XMVTX,BlackRock MuniVest Fund II,All,"{u'Data': 11.5, u'NAVData': 13.46, u'DataDateDisplay': u'3/31/1995', u'DataDateJs': u'1995/03/31', u'DataDate': u'1995-03-31T00:00:00', u'DiscountData': -14.56}",MVT,MVT
