,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.054,8/1/2017,,0.054,MYN
1,,,6/1/2017,6/13/2017,0.054,7/3/2017,,0.054,MYN
2,,,5/1/2017,5/11/2017,0.054,6/1/2017,,0.054,MYN
3,,,4/3/2017,4/11/2017,0.054,5/1/2017,,0.054,MYN
4,,,3/1/2017,3/13/2017,0.054,4/3/2017,,0.054,MYN
5,,,2/1/2017,2/13/2017,0.054,3/1/2017,,0.054,MYN
6,,,1/3/2017,1/11/2017,0.054,2/1/2017,,0.054,MYN
7,,,12/1/2016,12/8/2016,0.054,12/30/2016,,0.054,MYN
8,,,12/1/2016,12/8/2016,0.00194,12/30/2016,S,0.00194,MYN
9,,,11/1/2016,11/10/2016,0.054,12/1/2016,,0.054,MYN
10,,,10/3/2016,10/12/2016,0.054,11/1/2016,,0.054,MYN
11,,,9/1/2016,9/13/2016,0.054,10/3/2016,,0.054,MYN
12,,,8/1/2016,8/11/2016,0.054,9/1/2016,,0.054,MYN
13,,,7/1/2016,7/13/2016,0.054,8/1/2016,,0.054,MYN
14,,,6/1/2016,6/13/2016,0.054,7/1/2016,,0.054,MYN
15,,,5/2/2016,5/12/2016,0.062,6/1/2016,,0.062,MYN
16,,,4/1/2016,4/13/2016,0.062,5/2/2016,,0.062,MYN
17,,,3/1/2016,3/11/2016,0.062,4/1/2016,,0.062,MYN
18,,,2/1/2016,2/11/2016,0.062,3/1/2016,,0.062,MYN
19,,,1/4/2016,1/13/2016,0.062,2/1/2016,,0.062,MYN
20,,,12/1/2015,12/10/2015,0.062,12/31/2015,,0.062,MYN
21,,,12/1/2015,12/10/2015,0.00105,12/31/2015,S,0.00105,MYN
22,,,11/2/2015,11/12/2015,0.062,12/1/2015,,0.062,MYN
23,,,10/1/2015,10/13/2015,0.062,11/2/2015,,0.062,MYN
24,,,9/1/2015,9/11/2015,0.062,10/1/2015,,0.062,MYN
25,,,8/3/2015,8/12/2015,0.062,9/1/2015,,0.062,MYN
26,,,7/1/2015,7/13/2015,0.062,8/3/2015,,0.062,MYN
27,,,6/1/2015,6/11/2015,0.0645,7/1/2015,,0.0645,MYN
28,,,5/1/2015,5/13/2015,0.0645,6/1/2015,,0.0645,MYN
29,,,4/1/2015,4/13/2015,0.0645,5/1/2015,,0.0645,MYN
30,,,3/2/2015,3/11/2015,0.0645,4/1/2015,,0.0645,MYN
31,,,2/2/2015,2/11/2015,0.0645,3/2/2015,,0.0645,MYN
32,,,1/2/2015,1/13/2015,0.0645,2/2/2015,,0.0645,MYN
33,,,12/1/2014,12/10/2014,0.0645,12/31/2014,,0.0645,MYN
34,,,11/3/2014,11/12/2014,0.0645,12/1/2014,,0.0645,MYN
35,,,10/1/2014,10/10/2014,0.0645,11/3/2014,,0.0645,MYN
36,,,9/2/2014,9/11/2014,0.0645,10/1/2014,,0.0645,MYN
37,,,8/1/2014,8/13/2014,0.0645,9/2/2014,,0.0645,MYN
38,,,7/1/2014,7/11/2014,0.0645,8/1/2014,,0.0645,MYN
39,,,6/2/2014,6/12/2014,0.068,7/1/2014,,0.068,MYN
40,,,5/1/2014,5/13/2014,0.068,6/2/2014,,0.068,MYN
41,,,4/1/2014,4/11/2014,0.068,5/1/2014,,0.068,MYN
42,,,3/3/2014,3/12/2014,0.068,4/1/2014,,0.068,MYN
43,,,2/3/2014,2/12/2014,0.068,3/3/2014,,0.068,MYN
44,,,1/2/2014,1/13/2014,0.068,2/3/2014,,0.068,MYN
45,,,12/2/2013,12/11/2013,0.07002,12/31/2013,,0.07002,MYN
46,,,11/1/2013,11/13/2013,0.071,12/2/2013,,0.071,MYN
47,,,10/1/2013,10/11/2013,0.071,11/1/2013,,0.071,MYN
48,,,9/3/2013,9/12/2013,0.071,10/1/2013,,0.071,MYN
49,,,8/1/2013,8/13/2013,0.071,9/3/2013,,0.071,MYN
50,,,7/1/2013,7/11/2013,0.071,8/1/2013,,0.071,MYN
51,,,6/3/2013,6/12/2013,0.071,7/1/2013,,0.071,MYN
52,,,5/1/2013,5/13/2013,0.071,6/3/2013,,0.071,MYN
53,,,4/1/2013,4/11/2013,0.071,5/1/2013,,0.071,MYN
54,,,3/1/2013,3/13/2013,0.071,4/1/2013,,0.071,MYN
55,,,2/1/2013,2/13/2013,0.071,3/1/2013,,0.071,MYN
56,,,1/2/2013,1/11/2013,0.071,2/1/2013,,0.071,MYN
57,,,12/4/2012,12/12/2012,0.071,12/31/2012,,0.071,MYN
58,,,11/1/2012,11/13/2012,0.071,12/3/2012,,0.071,MYN
59,,,10/1/2012,10/11/2012,0.071,11/1/2012,,0.071,MYN
60,,,9/4/2012,9/12/2012,0.071,10/1/2012,,0.071,MYN
61,,,8/1/2012,8/13/2012,0.071,9/4/2012,,0.071,MYN
62,,,7/2/2012,7/12/2012,0.071,8/1/2012,,0.071,MYN
63,,,6/1/2012,6/13/2012,0.071,7/2/2012,,0.071,MYN
64,,,5/1/2012,5/11/2012,0.071,6/1/2012,,0.071,MYN
65,,,4/2/2012,4/12/2012,0.071,5/1/2012,,0.071,MYN
66,,,3/1/2012,3/13/2012,0.071,4/2/2012,,0.071,MYN
67,,,2/1/2012,2/13/2012,0.071,3/1/2012,,0.071,MYN
68,,,1/3/2012,1/11/2012,0.071,2/1/2012,,0.071,MYN
69,,,12/5/2011,12/13/2011,0.071,12/30/2011,,0.071,MYN
70,,,11/1/2011,11/10/2011,0.071,12/1/2011,,0.071,MYN
71,,,10/3/2011,10/12/2011,0.071,11/1/2011,,0.071,MYN
72,,,9/1/2011,9/13/2011,0.071,10/3/2011,,0.071,MYN
73,,,8/1/2011,8/11/2011,0.071,9/1/2011,,0.071,MYN
74,,,7/1/2011,7/13/2011,0.071,8/1/2011,,0.071,MYN
75,,,6/1/2011,6/13/2011,0.071,7/1/2011,,0.071,MYN
76,,,5/2/2011,5/12/2011,0.071,6/1/2011,,0.071,MYN
77,,,4/1/2011,4/13/2011,0.071,5/2/2011,,0.071,MYN
78,,,3/1/2011,3/11/2011,0.071,4/1/2011,,0.071,MYN
79,,,2/1/2011,2/11/2011,0.071,3/1/2011,,0.071,MYN
80,,,1/3/2011,1/12/2011,0.071,2/1/2011,,0.071,MYN
81,,,12/6/2010,12/13/2010,0.071,12/31/2010,,0.071,MYN
82,,,11/1/2010,11/10/2010,0.071,12/1/2010,,0.071,MYN
83,,,10/1/2010,10/13/2010,0.071,11/1/2010,,0.071,MYN
84,,,9/1/2010,9/13/2010,0.071,10/1/2010,,0.071,MYN
85,,,8/2/2010,8/12/2010,0.07,9/1/2010,,0.07,MYN
86,,,7/1/2010,7/13/2010,0.07,8/2/2010,,0.07,MYN
87,,,6/1/2010,6/11/2010,0.07,7/1/2010,,0.07,MYN
88,,,5/3/2010,5/12/2010,0.0625,6/1/2010,,0.0625,MYN
89,,,4/1/2010,4/13/2010,0.0625,5/3/2010,,0.0625,MYN
90,,,3/1/2010,3/11/2010,0.0625,4/1/2010,,0.0625,MYN
91,,,2/1/2010,2/10/2010,0.055,3/1/2010,,0.055,MYN
92,,,1/4/2010,1/13/2010,0.055,2/1/2010,,0.055,MYN
93,,,12/7/2009,12/11/2009,0.055,12/31/2009,,0.055,MYN
94,,,11/2/2009,11/10/2009,0.0525,12/1/2009,,0.0525,MYN
95,,,10/1/2009,10/13/2009,0.0525,11/2/2009,,0.0525,MYN
96,,,9/1/2009,9/11/2009,0.0525,10/1/2009,,0.0525,MYN
97,,,8/3/2009,8/12/2009,0.0525,9/1/2009,,0.0525,MYN
98,,,7/1/2009,7/13/2009,0.0525,8/3/2009,,0.0525,MYN
99,,,6/1/2009,6/11/2009,0.0525,7/1/2009,,0.0525,MYN
100,,,5/1/2009,5/13/2009,0.0525,6/1/2009,,0.0525,MYN
101,,,4/1/2009,4/13/2009,0.0525,5/1/2009,,0.0525,MYN
102,,,3/2/2009,3/12/2009,,4/1/2009,,0.0525,MYN
103,,,2/2/2009,2/11/2009,0.0525,3/2/2009,,0.0525,MYN
104,,,1/2/2009,1/13/2009,0.0525,2/2/2009,,0.0525,MYN
105,,,12/5/2008,12/11/2008,0.0525,12/31/2008,,0.0525,MYN
106,,,12/5/2008,12/11/2008,,12/31/2008,S,0.00501,MYN
107,,,11/3/2008,11/12/2008,0.0525,12/1/2008,,0.0525,MYN
108,,,10/1/2008,10/10/2008,0.0525,11/3/2008,,0.0525,MYN
109,,,9/2/2008,9/11/2008,,10/1/2008,,0.0525,MYN
110,,,8/1/2008,8/13/2008,,9/2/2008,,0.0525,MYN
111,,,7/1/2008,7/11/2008,,8/1/2008,,0.0525,MYN
112,,,6/2/2008,6/12/2008,,7/1/2008,,0.0525,MYN
113,,,5/1/2008,5/13/2008,,6/2/2008,,0.054,MYN
114,,,4/1/2008,4/11/2008,,5/1/2008,,0.054,MYN
115,,,3/3/2008,3/12/2008,,4/1/2008,,0.054,MYN
116,,,2/1/2008,2/13/2008,,3/3/2008,,0.054,MYN
117,,,1/2/2008,1/17/2008,,2/1/2008,,0.054,MYN
118,,,12/5/2007,12/12/2007,,12/31/2007,,0.054,MYN
