,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0655,8/1/2017,,0.0655,NAC
1,,,6/1/2017,6/13/2017,0.0655,7/3/2017,,0.0655,NAC
2,,,5/1/2017,5/11/2017,0.0685,6/1/2017,,0.0685,NAC
3,,,4/3/2017,4/11/2017,0.0685,5/1/2017,,0.0685,NAC
4,,,3/1/2017,3/13/2017,0.0685,4/3/2017,,0.0685,NAC
5,,,2/1/2017,2/13/2017,0.0685,3/1/2017,,0.0685,NAC
6,,,1/3/2017,1/11/2017,0.0685,2/1/2017,,0.0685,NAC
7,,,11/11/2016,11/17/2016,0.0761,12/1/2016,S,0.0761,NAC
8,,,11/9/2016,12/13/2016,0.0685,12/30/2016,,0.0685,NAC
9,,,10/3/2016,10/12/2016,0.0685,11/1/2016,,0.0685,NAC
10,,,9/1/2016,9/13/2016,0.0685,10/3/2016,,0.0685,NAC
11,,,8/1/2016,8/11/2016,0.074,9/1/2016,,0.074,NAC
