,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.034,8/1/2017,,0.034,NCA
1,,,6/1/2017,6/13/2017,0.034,7/3/2017,,0.034,NCA
2,,,5/1/2017,5/11/2017,0.034,6/1/2017,,0.034,NCA
3,,,4/3/2017,4/11/2017,0.034,5/1/2017,,0.034,NCA
4,,,3/1/2017,3/13/2017,0.034,4/3/2017,,0.034,NCA
5,,,2/1/2017,2/13/2017,0.034,3/1/2017,,0.034,NCA
6,,,1/3/2017,1/11/2017,0.034,2/1/2017,,0.034,NCA
7,,,12/1/2016,12/13/2016,0.034,12/30/2016,,0.034,NCA
8,,,11/11/2016,11/17/2016,0.0004,12/1/2016,S,0.0004,NCA
9,,,11/1/2016,11/10/2016,0.036,12/1/2016,,0.036,NCA
10,,,10/3/2016,10/12/2016,0.036,11/1/2016,,0.036,NCA
11,,,9/1/2016,9/13/2016,0.036,10/3/2016,,0.036,NCA
12,,,8/1/2016,8/11/2016,0.039,9/1/2016,,0.039,NCA
13,,,7/1/2016,7/13/2016,0.039,8/1/2016,,0.039,NCA
14,,,6/1/2016,6/13/2016,0.039,7/1/2016,,0.039,NCA
15,,,5/2/2016,5/11/2016,0.039,6/1/2016,,0.039,NCA
16,,,4/1/2016,4/13/2016,0.039,5/2/2016,,0.039,NCA
17,,,3/1/2016,3/11/2016,0.039,4/1/2016,,0.039,NCA
18,,,2/1/2016,2/10/2016,0.039,3/1/2016,,0.039,NCA
19,,,1/4/2016,1/13/2016,0.039,2/1/2016,,0.039,NCA
20,,,12/1/2015,12/11/2015,0.039,12/31/2015,,0.039,NCA
21,,,11/10/2015,11/18/2015,0.0038,12/1/2015,S,0.0038,NCA
22,,,11/2/2015,11/10/2015,0.039,12/1/2015,,0.039,NCA
23,,,10/1/2015,10/13/2015,0.039,11/2/2015,,0.039,NCA
24,,,9/1/2015,9/11/2015,0.039,10/1/2015,,0.039,NCA
25,,,8/3/2015,8/12/2015,0.039,9/1/2015,,0.039,NCA
26,,,7/1/2015,7/13/2015,0.039,8/3/2015,,0.039,NCA
27,,,6/1/2015,6/11/2015,0.039,7/1/2015,,0.039,NCA
28,,,5/1/2015,5/13/2015,0.039,6/1/2015,,0.039,NCA
29,,,4/1/2015,4/13/2015,0.039,5/1/2015,,0.039,NCA
30,,,3/2/2015,3/11/2015,0.039,4/1/2015,,0.039,NCA
31,,,2/2/2015,2/11/2015,0.039,3/2/2015,,0.039,NCA
32,,,1/2/2015,1/13/2015,0.039,2/2/2015,,0.039,NCA
33,,,12/1/2014,12/11/2014,0.039,12/31/2014,,0.039,NCA
34,,,11/3/2014,11/12/2014,0.039,12/1/2014,,0.039,NCA
35,,,10/1/2014,10/10/2014,0.039,11/3/2014,,0.039,NCA
36,,,9/2/2014,9/11/2014,0.039,10/1/2014,,0.039,NCA
37,,,8/1/2014,8/13/2014,0.039,9/2/2014,,0.039,NCA
38,,,7/1/2014,7/11/2014,0.039,8/1/2014,,0.039,NCA
39,,,6/2/2014,6/11/2014,0.039,7/1/2014,,0.039,NCA
40,,,5/1/2014,5/13/2014,0.039,6/2/2014,,0.039,NCA
41,,,4/1/2014,4/11/2014,0.039,5/1/2014,,0.039,NCA
42,,,3/3/2014,3/12/2014,0.039,4/1/2014,,0.039,NCA
43,,,2/3/2014,2/12/2014,0.039,3/3/2014,,0.039,NCA
44,,,1/2/2014,1/13/2014,0.039,2/3/2014,,0.039,NCA
45,,,12/2/2013,12/11/2013,0.039,12/31/2013,,0.039,NCA
